gene,baseMean,log2FC_MLE,log2FC_apeglm,lfcSE_apeglm,statistic_zero_null,pvalue_zero_null,padj_zero_null,pvalue_threshold_test,padj_threshold_test,FSOS_svalue,DE_primary_threshold_test,DE_zero_null_plus_effect_filter,DE_primary,leading_signal,genotype,timing,Athal.common.NAme,TAIR10,Athaliana_TAIR10_homolog
Vitvi01g01038,1695.5685164403,2.37249569182348,2.21184895772315,0.457653039027077,5.23177376596232,1.67891152806727e-07,6.03819918327959e-06,0.0012366196613032,0.047924049955603,0.000728550746581,True,True,True,True,Rpv12+1,0,NAP,NP_564966.1,"NP_564966.1 NAC-like, activated by AP3/PI [Arabidopsis thaliana]"
Vitvi09g01309,18.2163918055997,-6.3845902671275,-5.92180879772294,1.17002579312716,-5.22038317517787,1.78553312527699e-07,6.36590362870101e-06,5.34564869145361e-06,0.0005441121561079,1.42607344899811e-06,True,True,True,True,Rpv12+1,0,NAC100,NP_001331908.1,NP_001331908.1 NAC domain containing protein 100 [Arabidopsis thaliana]
Vitvi10g01793,74.3635104179908,1.79241231219535,1.66944224157782,0.36422532143968,5.06544733762078,4.07442408380402e-07,1.28854315441073e-05,0.0125650467055545,0.256788325602031,0.0077133995034106,False,True,True,False,Rpv12+1,0,,NP_181364.2,NP_181364.2 myb-like HTH transcriptioNAl regulator family protein [Arabidopsis thaliana]
Vitvi18g01875,526.301644586332,1.49789631015954,1.39716257628252,0.31109972802474,5.00153140257811,5.68767002149373e-07,1.71297602261026e-05,0.0482068557987682,0.597650777649278,0.0264533157833674,False,True,True,False,Rpv12+1,0,TCP8,NP_176107.1,NP_176107.1 TCP family transcription factor [Arabidopsis thaliana]
Vitvi01g01974,213.013301271594,-1.08538285383455,-1.01067186394377,0.220788058788197,-5.00365875125685,5.62522999439591e-07,2.69677375670145e-05,0.346931396731417,1.0,0.148244719759526,False,True,True,False,Rpv12+1,6,,NP_680160.2,NP_680160.2 winged-helix DNA-binding transcription factor family protein [Arabidopsis thaliana]
Vitvi04g00760,45.1968460393637,-4.68125610271282,-4.19417602837606,1.04051412923824,-4.86043208567194,1.17129821815743e-06,2.82073342155684e-05,6.61465688601555e-05,0.003117708278942,0.0001444565461531,True,True,True,True,Rpv12+1,24,WRKY51,NP_568995.2,NP_568995.2 WRKY DNA-binding protein 51 [Arabidopsis thaliana]
Vitvi12g00388,1328.6589335908,1.63120693350047,1.51212445189085,0.346361254849918,4.87293383466738,1.0995305576322e-06,2.94115470334711e-05,0.0296733710252068,0.446363262017472,0.0176788856294933,False,True,True,False,Rpv12+1,0,WRKY6,NP_564792.1,NP_564792.1 WRKY family transcription factor [Arabidopsis thaliana]
Vitvi02g00673,567.210223709952,-2.94299474707115,-2.65955119309031,0.645177721699236,-4.85136877113333,1.2261232512275e-06,2.94700218704788e-05,0.0006802030125246,0.0225804956911583,0.0007486425234691,True,True,True,True,Rpv12+1,24,NAC071,NP_001329603.1,NP_001329603.1 NAC domain containing protein 71 [Arabidopsis thaliana]
Vitvi10g00732,286.032746359146,2.9021370146911,2.62871776475644,0.656355758674213,4.778872181482,1.76281209152573e-06,4.43149374355388e-05,0.000867512232349,0.0363673918045186,0.0012806685207365,True,True,True,True,Rpv12+1,0,WRKY28,NP_193551.1,NP_193551.1 WRKY DNA-binding protein 28 [Arabidopsis thaliana]
Vitvi04g00510,436.695667036355,-2.11430473800481,-1.93134896165935,0.456732108266072,-4.72208227189194,2.33442208299315e-06,5.13489486041244e-05,0.0064108241509893,0.140884152968109,0.0035443418845113,False,True,True,False,Rpv12+1,24,WRKY18,NP_001320110.1,NP_001320110.1 WRKY DNA-binding protein 18 [Arabidopsis thaliana]
Vitvi15g01540,3545.04757505337,-1.23807792428448,-1.15207369050588,0.263247996454613,-4.70841229513721,2.49653741444033e-06,5.44289342850903e-05,0.182623919100118,1.0,0.0652640165198205,False,True,True,False,Rpv12+1,24,NTL9,NP_567986.3,NP_567986.3 NAC transcription factor-like 9 [Arabidopsis thaliana]
Vitvi12g02135,333.579780487886,2.13239973843846,1.93110916606333,0.497158871795066,4.71728606194894,2.39011518461392e-06,5.72790638989771e-05,0.0061210099525453,0.154109943725618,0.0069982666539865,False,True,True,False,Rpv12+1,0,HB21,NP_178358.1,NP_178358.1 homeobox protein 21 [Arabidopsis thaliana]
Vitvi16g01213,247.15726769359,-1.66834494460335,-1.52650507442141,0.372894246643228,-4.65010341980876,3.31768621276544e-06,6.93252905323912e-05,0.0312418243719627,0.472128760107552,0.0162426881163148,False,True,True,False,Rpv12+1,24,WRKY53,NP_194112.1,NP_194112.1 WRKY family transcription factor [Arabidopsis thaliana]
Vitvi19g00306,84.3107504116701,4.15230369325506,3.77176530505226,0.912553158848336,4.65935910520198,3.1719541994896e-06,7.25573478724472e-05,0.000202166011835,0.011422161346856,0.0001657049822218,True,True,True,True,Rpv12+1,0,MYB102,NP_567626.1,NP_567626.1 MYB-like 102 [Arabidopsis thaliana]
Vitvi05g00166,65.7767112497782,2.30502408707217,2.10018372448745,0.510996138400012,4.65705103513145,3.20770949090949e-06,7.31037289713655e-05,0.0041863407739673,0.118916613413382,0.0031635130261426,False,True,True,False,Rpv12+1,0,MYB108,NP_187301.1,NP_187301.1 myb domain protein 108 [Arabidopsis thaliana]
Vitvi14g01247,212.642937367882,1.62286504083608,1.48200390301906,0.378846623600806,4.56143895361293,5.08042474376059e-06,0.000107711999989,0.0399982138834065,0.534924988229055,0.0268350173547335,False,True,True,False,Rpv12+1,0,AS1,NP_181299.1,NP_181299.1 myb-like HTH transcriptioNAl regulator family protein [Arabidopsis thaliana]
Vitvi07g00598,166.701429482564,-2.31056119038542,-2.08999943088903,0.525017310452686,-4.51898989944071,6.21353586695238e-06,0.0001197783017357,0.0051857285446633,0.119203403339058,0.0032413174049176,False,True,True,False,Rpv12+1,24,MYB14,NP_180676.1,NP_180676.1 myb domain protein 14 [Arabidopsis thaliana]
Vitvi11g00228,74.4835480187943,-2.92661572415712,-2.61277488183674,0.690367875698223,-4.5086818746715,6.52316352399382e-06,0.0001245969563774,0.0014982194330882,0.0430207707466025,0.00149687809075,True,True,True,True,Rpv12+1,24,MYB36,NP_200570.1,NP_200570.1 myb domain protein 36 [Arabidopsis thaliana]
Vitvi01g02072,102.061559808257,7.8503167394385,7.49663021492664,2.56309511008073,4.64293668915089,3.43491629710997e-06,0.0001309337998941,2.55275404725025e-05,0.00259200239288,0.0010610220733038,True,True,True,True,Rpv12+1,6,,NP_001117258.1,NP_001117258.1 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]
Vitvi08g00868,7987.76236928684,-1.40387598731715,-1.28411396517317,0.321020208472696,-4.40825033683252,1.04209054572004e-05,0.0001887281356384,0.102364421829263,1.0,0.0414702821555022,False,True,True,False,Rpv12+1,24,WRKY70,NP_191199.1,NP_191199.1 WRKY DNA-binding protein 70 [Arabidopsis thaliana]
Vitvi04g00289,172.165583505893,2.54522712821812,2.26575030589304,0.632305922458493,4.35426433832376,1.33514522199776e-05,0.0002416799242405,0.004102596258059,0.117546347770608,0.0049366760717994,False,True,True,False,Rpv12+1,0,GATA9,NP_195015.1,NP_195015.1 GATA transcription factor 9 [Arabidopsis thaliana]
Vitvi01g01745,59.2921365155696,2.12985689123944,1.89696679204075,0.526956389283291,4.31713063519776,1.58070614455865e-05,0.0002694967237186,0.0110056579739866,0.215976749393485,0.0084127636652444,False,True,True,False,Rpv12+1,24,,NP_001331173.1,NP_001331173.1 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]
Vitvi04g00133,1366.76430264841,-1.20304767812993,-1.10670859596424,0.280796312258562,-4.29726066619531,1.72921805209027e-05,0.0002919877719759,0.234139529550593,1.0,0.086303844957438,False,True,True,False,Rpv12+1,24,WRKY50,NP_197989.2,NP_197989.2 WRKY DNA-binding protein 50 [Arabidopsis thaliana]
Vitvi01g00940,774.012290387862,1.95441391618865,1.87621363356292,0.455917814159862,4.43065503930174,9.39472735595445e-06,0.0003042756729823,0.0152453913106079,0.443115768104659,0.0053817316020323,False,True,True,False,Rpv12+1,6,WRKY72,NP_197017.1,NP_197017.1 WRKY DNA-binding protein 72 [Arabidopsis thaliana]
Vitvi02g00228,812.933898193342,2.16636995946551,1.95842119453409,0.506588485443051,4.2688947696439,1.96443911143252e-05,0.0003312520325068,0.0107704894456683,0.229061165373364,0.006627289142399,False,True,True,False,Rpv12+1,0,HB-12,NP_191748.1,NP_191748.1 homeobox 12 [Arabidopsis thaliana]
Vitvi10g00437,42.3922493210176,-3.90594045464674,-3.46209518459755,0.935083600457604,-4.26729920421742,1.97853718506811e-05,0.0003327307123715,0.0007497819443646,0.0325323979380312,0.000763179565304,True,True,True,True,Rpv12+1,0,NAC025,NP_564771.1,NP_564771.1 NAC domain containing protein 25 [Arabidopsis thaliana]
Vitvi07g00515,1076.07675467276,1.75950748475534,1.57782612570474,0.446254616733353,4.26406422025139,2.0074170705029e-05,0.0003371147031282,0.0328384647030785,0.473290026538749,0.0252570180708513,False,True,True,False,Rpv12+1,0,MYB61,NP_172425.2,NP_172425.2 myb domain protein 61 [Arabidopsis thaliana]
Vitvi08g01426,237.783417199476,3.71386255322841,3.19307297735926,1.02456340474076,4.245857372363,2.17759124015216e-05,0.0003593244326348,0.0009591411924486,0.0393880289690191,0.0032701127827113,True,True,True,True,Rpv12+1,0,NAC090,NP_197630.1,NP_197630.1 NAC domain containing protein 90 [Arabidopsis thaliana]
Vitvi06g01321,48.5319705539829,2.07331157215538,1.84277228622495,0.525852643341923,4.18006025833608,2.91431859946101e-05,0.0004561445553768,0.0152347514390652,0.288160421471083,0.013564013569589,False,True,True,False,Rpv12+1,0,MYB36,NP_200570.1,NP_200570.1 myb domain protein 36 [Arabidopsis thaliana]
Vitvi07g01612,957.669425877952,3.11907272080749,2.68162724766932,0.877262223173827,4.13559885038031,3.54030174878443e-05,0.0005321468815317,0.0024794675940803,0.0808793781438502,0.006112829465586,False,True,True,False,Rpv12+1,0,,NP_190564.1,NP_190564.1 GRAS family transcription factor [Arabidopsis thaliana]
Vitvi18g00617,3626.98621193728,1.42513494589126,1.28510530029271,0.363023031527232,4.11678330505642,3.84196987429199e-05,0.0005688147224943,0.109707320254472,0.94402427320287,0.0663524643183398,False,True,True,False,Rpv12+1,0,,NP_172483.4,NP_172483.4 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]
Vitvi07g00434,1864.51220446813,1.8733288512371,1.66142798919004,0.466941952038222,4.26612999689937,1.98892916516633e-05,0.0005692867357805,0.0233599324022905,0.594428474427547,0.0181096537515621,False,True,True,False,Rpv12+1,6,WRKY23,NP_182248.1,NP_182248.1 WRKY DNA-binding protein 23 [Arabidopsis thaliana]
Vitvi14g04262,53.2604314530939,3.88376467012045,3.28360204744076,1.11487599193131,4.10366638214685,4.06653755617889e-05,0.0005949122282305,0.0011556364450629,0.0454459895117834,0.0044016292253816,True,True,True,True,Rpv12+1,0,MYB15,NP_188966.1,NP_188966.1 myb domain protein 15 [Arabidopsis thaliana]
Vitvi10g02097,81.1192884708081,1.61819373013477,1.45017670148997,0.408561700402867,4.09446799738852,4.23138851854032e-05,0.0006148360277195,0.0588856074630641,0.674425834337257,0.0379885752114821,False,True,True,False,Rpv12+1,0,bHLH121,NP_188620.1,NP_188620.1 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]
Vitvi17g00622,363.530957392532,1.13716461148981,1.03626079022492,0.285466578354399,4.04708975957043,5.1858359336358e-05,0.000744078357956,0.312718500969402,1.0,0.119532584279663,False,True,True,False,Rpv12+1,24,NAC100,NP_200951.1,NP_200951.1 NAC domain containing protein 100 [Arabidopsis thaliana]
Vitvi00g04735,40.8905934654351,3.0353176664218,2.67010500750522,0.742253297938595,4.19154165862924,2.77065299882836e-05,0.0007511582720081,0.0024723344366636,0.116529363114745,0.002491156659712,False,True,True,False,Rpv12+1,6,,NP_001324633.1,NP_001324633.1 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]
Vitvi13g00189,64.2861756893704,2.53287792472892,2.21349155421053,0.6694156257227,4.02455263708424,5.70837256618149e-05,0.0007887350899632,0.0074329959484107,0.175804467463361,0.0082286011776708,False,True,True,False,Rpv12+1,0,WRKY55,NP_181606.1,NP_181606.1 WRKY DNA-binding protein 55 [Arabidopsis thaliana]
Vitvi14g02430,288.281366990556,2.40396012195631,2.06394638480412,0.676325367066918,4.02400958435611,5.72155870530436e-05,0.0007901139028244,0.0093841659071386,0.208919485927524,0.0147206152248224,False,True,True,False,Rpv12+1,0,MYB20,NP_176797.1,NP_176797.1 myb domain protein 20 [Arabidopsis thaliana]
Vitvi10g00572,2258.43553401562,-1.49957320435367,-1.34652032670093,0.37849019478703,-3.99827369089637,6.38061471210066e-05,0.0008571037298108,0.0914302157310257,0.856021121441625,0.0536794450221605,False,True,True,False,Rpv12+1,0,,NP_181549.1,NP_181549.1 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]
Vitvi03g00207,2974.27506458348,-1.93116501618494,-1.7069687652916,0.504241416617341,-3.98992050400337,6.60954439672983e-05,0.0009086648200772,0.0271866111509923,0.425756324777558,0.0165744583124395,False,True,True,False,Rpv12+1,24,NAC036,NP_565404.2,NP_565404.2 NAC domain containing protein 36 [Arabidopsis thaliana]
Vitvi04g00155,110.591268156144,3.50557134636645,3.01718035744578,0.965412640077912,3.97667557950216,6.98854036025206e-05,0.0009211860905038,0.0022397086096816,0.0748257184171938,0.0038611842039505,False,True,True,False,Rpv12+1,0,MYB3,NP_564176.2,NP_564176.2 myb domain protein 3 [Arabidopsis thaliana]
Vitvi08g01841,699.974352989011,1.92574316365797,1.68130493178118,0.50569436820599,4.10444442546207,4.0528768158172e-05,0.0010250719569062,0.0242427498983837,0.606857506786431,0.0208753194210131,False,True,True,False,Rpv12+1,6,ANAC087,NP_197328.3,NP_197328.3 NAC domain containing protein 87 [Arabidopsis thaliana]
Vitvi05g00624,1255.68464786115,-1.1269357439927,-1.03720668028319,0.292627593857457,-3.94045815140318,8.13261378133214e-05,0.0010327581088499,0.328577264100547,1.0,0.159850339149555,False,True,True,False,Rpv12+1,0,UNE12,NP_567245.1,NP_567245.1 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]
Vitvi06g00007,30.2749331332103,-2.58656285552087,-2.24103823403777,0.688755384916222,-3.95164476608686,7.76158969741804e-05,0.0010392088441043,0.007677739435965,0.161969343472105,0.0065643105068917,False,True,True,False,Rpv12+1,24,NAC032,NP_177869.1,NP_177869.1 NAC domain containing protein 32 [Arabidopsis thaliana]
Vitvi04g01244,55.1912908923251,5.57372621380504,4.61408086110606,1.69152555188194,3.93277681130738,8.39701961682721e-05,0.0010538409336737,0.0006268293530188,0.0280294513600366,0.0033243989704342,True,True,True,True,Rpv12+1,0,HB40,NP_001329011.1,NP_001329011.1 homeobox protein 40 [Arabidopsis thaliana]
Vitvi10g00053,572.202772767674,-1.72512965319137,-1.53101169968012,0.450681275962815,-3.94090893135758,8.11734416666678e-05,0.0010803327608116,0.0488107334589929,0.649460822255236,0.0238403900698464,False,True,True,False,Rpv12+1,24,,NP_172659.3,NP_172659.3 Transcription factor jumonji (jmjC) domain-containing protein [Arabidopsis thaliana]
Vitvi11g00241,716.588797198475,1.52123532047568,1.33307257003462,0.41553139171619,3.92214975615728,8.77624139041897e-05,0.0010876561086895,0.0894930378039437,0.847258350751951,0.0647697913861527,False,True,True,False,Rpv12+1,0,NAC075,NP_001329814.1,NP_001329814.1 NAC domain containing protein 75 [Arabidopsis thaliana]
Vitvi14g01678,118.35661012504,-1.63166804844696,-1.41578131250045,0.437948004715139,-4.07246251732522,4.6518688105179e-05,0.0011547833593517,0.0574468581339897,1.0,0.0425929879034898,False,True,True,False,Rpv12+1,6,NAC044,NP_001319443.1,NP_001319443.1 NAC domain containing protein 44 [Arabidopsis thaliana]
Vitvi15g01542,676.298802797341,-1.60086671642316,-1.41621165397358,0.419301344376176,-3.90371551823603,9.47271194368488e-05,0.0012302041720855,0.0714312365858655,0.850811260314447,0.0335261884479858,False,True,True,False,Rpv12+1,24,NTL9,NP_567986.3,NP_567986.3 NAC transcription factor-like 9 [Arabidopsis thaliana]
Vitvi14g01960,615.889885026175,1.62697456123607,1.42693289441497,0.452343846450857,3.87976579582723,0.0001045570908944,0.0012473939425061,0.0674421850964433,0.722153139557045,0.0513218254261283,False,True,True,False,Rpv12+1,0,MYB94,NP_190344.1,NP_190344.1 myb domain protein 94 [Arabidopsis thaliana]
Vitvi01g01339,3312.59756241385,-1.22518266027157,-1.10161404162154,0.323253670039622,-3.84292545967339,0.0001215764024105,0.0014148116437348,0.239997329350422,1.0,0.126240517241035,False,True,True,False,Rpv12+1,0,Cpn60beta4,NP_173947.1,NP_173947.1 TCP-1/cpn60 chaperonin family protein [Arabidopsis thaliana]
Vitvi18g00763,376.629309831998,1.31003719431301,1.16345579432817,0.361110851430621,3.82557970821012,0.0001304647117086,0.0014991271630851,0.182633969062643,1.0,0.105306565684192,False,True,True,False,Rpv12+1,0,SPT,NP_568010.1,NP_568010.1 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]
Vitvi13g00614,3552.59626972192,2.35262101853009,1.99586271004672,0.698851420959104,3.81909818284127,0.000133940447245,0.0015312096790391,0.0140545688305101,0.275252525723291,0.0200689179034687,False,True,True,False,Rpv12+1,0,GATA9,NP_195015.1,NP_195015.1 GATA transcription factor 9 [Arabidopsis thaliana]
Vitvi08g01831,1866.40165856663,1.62614859904254,1.41537574819662,0.463159743836089,3.79986290998988,0.0001447761547173,0.0016308666427139,0.0717148929830319,0.746514080996073,0.055720656190797,False,True,True,False,Rpv12+1,0,GATA9,NP_195015.1,NP_195015.1 GATA transcription factor 9 [Arabidopsis thaliana]
Vitvi17g00795,578.484895404526,-1.36395053249173,-1.22861634663902,0.363119015984364,-3.78024743770813,0.0001566725771461,0.0017370772324807,0.156558181605888,1.0,0.0823318719248028,False,True,True,False,Rpv12+1,0,,NP_001320606.1,NP_001320606.1 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]
Vitvi08g01513,73.1702496474529,2.03819068273449,1.73967090692978,0.5866566808704,3.77872577497631,0.0001576328952835,0.001864351420166,0.0271293971836375,0.425439601069965,0.0209069808966718,False,True,True,False,Rpv12+1,24,HSFA3,NP_195992.2,NP_195992.2 heat shock transcription factor A3 [Arabidopsis thaliana]
Vitvi07g02066,39.4640319922793,3.82227956569991,3.02947018784183,1.29354917946879,3.71863071704159,0.0002003056304655,0.0021179117745852,0.0030200142221765,0.0942727351287781,0.0149149754182675,False,True,True,False,Rpv12+1,0,ERF3,NP_175479.1,NP_175479.1 ethylene responsive element binding factor 3 [Arabidopsis thaliana]
Vitvi10g01394,106.290874483153,-1.34117891958852,-1.18661122528334,0.367860246884722,-3.69975632403193,0.0002158065777916,0.0022340479828789,0.173308587157164,1.0,0.0981218866217974,False,True,True,False,Rpv12+1,0,IBM1,NP_187418.1,NP_187418.1 Transcription factor jumonji (jmjC) domain-containing protein [Arabidopsis thaliana]
Vitvi18g00766,152.17605948163,1.67285793935092,1.49453535761356,0.467636673243262,3.87965376958038,0.0001046052554373,0.0022615814040284,0.0593236359526388,1.0,0.035503253050237,False,True,True,False,Rpv12+1,6,RGE1,NP_175399.2,NP_175399.2 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]
Vitvi01g01680,1311.11520589415,1.96821304097936,1.69549638299548,0.541572096449404,3.86155374423469,0.0001126682207023,0.0024036883265482,0.0287431792896714,0.671568972785782,0.023638556167749,False,True,True,False,Rpv12+1,6,WRKY75,NP_196812.1,NP_196812.1 WRKY DNA-binding protein 75 [Arabidopsis thaliana]
Vitvi13g04187,9.16596140439219,-6.06840170617543,-5.09648303487315,2.02737563013967,-3.69842712616828,0.0002169396137455,0.0024150584384257,0.001012497828689,0.0310139703754987,0.0037313539358349,True,True,True,True,Rpv12+1,24,ASIL2,NP_188034.1,NP_188034.1 sequence-specific DNA binding transcription factor [Arabidopsis thaliana]
