gene,baseMean,log2FC_MLE,log2FC_apeglm,lfcSE_apeglm,statistic_zero_null,pvalue_zero_null,padj_zero_null,pvalue_threshold_test,padj_threshold_test,FSOS_svalue,DE_primary_threshold_test,DE_zero_null_plus_effect_filter,DE_primary,leading_signal,genotype,timing,Athal.common.NAme,TAIR10,Athaliana_TAIR10_homolog,homology
Vitvi09g02033,194.739291436794,3.31371729475782,3.24403068441054,0.333497411514884,9.97024645523895,2.0571772784472702e-23,1.1518322598142501e-20,1.68374422936625e-12,5.720138350128811e-10,9.59442782351182e-13,True,True,True,True,Rpv12+1,0,RPS5,NP_001323155.1,NP_001323155.1 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana],37.367
Vitvi12g04518,105.568440727567,7.56484082582231,7.37477219852721,0.740368158341046,9.92585800107675,3.2132714174923503e-23,1.68430116258173e-20,3.53531664207309e-18,3.18897751862035e-15,2.8570083336178e-19,True,True,True,True,Rpv12+1,0,,NP_188065.1,NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],46.405
Vitvi12g04512,159.716654650563,3.51832626470787,3.44605242859358,0.364117472276942,9.73690304929136,2.0985235774133698e-22,1.0137103304540401e-19,1.5912345297671599e-12,5.47698737686568e-10,1.0927937365677299e-12,True,True,True,True,Rpv12+1,0,,NP_188065.1,NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],43.233
Vitvi07g04339,331.099305015827,-4.99152829856433,-4.87015651789822,0.531132775882051,-9.43785648359981,3.8048303355712e-21,1.4878698436052699e-18,2.22559910307731e-14,1.0396329810249899e-11,1.3236805124793901e-14,True,True,True,True,Rpv12+1,0,,NP_188064.1,NP_188064.1 LRR and NB-ARC domains-containing disease resistance protein [Arabidopsis thaliana],32.192
Vitvi03g04050,193.218273389643,7.9202974790364,7.65934864999363,0.799803113045058,9.19671258120987,3.6906799718109803e-20,1.29890845407907e-17,4.65780882220662e-16,2.83357258093262e-13,2.829288182817e-18,True,True,True,True,Rpv12+1,0,RPP13,NP_190237.1,NP_190237.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],35.127
Vitvi09g00535,142.845123722281,4.84346990526472,4.70092514427786,0.53997626291458,9.09343575101615,9.59577647426753e-20,3.1520206562674e-17,2.67748988522266e-13,9.86485322641402e-11,3.69704801308604e-13,True,True,True,True,Rpv12+1,0,SUMM2,NP_172692.1,NP_172692.1 LRR and NB-ARC domains-containing disease resistance protein [Arabidopsis thaliana],46.829
Vitvi10g04213,1580.54307992348,8.05748603071078,7.7867625362283,0.917110601362505,8.94716714153828,3.6472177634128604e-19,8.723578331984381e-17,2.3117785890052603e-15,9.44903376715448e-13,4.5309128348940106e-15,True,True,True,True,Rpv12+1,24,CRK29,NP_001329810.1,NP_001329810.1 cysteine-rich RLK (RECEPTOR-like protein kiNAse) 29 [Arabidopsis thaliana],36.34
Vitvi12g04185,312.386797004695,-8.53730095570108,-8.29019074250458,1.01926674014793,-8.83876575553358,9.67817932478851e-19,2.77246076564523e-16,3.0117620243866803e-15,1.5447977018810099e-12,3.67584957558749e-14,True,True,True,True,Rpv12+1,0,,NP_001329572.1,NP_001329572.1 G-type lectin S-receptor-like Serine/Threonine-kiNAse [Arabidopsis thaliana],45.814
Vitvi10g04464,814.94535049878,-3.42106720983376,-3.33336316413097,0.389154309496681,-8.7067720827422,3.12650887490927e-18,8.28222286475965e-16,3.59780330245915e-10,9.04951313356047e-08,6.88491906600108e-11,True,True,True,True,Rpv12+1,0,ABCC2,NP_001324371.1,NP_001324371.1 multidrug resistance-associated protein 2 [Arabidopsis thaliana],72.953
Vitvi07g04167,766.40288715611,7.2162119147646,6.97870895227111,0.876728143394043,8.41428348367794,3.95303690210593e-17,9.36413626156555e-15,2.11082187251349e-13,8.00246222653341e-11,5.11151580728419e-13,True,True,True,True,Rpv12+1,0,,NP_001328443.1,NP_001328443.1 Barwin-related endoglucaNAse [Arabidopsis thaliana],52.756
Vitvi03g04047,55.3568762731153,4.09964944157222,3.97385076607681,0.484441668598145,8.36765885157102,5.877426115265961e-17,1.3660025450537e-14,1.25317501055702e-10,3.37956753620218e-08,2.8125469913958198e-11,True,True,True,True,Rpv12+1,0,RPP13,NP_190237.1,NP_190237.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],34.692
Vitvi14g04241,358.18000077642,1.99307757708108,1.94036849770657,0.246201957141566,8.35557645908556,6.5113942592033e-17,1.4992028875675902e-14,1.5685565370983e-05,0.0013278922477007,8.54274153806755e-06,True,True,True,True,Rpv12+1,0,,NP_194452.1,NP_194452.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],31.8
Vitvi18g01849,13491.1515557767,1.65128821679754,1.6116526628678,0.200748225162113,8.3360564003557,7.680929331370071e-17,1.75210532414475e-14,0.0005047918080722,0.023664603776635,0.0001629575477497,True,True,True,True,Rpv12+1,0,,NP_192855.1,NP_192855.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana],31.518
Vitvi05g04410,179.482636194617,-4.77915689025633,-4.64630419084698,0.555287708840006,-8.31806940509482,8.94076556591694e-17,2.02077706864156e-14,2.39082451144404e-11,7.106997544870991e-09,1.96728402869753e-12,True,True,True,True,Rpv12+1,0,CRK29,NP_001329810.1,NP_001329810.1 cysteine-rich RLK (RECEPTOR-like protein kiNAse) 29 [Arabidopsis thaliana],39.801
Vitvi18g01958,1343.97045367507,-1.16908519979064,-1.14273300846998,0.141861864779513,-8.27569606773482,1.2770736664508599e-16,2.09746578977889e-14,0.115669491529464,1.0,0.0328159023203596,False,True,True,False,Rpv12+1,24,,NP_001328449.1,NP_001328449.1 Disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana],36.21
Vitvi06g01603,106.566527264535,-6.27629403619108,-6.06568008127729,0.759979988190633,-8.23592324639138,1.78178146078721e-16,2.81384410692011e-14,2.2000462144660697e-12,5.81323322466848e-10,5.63230429533521e-13,True,True,True,True,Rpv12+1,24,,NP_187974.1,NP_187974.1 Disease resistance-responsive (dirigent-like protein) family protein [Arabidopsis thaliana],50.777
Vitvi18g02228,3939.21412619546,1.04862660364971,1.02122970145789,0.127474126388494,8.32247542694341,8.614498559723711e-17,2.88693382982741e-14,0.349775227439722,1.0,0.12682641748363,False,True,True,False,Rpv12+1,6,,NP_192938.1,NP_192938.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana],29.613
Vitvi14g01174,178.263874669965,2.57163763348507,2.49082876164855,0.332379604968951,8.07123040832076,6.95932439353976e-16,1.41694145255575e-13,4.05557853062614e-07,5.64307865865156e-05,4.60770545660691e-07,True,True,True,True,Rpv12+1,0,CRK29,NP_193872.2,NP_193872.2 cysteine-rich RLK (RECEPTOR-like protein kiNAse) 29 [Arabidopsis thaliana],39.481
Vitvi18g01950,533.357479158323,3.60666303787726,3.48245051970613,0.477245018324123,7.98372623877557,1.41980722110728e-15,2.75420241725976e-13,3.9607188759590704e-09,8.5626814112573e-07,8.30410919498099e-09,True,True,True,True,Rpv12+1,0,,NP_192938.1,NP_192938.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana],36.371
Vitvi18g04749,69.6826221757572,5.81545132839562,5.59254262342799,0.751769984951178,7.90886576036736,2.59744508997828e-15,4.74004868420037e-13,2.8982917034321598e-11,8.42404585223133e-09,4.5577248960951396e-11,True,True,True,True,Rpv12+1,0,,NP_564971.2,NP_564971.2 disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana],35.859
Vitvi18g04004,74.0892471094061,-3.78804637069493,-3.66735813976235,0.473694090143849,-7.87449336367919,3.42126364664716e-15,6.10769936223185e-13,3.4014527173330702e-09,7.47719341451392e-07,4.981805777135501e-10,True,True,True,True,Rpv12+1,0,WAK2,NP_173549.1,NP_173549.1 wall-associated kiNAse 2 [Arabidopsis thaliana],28.662
Vitvi07g00890,154.333504312037,-5.66500458370813,-5.45859876280293,0.706284167943308,-7.86253175956961,3.76446079387731e-15,6.67203281424182e-13,4.75257161956247e-11,1.33680130103371e-08,6.1910407400067695e-12,True,True,True,True,Rpv12+1,0,RPM1,NP_187360.1,NP_187360.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],32.585
Vitvi18g00479,151.632954019799,3.10917974973912,3.00284652369026,0.414977081777321,7.66204216041963,1.8299953981996402e-14,3.0669229000031497e-12,1.00877622070224e-07,1.59930770650605e-05,7.62053652401417e-08,True,True,True,True,Rpv12+1,0,,NP_001078199.1,NP_001078199.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana],50.694
Vitvi19g02270,200.343587154795,-2.41409105071412,-2.34816243588188,0.314341209152748,-7.6484107608468,2.03478348522543e-14,3.3870895906765897e-12,3.72910162165844e-06,0.0003997933168891,1.14721405353012e-06,True,True,True,True,Rpv12+1,0,,NP_188065.1,NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],30.667
Vitvi09g01568,1319.71092124178,1.15359658692318,1.12021204792197,0.151969095414828,7.6870928265494,1.50515932652503e-14,3.42622541412477e-12,0.153034702313676,1.0,0.053517953939073,False,True,True,False,Rpv12+1,6,,NP_201107.2,NP_201107.2 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana],39.363
Vitvi08g02397,100.911445473935,-10.2880962224745,-11.3428882081492,3.15070489340201,-7.63302273131111,2.29312430503002e-14,3.79150405226306e-12,2.7682528335549697e-12,8.83106413084934e-10,7.6615766118261e-05,True,True,True,True,Rpv12+1,0,,NP_188065.1,NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],33.089
Vitvi14g00593,262.820683336641,1.49945086764749,1.45904696548267,0.197254990538572,7.61050429502903,2.7302849384468903e-14,4.3962941008874295e-12,0.0056227406930162,0.145193772073566,0.0020839563773639,False,True,True,False,Rpv12+1,0,,NP_194452.1,NP_194452.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],31.316
Vitvi10g04463,231.016837130611,-3.17664274710809,-3.06447059430278,0.416319025165272,-7.51912567437348,5.5143760011811504e-14,8.59823842817081e-12,1.28777827407254e-07,1.969999524647e-05,3.57464742817732e-08,True,True,True,True,Rpv12+1,0,ABCC12,NP_001323127.1,NP_001323127.1 multidrug resistance-associated protein 13 [Arabidopsis thaliana],56.386
Vitvi05g04312,158.948685941361,3.42026288218034,3.29161717156617,0.467586752912061,7.51383120067193,5.74216147824514e-14,8.897100011197939e-12,5.2753743246244e-08,9.32422411877363e-06,4.60689167906771e-08,True,True,True,True,Rpv12+1,0,,NP_181039.1,NP_181039.1 disease resistance family protein / LRR family protein [Arabidopsis thaliana],36.503
Vitvi12g04475,701.925836174338,1.44842898936761,1.40861371466826,0.19258509225948,7.50613913491235,6.08966934071421e-14,9.2608082640639e-12,0.0100660515751715,0.218109088901895,0.0035949603705684,False,True,True,False,Rpv12+1,0,,NP_188065.1,NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],42.476
Vitvi13g01327,1971.33046464737,2.54156743321096,2.44790294259054,0.351064121407065,7.32897105524901,2.31926465660446e-13,2.1642956090949797e-11,4.38787563902998e-06,0.00030047758859,1.98879484618129e-06,True,True,True,True,Rpv12+1,24,,NP_188065.1,NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],41.908
Vitvi05g04535,3273.65776255888,7.28825958507904,6.91018082364742,1.13288159630594,7.32915976440674,2.31600159222822e-13,3.15232128321184e-11,1.27812433809313e-10,3.41167903675288e-08,5.67784420972071e-09,True,True,True,True,Rpv12+1,0,EP3,NP_191010.1,NP_191010.1 homolog of carrot EP3-3 chitiNAse [Arabidopsis thaliana],63.115
Vitvi09g01698,483.799673874431,1.75494529589498,1.69785745410905,0.243687752719598,7.30276483092456,2.81913680022906e-13,3.73399216185178e-11,0.0008403793843582,0.0353432223720681,0.0003350809601364,True,True,True,True,Rpv12+1,0,,NP_188064.1,NP_188064.1 LRR and NB-ARC domains-containing disease resistance protein [Arabidopsis thaliana],33.01
Vitvi13g00805,91.1731118148135,2.14092925416835,2.06690579182715,0.299306673819078,7.28491026394043,3.21884482930173e-13,4.21805644758922e-11,5.17527023298061e-05,0.0038028060119252,2.52313607562241e-05,True,True,True,True,Rpv12+1,0,,NP_188065.1,NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],39.52
Vitvi09g04146,57.0280448176921,-5.18172645782664,-4.98237747473984,0.707486938721223,-7.13433458810555,9.7256493082325e-13,1.22245457325314e-10,4.26821590620031e-09,9.15182458117163e-07,5.93398678119997e-10,True,True,True,True,Rpv12+1,0,ABCG40,NP_173005.1,NP_173005.1 pleiotropic drug resistance 12 [Arabidopsis thaliana],74.474
Vitvi10g00641,780.73286277276,2.63709501730821,2.53280735964152,0.379295216908884,7.07291950139177,1.51707502336399e-12,1.2416830656344e-10,5.64588723327925e-06,0.0003758034710823,2.97694507680448e-06,True,True,True,True,Rpv12+1,24,RKF1,NP_174268.7,NP_174268.7 receptor-like kiNAse in flowers 1 [Arabidopsis thaliana],55.328
Vitvi04g02226,368.296336495084,-5.2468152533034,-5.00836303943616,0.784960987120364,-7.1302535949432,1.00184172651554e-12,1.25286156215416e-10,3.933448593700461e-09,8.5626814112573e-07,1.35277765234534e-08,True,True,True,True,Rpv12+1,0,RLK1,NP_001318851.1,NP_001318851.1 receptor-like protein kiNAse 1 [Arabidopsis thaliana],35.366
Vitvi04g01636,911.226639863864,-1.18790772212565,-1.15239422770325,0.168113897822666,-7.0196859993986,2.2236741322609497e-12,1.76149311647527e-10,0.133413263622785,1.0,0.0399318790597467,False,True,True,False,Rpv12+1,24,RLK1,NP_001318851.1,NP_001318851.1 receptor-like protein kiNAse 1 [Arabidopsis thaliana],32.944
Vitvi06g04030,78.7483363847588,-12.4454631607822,-13.5413185717631,3.66723997994828,-6.98803266980029,2.78767485591764e-12,2.18717062899321e-10,6.529225755087979e-11,1.43527744980963e-08,4.15251931055029e-05,True,True,True,True,Rpv12+1,24,,NP_187974.1,NP_187974.1 Disease resistance-responsive (dirigent-like protein) family protein [Arabidopsis thaliana],51.031
Vitvi10g04202,339.390847525556,2.54793427525095,2.46610516018703,0.370307959660622,7.03363353724499,2.0122320598380098e-12,2.3719305754148e-10,9.6382819438615e-06,0.0008890791964797,4.25999518711619e-06,True,True,True,True,Rpv12+1,0,CRK10,NP_567679.2,NP_567679.2 cysteine-rich RLK (RECEPTOR-like protein kiNAse) 10 [Arabidopsis thaliana],49.688
Vitvi16g01969,219.034648512342,2.09009688406032,2.00841858177414,0.308675260600355,6.94995076900867,3.65413708916992e-12,2.78709973154149e-10,0.0001446095790881,0.0061409772392321,7.7350309976275e-05,True,True,True,True,Rpv12+1,24,,NP_181039.1,NP_181039.1 disease resistance family protein / LRR family protein [Arabidopsis thaliana],38.325
Vitvi09g01588,451.691687201444,-1.60989406459882,-1.5481716079362,0.231833842452043,-7.03273562344303,2.02522891628732e-12,3.23620851133092e-10,0.0038575577271395,0.165238995577241,0.0017713428150881,False,True,True,False,Rpv12+1,6,RPS5,NP_172686.1,NP_172686.1 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana],35.539
Vitvi17g01376,142.048031100102,-2.04334128369705,-1.96045772597849,0.299051378984534,-6.95517651650353,3.5212086579904897e-12,3.97928883019513e-10,0.0001916292201546,0.0109689907440386,0.0001047009451996,True,True,True,True,Rpv12+1,0,,NP_188065.1,NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],33.918
Vitvi11g01637,554.045518586343,3.98107884028549,3.80204243796114,0.608811932704796,6.95014673699682,3.6490645726699595e-12,4.10494770832407e-10,9.73373824742258e-08,1.56211569824741e-05,2.67886227107444e-07,True,True,True,True,Rpv12+1,0,,NP_001328414.1,NP_001328414.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],29.461
Vitvi01g01751,56.9377360638776,-8.41003394057801,-8.04093464943844,1.14403084472419,-6.89171319752245,5.51244269966214e-12,6.11732154724669e-10,6.30658017037685e-10,1.54181150165316e-07,2.2884589787132197e-11,True,True,True,True,Rpv12+1,0,FER,NP_190723.1,NP_190723.1 Malectin/receptor-like protein kiNAse family protein [Arabidopsis thaliana],55.06
Vitvi13g04716,819.476015018137,3.18958360716279,3.05576209807861,0.474560896674375,6.89076642934891,5.54925887882725e-12,6.13056240981113e-10,1.12055742069315e-06,0.0001376961803608,8.03471691330294e-07,True,True,True,True,Rpv12+1,0,,NP_188065.1,NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],37.326
Vitvi09g04094,201.004594332453,-4.18910211280942,-4.00634686837375,0.614202365833901,-6.84855678170027,7.459872507031129e-12,8.02538947961655e-10,9.25523695842887e-08,1.50991493443834e-05,4.97562483327221e-08,True,True,True,True,Rpv12+1,0,,NP_201107.2,NP_201107.2 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana],36.913
Vitvi18g04440,96.9603636064191,3.67946186456288,3.51744274536233,0.533725195751088,6.84573508848655,7.60841608832127e-12,8.14960603269055e-10,3.09474481324334e-07,4.35244244998025e-05,1.30184554920966e-07,True,True,True,True,Rpv12+1,0,,NP_192938.1,NP_192938.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana],27.15
Vitvi12g04282,2625.43796526784,-2.67421448437334,-2.55194004255057,0.40831610826057,-6.75936509436428,1.3859774192047298e-11,9.81176428147346e-10,1.15936214928254e-05,0.0007069406634751,7.77941594281153e-06,True,True,True,True,Rpv12+1,24,,NP_849538.2,NP_849538.2 Leucine-rich repeat receptor-like protein kiNAse family protein [Arabidopsis thaliana],46.539
Vitvi05g02232,120.905064420827,-3.56188715828094,-3.39916590806818,0.531858221815286,-6.72104182221698,1.80429792705632e-11,1.2313208789739501e-09,6.68716504272366e-07,5.77194257038681e-05,3.41534313400184e-07,True,True,True,True,Rpv12+1,24,,NP_190255.1,NP_190255.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],28.763
Vitvi01g00191,97.0138789989463,4.68945978939905,4.49950474337896,0.680072865014102,6.7480419383823,1.4985363851079198e-11,1.5007293651836901e-09,5.50956420346253e-08,9.67279798646821e-06,9.49365463163126e-09,True,True,True,True,Rpv12+1,0,RHA2B,NP_001318169.1,NP_001318169.1 RING-H2 finger protein 2B [Arabidopsis thaliana],40.0
Vitvi01g04413,408.325155708138,-4.42980702332972,-4.22372038908852,0.666293338970364,-6.68676880117957,2.28151886938476e-11,1.5109542705957802e-09,1.12575460294536e-07,1.18744413945354e-05,6.63473103394003e-08,True,True,True,True,Rpv12+1,24,,NP_181039.1,NP_181039.1 disease resistance family protein / LRR family protein [Arabidopsis thaliana],40.284
Vitvi12g00927,297.359439905776,-1.93554110761252,-1.86020443734411,0.286286705183293,-6.73455892571741,1.6442795772945e-11,1.6400190957986802e-09,0.0005666829903147,0.0258255406683693,0.0001997722305823,True,True,True,True,Rpv12+1,0,,NP_188065.1,NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],46.212
Vitvi05g00527,193.055953130361,3.21610837296781,3.08389763505677,0.484435483655047,6.67003047252929,2.5575031653223597e-11,2.48057669216069e-09,2.1525062867643e-06,0.000244008302678,9.73426120316739e-07,True,True,True,True,Rpv12+1,0,,NP_566712.1,NP_566712.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana],53.488
Vitvi12g04613,461.319795385079,2.04318687136462,1.95587308048039,0.32080019426634,6.62215128942574,3.5400845275237794e-11,3.3543662469259904e-09,0.0003610313732798,0.0182320843506308,0.0002182139419321,True,True,True,True,Rpv12+1,0,,NP_194449.1,NP_194449.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],25.922
Vitvi12g01776,27.4692252636537,-9.48017350340546,-10.3031412522806,3.0790360991576,-6.61957794907668,3.60225854195187e-11,3.4002008214377903e-09,1.5969354204027802e-09,3.63254205759272e-07,0.0001825922004241,True,True,True,True,Rpv12+1,0,,NP_001330662.1,NP_001330662.1 intracellular protein transporter USO1-like protein [Arabidopsis thaliana],70.588
Vitvi19g00484,298.95241524091,1.40786718441954,1.35648284532576,0.217796682757949,6.61496198179823,3.71647246409908e-11,3.4946189170055303e-09,0.0276575861664982,0.427092559934727,0.0124477712378557,False,True,True,False,Rpv12+1,0,,NP_194449.1,NP_194449.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],30.167
Vitvi15g04472,248.746698160711,2.58626704124877,2.47536026860154,0.396711524830306,6.5943675938098,4.2707235913474595e-11,3.91128425265561e-09,2.62057349091855e-05,0.0020963786528727,1.31195214646027e-05,True,True,True,True,Rpv12+1,0,MYB102,NP_567626.1,NP_567626.1 MYB-like 102 [Arabidopsis thaliana],57.825
Vitvi12g01885,121.949812435513,2.44239746327593,2.32682570179841,0.378640146800214,6.59366042786448,4.29112584248905e-11,3.9154139353911204e-09,4.93037106641868e-05,0.0036433213764532,3.11053070825234e-05,True,True,True,True,Rpv12+1,0,,NP_188065.1,NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],43.95
Vitvi16g01877,1503.49106334078,-2.03422544047485,-1.94494489897671,0.313862092258283,-6.48495687578027,8.87571683517181e-11,5.41242970176467e-09,0.0004885609760298,0.0172473233089941,0.0001820650093851,True,True,True,True,Rpv12+1,24,,NP_181039.1,NP_181039.1 disease resistance family protein / LRR family protein [Arabidopsis thaliana],35.491
Vitvi14g02729,1096.7691757176,1.50940362646552,1.44799803435614,0.244293733237664,6.47842517745253,9.268487260521019e-11,7.714136896966071e-09,0.0143938259919565,0.278703252497107,0.0077974587885767,False,True,True,False,Rpv12+1,0,,NP_194449.1,NP_194449.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana],25.696
Vitvi16g01979,1431.66075318289,-4.38372210794414,-4.13802142564833,0.707481967271158,-6.40570760926316,1.49673562432786e-10,8.75856979594802e-09,3.81777944588578e-07,3.5165243846805e-05,5.60457286679035e-07,True,True,True,True,Rpv12+1,24,CHIA,NP_197797.1,NP_197797.1 chitiNAse A [Arabidopsis thaliana],72.161
Vitvi17g04034,24.0438681175647,-8.70362994634838,-9.48183435264145,2.94757440321845,-6.43912701645926,1.20162613783713e-10,9.802404480713792e-09,6.015152374791941e-09,1.23897929899356e-06,0.00030637847267,True,True,True,True,Rpv12+1,0,WAK2,NP_173549.1,NP_173549.1 wall-associated kiNAse 2 [Arabidopsis thaliana],34.382
