geneID,degree_centrality,is_significant_module_anchor,TAIR10,Athal.common.NAme,locus_tag,homology,Athaliana_TAIR10_homolog
Vitvi06g01596,3391,True,NP_176113.1,,AT1G58170,67.55,NP_176113.1 Disease resistance-responsive (dirigent-like protein) family protein [Arabidopsis thaliana]
Vitvi03g00535,3390,True,NP_201522.1,IRX15-L,AT5G67210,61.006,NP_201522.1 IRREGULAR XYLEM protein (DUF579) [Arabidopsis thaliana]
Vitvi08g01768,3388,True,NP_187809.3,,AT3G12020,72.929,NP_187809.3 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana]
Vitvi12g00721,3385,True,NP_193009.1,FLA2,AT4G12730,60.763,NP_193009.1 FASCICLIN-like arabinogalactan 2 [Arabidopsis thaliana]
Vitvi06g01389,3372,True,NP_563807.1,AXS2,AT1G08200,90.488,NP_563807.1 UDP-D-apiose/UDP-D-xylose synthase 2 [Arabidopsis thaliana]
Vitvi19g00735,3372,True,NP_001032080.1,,AT5G56040,69.581,NP_001032080.1 Leucine-rich receptor-like protein kiNAse family protein [Arabidopsis thaliana]
Vitvi18g01235,3368,True,NP_175319.2,TBL7,AT1G48880,61.979,NP_175319.2 TRICHOME BIREFRINGENCE-LIKE 7 [Arabidopsis thaliana]
Vitvi08g01168,3365,True,NP_568102.1,,AT5G02540,73.27,NP_568102.1 NAD(P)-binding Rossmann-fold superfamily protein [Arabidopsis thaliana]
Vitvi10g00949,3355,True,NP_001320016.1,GHR1,AT4G20940,71.265,NP_001320016.1 Leucine-rich receptor-like protein kiNAse family protein [Arabidopsis thaliana]
Vitvi17g00673,3354,True,NP_196400.2,GUS2,AT5G07830,65.201,NP_196400.2 glucuronidase 2 [Arabidopsis thaliana]
Vitvi19g00261,3354,True,NP_566516.1,,AT3G15480,64.571,NP_566516.1 fiber (DUF1218) [Arabidopsis thaliana]
Vitvi18g00008,3353,True,NP_201279.1,CESA6,AT5G64740,73.059,NP_201279.1 cellulose synthase 6 [Arabidopsis thaliana]
Vitvi01g01660,3349,True,NP_974875.1,SPL2,AT5G43270,43.213,NP_974875.1 squamosa promoter binding protein-like 2 [Arabidopsis thaliana]
Vitvi18g01022,3344,True,NP_568001.1,BGAL3,AT4G36360,71.598,NP_568001.1 beta-galactosidase 3 [Arabidopsis thaliana]
Vitvi02g01236,3336,True,NP_174446.2,ROPGEF14,AT1G31650,63.276,NP_174446.2 RHO guanyl-nucleotide exchange factor 14 [Arabidopsis thaliana]
Vitvi03g00251,3336,True,NP_567982.1,,AT4G35320,53.409,NP_567982.1 hypothetical protein AT4G35320 [Arabidopsis thaliana]
Vitvi15g00943,3335,True,NP_192822.1,KLCR1,AT4G10840,69.168,NP_192822.1 Tetratricopeptide repeat (TPR)-like superfamily protein [Arabidopsis thaliana]
Vitvi09g00438,3333,True,NP_001321543.1,CDI,AT1G64980,74.231,NP_001321543.1 Nucleotide-diphospho-sugar transferases superfamily protein [Arabidopsis thaliana]
Vitvi12g00440,3333,True,NP_178637.2,,AT2G05790,76.6,NP_178637.2 O-Glycosyl hydrolases family 17 protein [Arabidopsis thaliana]
Vitvi14g00114,3327,True,NP_001190407.1,TRM8,AT5G26910,36.888,NP_001190407.1 GPI-anchored adhesin-like protein [Arabidopsis thaliana]
Vitvi18g00617,3326,True,NP_172483.4,,AT1G10120,42.157,NP_172483.4 basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Arabidopsis thaliana]
Vitvi03g00553,3318,True,NP_567961.1,,AT4G34220,52.146,NP_567961.1 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]
Vitvi18g00881,3318,True,NP_187982.1,,AT3G13690,49.553,NP_187982.1 kiNAse with adenine nucleotide alpha hydrolases-like domain-containing protein [Arabidopsis thaliana]
Vitvi13g00614,3312,True,NP_195015.1,GATA9,AT4G32890,35.952,NP_195015.1 GATA transcription factor 9 [Arabidopsis thaliana]
Vitvi18g00743,3309,True,NP_188563.1,,AT3G19320,47.123,NP_188563.1 Leucine-rich repeat (LRR) family protein [Arabidopsis thaliana]
Vitvi06g00459,3307,True,NP_190239.1,SOS5,AT3G46550,59.302,NP_190239.1 Fasciclin-like arabinogalactan family protein [Arabidopsis thaliana]
Vitvi12g02142,3299,True,NP_565285.1,STI,AT2G02480,54.916,NP_565285.1 AAA-type ATPase family protein [Arabidopsis thaliana]
Vitvi09g00018,3295,True,NP_175787.1,PME1,AT1G53840,61.301,NP_175787.1 pectin methylesterase 1 [Arabidopsis thaliana]
Vitvi16g00875,3295,True,NP_180377.2,FUC1,AT2G28100,55.286,NP_180377.2 alpha-L-fucosidase 1 [Arabidopsis thaliana]
Vitvi13g01672,3292,True,NP_565960.1,,AT2G41770,68.476,"NP_565960.1 transmembrane protein, putative (DUF288) [Arabidopsis thaliana]"
Vitvi15g01011,3290,True,NP_171650.2,TBL25,AT1G01430,58.114,NP_171650.2 TRICHOME BIREFRINGENCE-LIKE 25 [Arabidopsis thaliana]
Vitvi14g00952,3287,True,NP_198595.1,,AT5G37790,64.844,NP_198595.1 Protein kiNAse superfamily protein [Arabidopsis thaliana]
Vitvi08g01523,3286,True,NP_195996.1,ATCSLA09,AT5G03760,80.863,NP_195996.1 Nucleotide-diphospho-sugar transferases superfamily protein [Arabidopsis thaliana]
Vitvi06g00417,3282,True,NP_200788.1,MBD7,AT5G59800,32.093,NP_200788.1 methyl-CPG-binding domain 7 [Arabidopsis thaliana]
Vitvi14g01910,3276,True,NP_177607.2,IQD31,AT1G74690,39.545,NP_177607.2 IQ-domain 31 [Arabidopsis thaliana]
Vitvi05g00321,3267,True,NP_567241.1,XT2,AT4G02500,84.649,NP_567241.1 UDP-xylosyltransferase 2 [Arabidopsis thaliana]
Vitvi05g00616,3265,True,NP_180232.1,KCS11,AT2G26640,77.756,NP_180232.1 3-ketoacyl-CoA synthase 11 [Arabidopsis thaliana]
Vitvi13g01855,3265,True,NP_175933.1,,AT1G55360,70.702,NP_175933.1 tRNA-splicing ligase (DUF239) [Arabidopsis thaliana]
Vitvi01g00258,3263,True,NP_173922.1,,AT1G25510,66.091,NP_173922.1 Eukaryotic aspartyl protease family protein [Arabidopsis thaliana]
Vitvi09g00030,3259,True,NP_566483.1,,AT3G14240,78.6,NP_566483.1 Subtilase family protein [Arabidopsis thaliana]
Vitvi04g00735,3257,True,NP_194887.1,CSLC5,AT4G31590,82.014,NP_194887.1 Cellulose-synthase-like C5 [Arabidopsis thaliana]
Vitvi18g00697,3250,True,NP_195453.1,CYP81D8,AT4G37370,50.699,"NP_195453.1 cytochrome P450, family 81, subfamily D, polypeptide 8 [Arabidopsis thaliana]"
Vitvi06g00575,3249,True,NP_187740.2,,AT3G11320,83.224,NP_187740.2 Nucleotide-sugar transporter family protein [Arabidopsis thaliana]
Vitvi12g00443,3249,True,NP_849939.1,,AT2G05810,61.831,NP_849939.1 ARM repeat superfamily protein [Arabidopsis thaliana]
Vitvi18g01321,3248,True,NP_174694.2,,AT1G34340,68.852,NP_174694.2 alpha/beta-Hydrolases superfamily protein [Arabidopsis thaliana]
Vitvi07g01124,3242,True,NP_566301.1,,AT3G07210,63.732,NP_566301.1 hypothetical protein AT3G07210 [Arabidopsis thaliana]
Vitvi19g00469,3235,True,NP_194436.2,TOR1,AT4G27060,56.217,NP_194436.2 ARM repeat superfamily protein [Arabidopsis thaliana]
Vitvi06g01830,3232,True,NP_001030803.1,LTPG2,AT3G43720,48.387,NP_001030803.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]
Vitvi14g01735,3231,True,NP_197300.1,TRP1,AT5G17990,75.221,NP_197300.1 tryptophan biosynthesis 1 [Arabidopsis thaliana]
Vitvi17g04009,3231,True,NP_563916.1,DET3,AT1G12840,81.283,NP_563916.1 vacuolar ATP synthase subunit C (VATC) / V-ATPase C subunit / vacuolar proton pump C subunit (DET3) [Arabidopsis thaliana]
Vitvi07g01732,3229,True,NP_192172.1,,AT4G02630,68.699,NP_192172.1 Protein kiNAse superfamily protein [Arabidopsis thaliana]
Vitvi03g00088,3227,True,NP_195212.1,A/N-InvB,AT4G34860,82.807,NP_195212.1 Plant neutral invertase family protein [Arabidopsis thaliana]
Vitvi01g01806,3225,True,NP_566438.1,BRG3,AT3G12920,37.104,NP_566438.1 SBP (S-ribonuclease binding protein) family protein [Arabidopsis thaliana]
Vitvi07g00064,3220,True,NP_001325882.1,TRM5,AT3G63430,42.907,NP_001325882.1 zinc finger CCCH domain protein [Arabidopsis thaliana]
Vitvi07g00400,3219,True,NP_192119.2,,AT4G02100,67.023,NP_192119.2 Heat shock protein DNAJ with tetratricopeptide repeat-containing protein [Arabidopsis thaliana]
Vitvi07g04656,3217,True,NP_175423.1,TUA2,AT1G50010,97.118,NP_175423.1 tubulin alpha-2 chain [Arabidopsis thaliana]
Vitvi02g00232,3212,True,NP_194145.1,,AT4G24140,62.525,NP_194145.1 alpha/beta-Hydrolases superfamily protein [Arabidopsis thaliana]
Vitvi10g00414,3212,True,NP_192402.1,DES-1-LIKE,AT4G04930,81.25,NP_192402.1 fatty acid desaturase family protein [Arabidopsis thaliana]
Vitvi15g00690,3210,True,NP_566041.2,,AT2G45290,78.209,NP_566041.2 Transketolase [Arabidopsis thaliana]
Vitvi17g00228,3210,True,NP_566596.1,,AT3G18050,58.861,NP_566596.1 GPI-anchored protein [Arabidopsis thaliana]
Vitvi11g00539,3209,True,NP_197527.1,HHP1,AT5G20270,56.374,NP_197527.1 heptahelical transmembrane protein1 [Arabidopsis thaliana]
Vitvi08g01059,3208,True,NP_190906.1,,AT3G53380,71.701,NP_190906.1 ConcaNAvalin A-like lectin protein kiNAse family protein [Arabidopsis thaliana]
Vitvi15g01178,3202,True,NP_182103.1,PMM,AT2G45790,80.894,NP_182103.1 phosphomannomutase [Arabidopsis thaliana]
Vitvi06g01227,3201,True,NP_974777.1,,AT5G13500,73.889,NP_974777.1 Hyp O-arabinosyltransferase-like protein [Arabidopsis thaliana]
Vitvi16g00071,3200,True,NP_001321543.1,CDI,AT1G64980,78.039,NP_001321543.1 Nucleotide-diphospho-sugar transferases superfamily protein [Arabidopsis thaliana]
Vitvi07g04401,3199,True,NP_199657.1,,AT5G48460,77.376,NP_199657.1 Actin binding Calponin homology (CH) domain-containing protein [Arabidopsis thaliana]
Vitvi06g01930,3197,True,NP_191681.1,SDR1,AT3G61220,53.465,NP_191681.1 NAD(P)-binding Rossmann-fold superfamily protein [Arabidopsis thaliana]
Vitvi11g00398,3196,True,NP_180259.1,ABCG32,AT2G26910,77.551,NP_180259.1 pleiotropic drug resistance 4 [Arabidopsis thaliana]
Vitvi18g02144,3194,True,NP_973705.4,,AT2G47010,57.258,NP_973705.4 calcium/calcium/calmodulin-dependent Serine/Threonine-kiNAse [Arabidopsis thaliana]
Vitvi11g00089,3193,True,NP_197563.1,GER3,AT5G20630,68.421,NP_197563.1 germin 3 [Arabidopsis thaliana]
Vitvi06g00173,3191,True,NP_196794.1,,AT5G12900,56.923,NP_196794.1 DNA double-strand break repair RAD50 ATPase [Arabidopsis thaliana]
Vitvi15g04494,3191,True,NP_001329236.1,HHP4,AT4G37680,73.85,NP_001329236.1 heptahelical protein 4 [Arabidopsis thaliana]
Vitvi01g00541,3190,True,NP_001323555.1,,AT2G01900,64.286,NP_001323555.1 DNAse I-like superfamily protein [Arabidopsis thaliana]
Vitvi18g04039,3188,True,NP_001321002.1,,AT1G77280,58.553,NP_001321002.1 kiNAse with adenine nucleotide alpha hydrolases-like domain-containing protein [Arabidopsis thaliana]
Vitvi12g00572,3187,True,NP_188849.3,,AT3G22104,50,NP_188849.3 Phototropic-responsive NPH3 family protein [Arabidopsis thaliana]
Vitvi16g01418,3186,True,NP_190491.1,,AT3G49220,64.169,NP_190491.1 Plant invertase/pectin methylesterase inhibitor superfamily [Arabidopsis thaliana]
Vitvi18g00616,3185,True,NP_192536.1,CSLC12,AT4G07960,78.23,NP_192536.1 Cellulose-synthase-like C12 [Arabidopsis thaliana]
Vitvi08g00961,3183,True,NP_196786.1,TUB6,AT5G12250,97.285,NP_196786.1 beta-6 tubulin [Arabidopsis thaliana]
Vitvi01g00052,3182,True,NP_001078720.1,APE2,AT5G46110,68,NP_001078720.1 Glucose-6-phosphate/phosphate translocator-like protein [Arabidopsis thaliana]
Vitvi03g00223,3182,True,NP_195556.1,ROPGEF1,AT4G38430,68.412,NP_195556.1 rho guanyl-nucleotide exchange factor 1 [Arabidopsis thaliana]
Vitvi04g00164,3181,True,NP_171720.2,,AT1G02180,43.158,NP_171720.2 ferredoxin-like protein [Arabidopsis thaliana]
Vitvi07g00351,3179,True,NP_192141.1,,AT4G02320,53.427,NP_192141.1 Plant invertase/pectin methylesterase inhibitor superfamily [Arabidopsis thaliana]
Vitvi10g00523,3179,True,NP_199408.1,,AT5G45960,60.671,NP_199408.1 GDSL-like Lipase/Acylhydrolase superfamily protein [Arabidopsis thaliana]
Vitvi18g00274,3178,True,NP_173601.2,,AT1G21830,49.763,NP_173601.2 hypothetical protein AT1G21830 [Arabidopsis thaliana]
Vitvi08g01923,3175,True,NP_191299.1,,AT3G57400,40.613,NP_191299.1 transmembrane protein [Arabidopsis thaliana]
Vitvi18g00043,3175,True,NP_177775.2,HMG1,AT1G76490,75.208,NP_177775.2 hydroxy methylglutaryl CoA reductase 1 [Arabidopsis thaliana]
Vitvi18g02072,3175,True,NP_172472.1,AAP8,AT1G10010,49.782,NP_172472.1 amino acid permease 8 [Arabidopsis thaliana]
Vitvi18g00022,3174,True,NP_565768.1,GALS1,AT2G33570,68.862,NP_565768.1 glycosyltransferase family protein (DUF23) [Arabidopsis thaliana]
Vitvi03g00340,3170,True,NP_195174.6,,AT4G34480,72.35,NP_195174.6 O-Glycosyl hydrolases family 17 protein [Arabidopsis thaliana]
Vitvi07g01699,3166,True,NP_851151.1,FRA1,AT5G47820,76.493,NP_851151.1 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana]
Vitvi04g01733,3163,True,NP_201208.2,,AT5G64030,62.932,NP_201208.2 S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Arabidopsis thaliana]
Vitvi07g01439,3162,True,NP_196610.2,PAS2,AT5G10480,78.082,"NP_196610.2 Protein-tyrosine phosphatase-like, PTPLA [Arabidopsis thaliana]"
Vitvi16g01204,3157,True,NP_194105.1,,AT4G23740,60.48,NP_194105.1 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]
Vitvi13g00738,3154,True,NP_196086.1,CYP77A4,AT5G04660,72.345,"NP_196086.1 cytochrome P450, family 77, subfamily A, polypeptide 4 [Arabidopsis thaliana]"
Vitvi06g00501,3153,True,NP_191112.1,SDIR1,AT3G55530,75,NP_191112.1 RING/U-box superfamily protein [Arabidopsis thaliana]
Vitvi11g00360,3153,True,NP_189091.1,,AT3G24480,70.423,NP_189091.1 Leucine-rich repeat (LRR) family protein [Arabidopsis thaliana]
Vitvi18g01253,3145,True,NP_199705.2,,AT5G48940,53.035,NP_199705.2 Leucine-rich repeat transmembrane protein kiNAse family protein [Arabidopsis thaliana]
Vitvi01g01782,3144,True,NP_172633.1,CYP51G1,AT1G11680,81.856,NP_172633.1 CYTOCHROME P450 51G1 [Arabidopsis thaliana]
Vitvi05g00006,3144,True,NP_001189833.1,,AT3G06880,47.414,NP_001189833.1 Transducin/WD40 repeat-like superfamily protein [Arabidopsis thaliana]
Vitvi08g00041,3144,True,NP_566329.1,,AT3G08600,58.363,"NP_566329.1 transmembrane protein, putative (DUF1191) [Arabidopsis thaliana]"
Vitvi19g00529,3142,True,NP_172655.1,APA1,AT1G11910,71.79,NP_172655.1 aspartic proteiNAse A1 [Arabidopsis thaliana]
Vitvi13g00028,3141,True,NP_181536.3,,AT2G40070,60.877,NP_181536.3 flocculation FLO11-like protein [Arabidopsis thaliana]
Vitvi17g00560,3141,True,NP_177607.2,IQD31,AT1G74690,48.241,NP_177607.2 IQ-domain 31 [Arabidopsis thaliana]
Vitvi14g02010,3139,True,NP_197039.1,ENODL17,AT5G15350,50.588,NP_197039.1 early nodulin-like protein 17 [Arabidopsis thaliana]
Vitvi05g01763,3138,True,,,,,a match not found in blastP with e-value<0.000001
Vitvi01g00542,3136,True,NP_001030944.1,CYCJ18,AT2G01905,61.435,NP_001030944.1 cyclin J18 [Arabidopsis thaliana]
Vitvi07g02789,3135,True,NP_189139.1,,AT3G25030,34.639,NP_189139.1 RING/U-box superfamily protein [Arabidopsis thaliana]
Vitvi06g00447,3131,True,NP_200743.1,,AT5G59350,48.077,NP_200743.1 transmembrane protein [Arabidopsis thaliana]
Vitvi02g00709,3126,True,NP_568666.1,bHLH071,AT5G46690,51.393,NP_568666.1 beta HLH protein 71 [Arabidopsis thaliana]
Vitvi04g00479,3125,True,NP_197921.1,SHN3,AT5G25390,59.896,NP_197921.1 Integrase-type DNA-binding superfamily protein [Arabidopsis thaliana]
Vitvi08g02109,3120,True,NP_187692.2,,AT3G10810,46.927,NP_187692.2 zinc finger (C3HC4-type RING finger) family protein [Arabidopsis thaliana]
Vitvi18g00472,3120,True,NP_201341.1,,AT5G65380,59.336,NP_201341.1 MATE efflux family protein [Arabidopsis thaliana]
Vitvi16g00837,3113,True,NP_194266.2,TBL18,AT4G25360,61.905,NP_194266.2 TRICHOME BIREFRINGENCE-LIKE 18 [Arabidopsis thaliana]
Vitvi08g01410,3110,True,NP_566392.1,,AT3G11590,60.287,NP_566392.1 golgin family A protein [Arabidopsis thaliana]
Vitvi04g00070,3105,True,NP_200486.1,NDL1,AT5G56750,78.462,NP_200486.1 N-MYC downregulated-like 1 [Arabidopsis thaliana]
Vitvi18g00137,3100,True,NP_177743.1,sks5,AT1G76160,82.156,NP_177743.1 SKU5 similar 5 [Arabidopsis thaliana]
Vitvi09g00373,3099,True,NP_566534.1,,AT3G16060,72.855,NP_566534.1 ATP binding microtubule motor family protein [Arabidopsis thaliana]
Vitvi03g00482,3094,True,NP_178453.1,,AT2G03550,44.013,NP_178453.1 alpha/beta-Hydrolases superfamily protein [Arabidopsis thaliana]
Vitvi10g00100,3088,True,NP_567641.1,PRXR1,AT4G21960,81.818,NP_567641.1 Peroxidase superfamily protein [Arabidopsis thaliana]
