geneID,spearman_rho,pvalue,padj,fdr,module_size,TAIR10,Athal.common.NAme,locus_tag,homology
Vitvi11g00730,-0.874344762938948,3.2523062961680597e-12,1.38288063713066e-08,1.72860079641333e-10,10,NP_179497.1,SHT,AT2G19070,51.126
Vitvi12g04523,-0.873534809302447,3.6042230118780396e-12,1.53251562465054e-08,1.891994598334e-10,26,,,,
Vitvi06g00016,0.872891219991977,3.90885898669595e-12,1.66204684114312e-08,1.99224294904032e-10,9,NP_178409.2,EXPA15,AT2G03090,78.543
Vitvi18g00271,-0.872435015999964,4.13917043718778e-12,1.75997526989224e-08,1.99224294904032e-10,538,NP_187178.2,,AT3G05270,41.921
Vitvi09g00372,-0.872435015999964,4.13917043718778e-12,1.75997526989224e-08,1.99224294904032e-10,325,NP_563968.1,,AT1G15260,31.336
Vitvi04g01696,-0.872234742777271,4.24422412667005e-12,1.80464409866011e-08,1.99224294904032e-10,40,NP_173566.1,SCL1,AT1G21450,55.593
Vitvi04g01481,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,679,NP_001332004.1,,AT5G66150,66.83
Vitvi11g00089,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,787,NP_197563.1,GER3,AT5G20630,68.421
Vitvi11g00398,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,844,NP_180259.1,ABCG32,AT2G26910,77.551
Vitvi04g00932,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,665,NP_176789.1,TMK1,AT1G66150,74.839
Vitvi14g02010,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,663,NP_197039.1,ENODL17,AT5G15350,50.588
Vitvi07g00064,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,767,NP_001325882.1,TRM5,AT3G63430,42.907
Vitvi06g01596,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,894,NP_176113.1,,AT1G58170,67.55
Vitvi04g00735,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,843,NP_194887.1,CSLC5,AT4G31590,82.014
Vitvi08g01523,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,860,NP_195996.1,ATCSLA09,AT5G03760,80.863
Vitvi13g01731,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,902,NP_196136.1,CEV1,AT5G05170,85.517
Vitvi06g00761,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,527,NP_180589.1,,AT2G30300,47.18
Vitvi19g00586,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,289,NP_200345.1,,AT5G55340,46.291
Vitvi06g00906,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,306,NP_181137.2,PUB23,AT2G35930,55.529
Vitvi11g01134,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,670,NP_567839.1,,AT4G30020,81.74
Vitvi07g00351,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,794,NP_192141.1,,AT4G02320,53.427
Vitvi16g00875,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,789,NP_180377.2,FUC1,AT2G28100,55.286
Vitvi11g00365,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,749,NP_566747.1,,AT3G24450,58.571
Vitvi18g01098,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,944,NP_177697.1,GH9B7,AT1G75680,72.676
Vitvi18g01148,-0.871125053513477,4.87284258467059e-12,2.07193266700193e-08,1.99224294904032e-10,950,NP_174115.1,ABCB13,AT1G27940,71.195
Vitvi19g04529,0.870812056826063,5.0652585379416395e-12,2.15374793033279e-08,2.05118850507884e-10,16,,,,
Vitvi08g02387,0.869753273331441,5.7699936874533296e-12,2.45340131590516e-08,2.0768926511977e-10,6,,,,
Vitvi19g04122,0.869487292033731,5.96087716899718e-12,2.5345649722576e-08,2.0768926511977e-10,8,,,,
Vitvi01g00845,0.868787174624001,6.4918599557659595e-12,2.76033885319169e-08,2.0768926511977e-10,4,NP_177003.1,,AT1G68360,70.213
Vitvi08g01561,-0.868505128540505,6.71798141777423e-12,2.8564856988376e-08,2.0768926511977e-10,12,NP_181204.1,PAB7,AT2G36660,54.896
Vitvi08g01863,-0.868505128540505,6.71798141777423e-12,2.8564856988376e-08,2.0768926511977e-10,265,NP_196311.1,,AT5G06940,65.558
Vitvi03g01350,-0.868505128540505,6.71798141777423e-12,2.8564856988376e-08,2.0768926511977e-10,224,NP_001320138.1,,AT4G34800,62.5
Vitvi01g00864,-0.868407732077501,6.7977576335572995e-12,2.89040654578856e-08,2.0768926511977e-10,168,NP_564273.1,,AT1G27210,51.509
Vitvi19g01484,0.867494336566525,7.59013278498443e-12,3.22732446017538e-08,2.0768926511977e-10,94,NP_175997.1,NAC1,AT1G56010,53.727
Vitvi18g00683,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,574,NP_569048.1,ARA12,AT5G67360,66.754
Vitvi10g02177,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,443,NP_188849.3,,AT3G22104,45.688
Vitvi04g01389,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,686,NP_568001.1,BGAL3,AT4G36360,79.147
Vitvi08g01168,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,923,NP_568102.1,,AT5G02540,73.27
Vitvi17g00480,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,692,NP_568930.1,COB,AT5G60920,79.819
Vitvi18g00008,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,856,NP_201279.1,CESA6,AT5G64740,73.059
Vitvi05g00077,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,572,NP_199741.1,GATA16,AT5G49300,59.355
Vitvi16g01418,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,778,NP_190491.1,,AT3G49220,64.169
Vitvi08g01426,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,246,NP_197630.1,NAC090,AT5G22380,52.778
Vitvi08g01702,0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,44,NP_191283.2,BG3,AT3G57240,64.241
Vitvi06g04092,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,472,,,,
Vitvi07g04661,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,337,NP_195494.1,XTH7,AT4G37800,76.573
Vitvi02g01230,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,360,NP_193677.2,,AT4G19420,66.837
Vitvi14g02758,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,455,NP_194452.1,,AT4G27220,29.577
Vitvi07g00390,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,488,NP_191822.1,,AT3G62630,60.052
Vitvi01g00593,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,477,NP_564906.1,,AT1G67750,85.013
Vitvi15g00947,-0.866758511891856,8.29025229610732e-12,3.52501527630483e-08,2.0768926511977e-10,363,NP_563624.1,,AT1G01250,57.282
Vitvi07g01415,-0.866716577779395,8.33191156285574e-12,3.54272879652626e-08,2.0768926511977e-10,104,NP_565540.4,,AT2G22590,55.172
Vitvi12g04607,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,35,NP_194339.1,RPS2,AT4G26090,25.328
Vitvi19g01720,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,34,,,,
Vitvi12g04515,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,9,,,,
Vitvi00g04763,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,3,NP_196505.2,,AT5G09430,63.934
Vitvi00g04602,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,5,NP_567552.2,DEG5,AT4G18370,76.471
Vitvi12g04641,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,17,NP_199792.1,MMT,AT5G49810,47.706
Vitvi16g01935,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,12,NP_188272.1,,AT3G16510,36.667
Vitvi09g04595,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,18,,,,
Vitvi05g04062,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,17,,,,
Vitvi00g04037,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,10,NP_188064.1,,AT3G14460,28.947
Vitvi12g04505,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,12,NP_188065.1,,AT3G14470,44.918
Vitvi18g00106,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,11,NP_177755.3,,AT1G76280,51.282
Vitvi12g04598,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,31,NP_001328297.1,,AT4G10780,36.0
Vitvi05g01815,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,3,NP_187683.2,,AT3G10720,34.219
Vitvi12g04463,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,27,,,,
Vitvi12g04495,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,4,NP_188065.1,,AT3G14470,47.297
Vitvi07g01315,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,31,NP_201491.1,,AT5G66900,40.511
Vitvi12g04467,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,19,NP_188064.1,,AT3G14460,34.973
Vitvi12g02633,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,30,NP_191024.1,,AT3G54630,50.362
Vitvi18g00191,-0.866359712001401,8.69442361037601e-12,3.69686891913188e-08,2.0768926511977e-10,10,NP_195643.1,CAD9,AT4G39330,58.333
Vitvi13g01634,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,3,NP_191906.1,scpl40,AT3G63470,62.796
Vitvi19g04233,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,7,NP_194434.2,VPS22,AT4G27040,80.531
Vitvi00g04024,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,14,NP_188064.1,,AT3G14460,30.46
Vitvi12g04404,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,41,NP_191024.1,,AT3G54630,42.548
Vitvi01g00463,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,14,NP_172940.1,PCR2,AT1G14870,58.219
Vitvi13g01984,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,21,NP_200255.5,CLUB,AT5G54440,75.926
Vitvi13g04706,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,29,,,,
Vitvi13g04699,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,3,,,,
Vitvi15g01687,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,48,NP_190583.4,,AT3G50140,26.483
Vitvi09g00867,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,11,NP_188065.1,,AT3G14470,28.947
Vitvi03g04466,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,6,NP_172642.3,,AT1G11770,55.668
Vitvi19g00476,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,22,NP_194432.1,,AT4G27020,74.39
Vitvi09g04292,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,8,NP_188065.1,,AT3G14470,31.792
Vitvi03g00752,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,11,NP_179068.1,PR1,AT2G14610,64.706
Vitvi06g04118,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,16,,,,
Vitvi06g04121,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,20,,,,
Vitvi03g00745,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,14,NP_188603.1,,AT3G19690,53.049
Vitvi00g04035,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,4,,,,
Vitvi18g02222,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,13,NP_197270.1,,AT5G17680,41.86
Vitvi03g01649,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,5,NP_179064.1,PRB1,AT2G14580,62.821
Vitvi09g01764,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,7,NP_188065.1,,AT3G14470,30.735
Vitvi09g04280,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,21,NP_188064.1,,AT3G14460,34.199
Vitvi09g04286,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,9,NP_188065.1,,AT3G14470,36.965
Vitvi03g01809,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,37,,,,
Vitvi09g00419,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,38,NP_001323155.1,RPS5,AT1G12220,39.812
Vitvi19g01875,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,7,,,,
Vitvi19g00709,0.866359712001401,8.69442361037607e-12,3.69686891913191e-08,2.0768926511977e-10,25,NP_180566.1,,AT2G30050,84.437
Vitvi12g00368,0.865971737360435,9.10519675486767e-12,3.87152966016974e-08,2.1628657319384002e-10,24,NP_198922.1,,AT5G41060,42.268
Vitvi12g02191,-0.864908660451573,1.03253903471697e-11,4.39035597561656e-08,2.43908665312031e-10,29,NP_174230.2,,AT1G29370,30.332
Vitvi13g02230,0.864629821128515,1.0669792369997001e-11,4.53679571572271e-08,2.50651697001255e-10,4,NP_188064.1,,AT3G14460,32.749
Vitvi17g00977,-0.864575241081045,1.0738447056818498e-11,4.56598768855921e-08,2.5087844442633e-10,144,NP_564906.1,,AT1G67750,85.271
Vitvi12g02755,-0.863157946310949,1.26722810536861e-11,5.38825390402733e-08,2.94440104045209e-10,324,NP_199791.2,,AT5G49800,76.068
Vitvi18g02472,0.862753930355779,1.32803069249053e-11,5.64678650446972e-08,3.06890570895094e-10,316,NP_001117322.1,,AT1G21000,71.616
Vitvi04g00070,-0.862391970270235,1.3848035955711299e-11,5.88818488836846e-08,3.13201323849386e-10,664,NP_200486.1,NDL1,AT5G56750,78.462
Vitvi02g00416,-0.862391970270235,1.3848035955711299e-11,5.88818488836846e-08,3.13201323849386e-10,742,NP_172718.2,,AT1G12570,63.339
Vitvi15g00804,-0.862391970270235,1.3848035955711299e-11,5.88818488836846e-08,3.13201323849386e-10,385,NP_191663.1,CYP76C7,AT3G61040,54.797
Vitvi19g00041,-0.862391970270235,1.3848035955711299e-11,5.88818488836846e-08,3.13201323849386e-10,554,NP_177992.1,TBL42,AT1G78710,54.678
