qseqid,sseqid,qlen,slen,qstart,qend,sstart,send,frames,length,qcovs,gaps,mismatch,score,evalue,TS_DW vs.TS_Mock-36 log2FoldChange,logFC,Group,description.x
VIT_03s0017g02260,Vitvi03g01872,196,303,97,196,204,303,1/1,100,51,0,0,430,2.31E-52,1.3967,2.176,lightyellow,XP_003631735.1 36.4 kDa proline-rich protein
VIT_18s0001g04640,Vitvi18g04065,77,77,1,77,1,77,1/1,77,100,0,0,403,2.89E-53,NA,-3.036,mediumpurple3,KAE8077364.1hypothetical protein FH972_015935
VIT_00s0480g00040,Vitvi10g04288,291,444,203,291,356,444,1/1,89,100,0,1,459,7.65E-54,4.4932,1.41,darkgreen,"XP_010647098.2 polyphenol oxidase, chloroplastic-like"
VIT_02s0025g02800,Vitvi02g00251,82,82,1,82,1,82,1/1,82,100,0,0,415,6.66E-55,0.9818,-1.926,orange,"CBI34609.3unnamed protein product, partial"
VIT_12s0057g00150,Vitvi12g02465,118,89,30,118,1,89,1/1,89,75,0,0,463,1.85E-61,1.932,1.35,lightyellow,XP_002274988.1PREDICTED: uncharacterized protein LOC100256196
VIT_12s0057g00070,Vitvi12g02457,89,89,1,89,1,89,1/1,89,100,0,0,463,5.32E-62,2.8561,1.024,lightyellow,XP_002275551.1PREDICTED: uncharacterized protein LOC100242538
VIT_12s0057g00170,Vitvi12g02466,89,89,1,89,1,89,1/1,89,100,0,0,465,2.03E-62,3.1343,1.014,lightyellow,XP_002274919.1PREDICTED: uncharacterized protein LOC100261290
VIT_19s0014g00250,VITMroCarlos_v1.3.g01274,421,411,57,420,16,402,1/1,399,86,47,204,531,4.62E-63,NA,4.126,darkolivegreen,tr|F6HK46|F6HK46_VITVI Uncharacterized protein OS=Vitis vinifera OX=29760 GN=VIT_12s0035g00910 PE=4 SV=1
VIT_04s0008g04000,VITMroCarlos_v1.3.g14915,146,259,1,145,111,254,1/1,145,99,1,54,527,2.38E-68,9.6653,-1.273,darkturquoise,tr|F6H2Z9|F6H2Z9_VITVI BURP domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_04s0008g04050 PE=4 SV=1
VIT_16s0050g01240,VITMroCarlos_v1.3.g16099,128,129,7,128,5,129,1/1,125,95,3,20,514,1.86E-68,0.98447,-2.269,grey60,sp|O03982|HIP39_ARATH Heavy metal-associated isoprenylated plant protein 39 OS=Arabidopsis thaliana OX=3702 GN=HIPP39 PE=2 SV=1
VIT_10s0003g01170,Vitvi10g00572,102,259,1,99,1,99,1/1,99,97,0,0,526,4.21E-69,1.6959,-1.205,darkgreen,XP_002273834.1 transcription factor bHLH106-like
VIT_00s0160g00100,Vitvi12g01792,158,1266,13,157,23,167,1/1,145,92,0,41,579,1.38E-69,NA,-1.16,mediumpurple3,XP_010657830.1 TMV resistance protein N isoform X1
VIT_17s0000g07670,VITMroTrayshed_v2.0.hap1.chr17.ver2.0.g214440,139,504,1,138,34,207,1/1,174,99,36,17,563,1.01E-70,3.11,-6.204,yellowgreen,betaine aldehyde dehydrogenase chloroplastic
VIT_17s0000g07670,VITMroCarlos_v1.3.g25445,139,504,1,138,34,207,1/1,174,99,36,18,561,9.09E-71,3.11,-4.363,yellowgreen,NA
VIT_11s0016g02160,VITMroTrayshed_v2.0.hap1.chr11.ver2.0.g136580,129,144,18,129,33,144,1/1,112,87,0,2,545,1.11E-72,0.73951,-1.317,grey,transmembrane 258
VIT_17s0000g06210,Vitvi17g00601,105,105,1,105,1,105,1/1,105,100,0,0,543,7.98E-74,-1.3343,1.092,greenyellow,XP_002284937.1 gibberellin-regulated protein 6
VIT_09s0002g04160,Vitvi09g01597,302,154,1,149,1,146,1/1,149,100,3,39,570,5.54E-74,1.1984,-1.478,mediumpurple3,RVW69485.1hypothetical protein CK203_054492
VIT_03s0038g02490,VITMroTrayshed_v2.0.hap1.chr03.ver2.0.g028550,152,155,36,152,39,155,1/1,117,77,0,11,559,2.85E-74,2.5568,4.913,red,SKP1 1A
VIT_03s0038g02490,VITMroCarlos_v1.3.g17821,152,156,36,152,40,156,1/1,117,77,0,11,559,1.52E-74,2.5568,2.886,red,sp|Q39255|SKP1A_ARATH SKP1-like protein 1A OS=Arabidopsis thaliana OX=3702 GN=SKP1A PE=1 SV=1
VIT_07s0005g02070,Vitvi07g02243,113,113,1,113,1,113,1/1,113,100,0,0,554,3.12E-75,5.0496,-1.01,cyan,XP_003632416.1 protein NIM1-INTERACTING 1
VIT_11s0118g00040,Vitvi11g01457,123,946,1,123,824,946,1/1,123,100,0,10,614,9.98E-76,Inf,1.507,darkgreen,XP_002264681.3 serine/threonine-protein kinase BRI1-like 2 isoform X1
VIT_17s0000g03780,Vitvi17g01409,115,115,1,115,1,115,1/1,115,100,0,0,573,6.14E-78,3.2176,-1.221,darkgreen,CAN78454.1hypothetical protein VITISV_002405
VIT_17s0000g04400,Vitvi17g00395,508,719,158,283,278,403,1/1,126,92,0,0,667,5.76E-79,1.2104,1.597,steelblue,XP_002274809.1 wall-associated receptor kinase-like 8
VIT_08s0007g07190,Vitvi08g01794,534,669,407,534,542,669,1/1,128,100,0,1,670,1.22E-79,3.1294,1.041,darkolivegreen,RVW46980.1IQ domain-containing protein IQM6
VIT_12s0057g01430,Vitvi12g02508,115,115,1,115,1,115,1/1,115,100,0,0,585,7.87E-80,1.0063,-1.612,mediumpurple3,XP_034701143.1 disease resistance protein Pik-1-like
VIT_09s0002g01750,VITMroCarlos_v1.3.g13225,118,118,1,118,1,118,1/1,118,100,0,1,604,1.43E-82,0.73975,3.846,yellowgreen,tr|F6HXZ4|F6HXZ4_VITVI Uncharacterized protein OS=Vitis vinifera OX=29760 GN=VIT_09s0002g01750 PE=4 SV=1
VIT_17s0000g05580,Vitvi17g00534,175,298,1,126,135,260,1/1,126,72,0,0,652,1.96E-86,1.1464,-1.155,darkturquoise,"XP_002271173.1 (-)-isopiperitenol/(-)-carveol dehydrogenase, mitochondrial"
VIT_15s0045g00550,VITMroCarlos_v1.3.g18478,270,495,1,146,1,146,1/1,146,54,0,5,730,6.8E-94,0.7143,-2.895,mediumpurple3,NA
VIT_01s0010g00760,Vitvi01g01320,134,134,1,134,1,134,1/1,134,100,0,0,683,3.15E-94,4.7602,1.14,darkgreen,"CBI27418.3unnamed protein product, partial"
VIT_05s0049g00750,Vitvi05g00726,159,159,1,159,1,159,1/1,159,100,0,0,702,2.48E-96,2.9199,-1.183,lightyellow,XP_002281143.1 proline-rich 33 kDa extensin-related protein-like
VIT_12s0057g00100,VITMroTrayshed_v2.0.hap1.chr12.ver2.0.g152050,161,161,1,161,1,161,1/1,161,100,0,8,708,1.07E-96,2.1982,1.002,lightyellow,wound-responsive family
VIT_02s0025g04870,Vitvi02g01414,138,142,1,138,1,142,1/1,142,100,4,0,703,5.77E-97,1.4657,-2.115,mediumpurple3,"CBI34789.3unnamed protein product, partial"
VIT_17s0000g02370,VITMroCarlos_v1.3.g25180,157,811,1,157,655,811,1/1,157,100,0,12,763,1.51E-97,4.4683,1,yellowgreen,NA
VIT_09s0002g06890,Vitvi09g01665,362,213,1,164,1,202,1/1,202,100,38,9,750,1.99E-99,6.5007,-1.219,darkgreen,XP_002265643.1 cucumber peeling cupredoxin-like
VIT_00s0480g00030,VITMroCarlos_v1.3.g20324,175,603,2,175,429,603,1/1,175,99,1,10,785,1.36E-102,4.2657,1.258,darkgreen,"sp|P43309|PPO_MALDO Polyphenol oxidase, chloroplastic OS=Malus domestica OX=3750 PE=1 SV=1"
VIT_14s0081g00030,Vitvi14g00487,144,144,1,144,1,144,1/1,144,100,0,0,754,1.26E-104,4.1982,-1.265,lightyellow,XP_002264720.1 pathogenesis-related protein PR-4
VIT_11s0016g04720,Vitvi11g00417,163,173,18,163,28,173,1/1,146,90,0,0,764,2.08E-105,1.0024,1.424,yellowgreen,XP_002284996.1 EG45-like domain containing protein
VIT_16s0050g01910,Vitvi16g01960,163,163,1,163,1,163,1/1,163,100,0,16,778,1.1E-107,2.5833,-1.68,darkgreen,RVW94591.1hypothetical protein CK203_030818
VIT_04s0008g04000,Vitvi04g00345,146,194,1,146,49,194,1/1,146,100,0,0,781,4.4E-108,9.6653,4.264,steelblue,XP_034683805.1BURP domain protein RD22-like isoform X2
VIT_13s0019g02740,Vitvi13g02014,152,152,1,152,1,152,1/1,152,100,0,0,780,2.57E-108,-1.2426,-1.599,grey60,XP_002281456.1 18.2 kDa class I heat shock protein
VIT_02s0025g04260,VITMroCarlos_v1.3.g08297,175,226,1,175,1,226,1/1,226,100,51,10,809,2.78E-111,5.0776,1.604,darkgreen,NA
VIT_02s0025g04260,Vitvi02g00393,175,226,1,175,1,226,1/1,226,100,51,4,831,1.35E-114,5.0776,2.365,darkgreen,XP_002283064.1 protein P21
VIT_10s0003g01160,Vitvi10g00572,160,259,1,160,100,259,1/1,160,100,0,0,837,2.51E-115,1.6791,-1.205,darkgreen,XP_002273834.1 transcription factor bHLH106-like
VIT_00s0480g00030,Vitvi10g04287,175,462,2,175,289,462,1/1,174,99,0,0,876,4.28E-118,4.2657,1.382,darkgreen,ALP46091.1polyphenol oxidase
VIT_16s0050g01890,Vitvi16g01960,163,163,1,163,1,163,1/1,163,100,0,0,864,7.32E-121,5.6073,-1.68,darkgreen,RVW94591.1hypothetical protein CK203_030818
VIT_03s0063g01960,Vitvi03g01517,169,169,1,169,1,169,1/1,169,100,0,0,879,6.65E-123,NA,1.098,grey,XP_010647836.1 hemoglobin-2
VIT_15s0021g01270,Vitvi15g01422,177,177,1,177,1,177,1/1,177,100,0,7,907,6.07E-127,6.0237,1.814,darkgreen,XP_019081023.1PREDICTED: uncharacterized protein LOC100242687
VIT_02s0154g00480,VITMroCarlos_v1.3.g06992,202,202,1,202,1,202,1/1,202,100,0,13,916,1.81E-127,2.531,-1.504,grey60,"sp|Q96331|HS23M_ARATH 23.6 kDa heat shock protein, mitochondrial OS=Arabidopsis thaliana OX=3702 GN=HSP23.6 PE=2 SV=1"
VIT_15s0021g01260,Vitvi15g01422,177,177,1,177,1,177,1/1,177,100,0,2,920,7.45E-129,6.2077,1.814,darkgreen,XP_019081023.1PREDICTED: uncharacterized protein LOC100242687
VIT_11s0016g05130,VITMroTrayshed_v2.0.hap1.chr11.ver2.0.g139410,181,214,1,181,34,214,1/1,181,100,0,2,935,3.34E-130,0.97268,-1.894,grey,signal peptidase complex catalytic subunit SEC11A-like
VIT_13s0019g00480,Vitvi13g00262,177,177,1,177,1,177,1/1,177,100,0,0,931,1.18E-130,3.6927,-1.69,darkgreen,XP_002284111.1 zinc finger protein ZAT12
VIT_05s0020g03690,VITMroCarlos_v1.3.g25917,181,181,1,181,1,181,1/1,181,100,0,3,946,1.12E-132,NA,3.264,darkgreen,tr|F6HDR6|F6HDR6_VITVI N-acetyltransferase domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_05s0020g03710 PE=4 SV=1
VIT_05s0020g03710,VITMroCarlos_v1.3.g25917,181,181,1,181,1,181,1/1,181,100,0,3,947,9.47E-133,1.354,3.264,darkgreen,tr|F6HDR6|F6HDR6_VITVI N-acetyltransferase domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_05s0020g03710 PE=4 SV=1
VIT_04s0044g00040,VITMroCarlos_v1.3.g16940,187,187,1,187,1,187,1/1,187,100,0,2,954,1.12E-133,NA,-6.218,darkgreen,tr|F6I0K3|F6I0K3_VITVI Dirigent protein OS=Vitis vinifera OX=29760 GN=VIT_04s0044g00040 PE=3 SV=1
VIT_08s0056g00290,VITMroCarlos_v1.3.g01359,193,193,1,193,1,193,1/1,193,100,0,6,955,1.04E-133,1.3583,1.853,lightyellow,NA
VIT_15s0024g00410,Vitvi15g00018,182,182,1,182,1,182,1/1,182,100,0,0,963,2.68E-135,3.3112,1.311,darkgreen,XP_002271399.1 protein PHLOEM PROTEIN 2-LIKE A1 isoform X2
VIT_07s0031g01710,Vitvi07g01847,181,194,1,181,14,194,1/1,181,100,0,0,968,6.65E-136,5.8126,-1.172,darkgreen,XP_010652864.1 probable WRKY transcription factor 51
VIT_16s0050g00430,Vitvi16g01039,187,187,1,187,1,187,1/1,187,100,0,0,974,8.71E-137,3.4127,-1.653,mediumpurple3,XP_002267611.1PREDICTED: uncharacterized protein LOC109121431
VIT_01s0010g03930,VITMroCarlos_v1.3.g11705,190,190,1,190,1,190,1/1,190,100,0,6,993,1.76E-139,3.1253,-1.854,darkgreen,tr|D7TB08|D7TB08_VITVI WRKY domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_01s0010g03930 PE=4 SV=1
VIT_12s0035g00880,Vitvi12g02022,190,203,1,190,14,203,1/1,190,100,0,0,1000,1.5E-140,-1.1089,-2.122,steelblue,XP_034701161.1metallothiol transferase FosB-like
VIT_05s0077g01600,Vitvi05g01754,196,196,1,196,1,196,1/1,196,100,0,0,1003,6.48E-141,6.3979,2.142,darkgreen,RVW99072.1Major allergen Pru ar 1
VIT_13s0067g03430,VITMroCarlos_v1.3.g10033,221,214,1,221,1,214,1/1,221,100,7,8,1010,3.82E-141,0.99759,1.268,mediumpurple3,NA
VIT_06s0004g01000,Vitvi06g01598,194,194,1,194,1,194,1/1,194,100,0,0,1010,4.82E-142,3.2627,1.498,darkgreen,XP_002285684.1 dirigent protein 22
VIT_05s0077g01230,VITMroCarlos_v1.3.g26511,194,194,1,194,1,194,1/1,194,100,0,0,1022,7.26E-144,0.78633,2.371,yellowgreen,sp|O04834|SAR1A_ARATH GTP-binding protein SAR1A OS=Arabidopsis thaliana OX=3702 GN=SAR1A PE=2 SV=1
VIT_14s0081g00050,Vitvi14g00488,198,198,1,198,1,198,1/1,198,100,0,0,1026,2.25E-144,NA,-3.407,darkgreen,XP_002264647.1 pathogenesis-related protein PR-4
VIT_00s0271g00110,VITMroCarlos_v1.3.g20244,204,204,1,204,1,204,1/1,204,100,0,1,1044,8.13E-147,2.2815,2.445,darkgreen,sp|Q6NQE2|FQRL1_ARATH Probable NAD(P)H dehydrogenase (quinone) FQR1-like 1 OS=Arabidopsis thaliana OX=3702 GN=At4g27270 PE=1 SV=1
VIT_13s0019g03930,Vitvi13g02055,204,204,1,204,1,204,1/1,204,100,0,0,1056,9.08E-149,3.3902,-1.244,darkgreen,XP_010658647.1PREDICTED: uncharacterized protein LOC104881153
VIT_02s0025g04230,VITMroCarlos_v1.3.g08297,226,226,1,226,1,226,1/1,226,100,0,20,1091,2.74E-153,5.6672,1.604,darkgreen,NA
VIT_02s0025g04270,VITMroCarlos_v1.3.g08297,226,226,1,226,1,226,1/1,226,100,0,17,1105,1.84E-155,4.6004,1.604,darkgreen,NA
VIT_16s0039g02210,VITMroCarlos_v1.3.g17114,217,217,1,217,1,217,1/1,217,100,0,5,1108,3.52E-156,0.79724,2.041,darkturquoise,sp|Q8VWI1|ERD2B_ARATH ER lumen protein-retaining receptor B OS=Arabidopsis thaliana OX=3702 GN=ERD2B PE=1 SV=1
VIT_01s0182g00030,VITMroCarlos_v1.3.g10762,213,219,1,213,7,219,1/1,213,100,0,5,1116,2.31E-157,0.7792,2.059,lightyellow,tr|F6HV89|F6HV89_VITVI GOLD domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_01s0182g00030 PE=3 SV=1
VIT_02s0025g04250,VITMroCarlos_v1.3.g08297,226,226,1,226,1,226,1/1,226,100,0,9,1141,7.54E-161,4.8629,1.604,darkgreen,NA
VIT_00s0160g00110,Vitvi07g02832,451,585,144,430,269,557,1/1,290,78,4,49,1210,2.7E-162,1.0273,-2.495,darkturquoise,XP_019073517.1 TMV resistance protein N isoform X3
VIT_14s0066g02080,VITMroCarlos_v1.3.g08011,237,531,3,236,1,234,1/1,234,99,0,14,1199,6.73E-165,1.6218,1.464,darkgreen,tr|F6HV46|F6HV46_VITVI AAA domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_14s0066g02090 PE=3 SV=1
VIT_16s0039g01330,Vitvi16g04467,592,242,1,224,1,224,1/1,224,38,0,2,1215,3.85E-166,1.725,-2.236,steelblue,XP_010645761.1 rust resistance kinase Lr10-like
VIT_02s0025g04250,Vitvi02g00393,226,226,1,226,1,226,1/1,226,100,0,0,1179,7.75E-167,4.8629,2.365,darkgreen,XP_002283064.1 protein P21
VIT_08s0058g00470,Vitvi08g00768,228,228,1,228,1,228,1/1,228,100,0,0,1190,2.61E-168,0.85155,1.208,lightyellow,XP_002264158.1 abscisic acid receptor PYL4
VIT_16s0050g01950,Vitvi16g01964,271,989,1,249,181,429,1/1,249,94,0,0,1274,7.56E-170,1.0569,1.339,steelblue,XP_019081559.1 receptor-like protein 12
VIT_07s0005g01080,Vitvi07g00380,233,233,1,233,1,233,1/1,233,100,0,0,1222,3.65E-173,-1.2514,-2.216,grey60,XP_002269552.3PREDICTED: uncharacterized protein LOC100262313
VIT_14s0066g02070,VITMroCarlos_v1.3.g08011,264,531,1,261,262,517,1/1,261,99,5,10,1261,8.08E-174,3.852,1.464,darkgreen,tr|F6HV46|F6HV46_VITVI AAA domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_14s0066g02090 PE=3 SV=1
VIT_04s0008g05550,VITMroCarlos_v1.3.g00464,650,1032,2,632,19,660,1/1,646,97,19,336,1348,2.67E-174,1.7479,1.174,darkolivegreen,tr|D7STA1|D7STA1_VITVI Protein kinase domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_12s0055g00580 PE=4 SV=1
VIT_18s0001g15660,VITMroTrayshed_v2.0.hap1.chr18.ver2.0.g229490,238,238,1,238,1,238,1/1,238,100,0,4,1247,2.53E-176,1.4113,1.258,darkgreen,pathogen-related -like
VIT_00s0516g00010,Vitvi10g01662,238,238,1,238,1,238,1/1,238,100,0,1,1254,8.26E-178,-1.2251,-1.241,yellowgreen,XP_019073986.1 RPM1-interacting protein 4
VIT_09s0096g00930,Vitvi09g01790,239,267,1,238,1,238,1/1,238,99,0,0,1260,2.99E-178,1.8585,1.256,lightyellow,RVW80486.1putative disease resistance protein
VIT_16s0013g00990,Vitvi16g01424,279,278,1,279,1,278,1/1,279,100,1,20,1269,8.96E-179,NA,-1.055,grey60,XP_002281931.1 ethylene-responsive transcription factor 5
VIT_04s0044g00220,VITMroCarlos_v1.3.g16956,412,391,1,412,1,391,1/1,412,100,21,20,1923,0,2.5596,-3.223,darkgreen,tr|D7U458|D7U458_VITVI FAD_binding_3 domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_04s0044g00220 PE=4 SV=1
VIT_14s0128g00780,Vitvi14g00234,860,860,1,860,1,860,1/1,860,100,0,0,4591,0,3.2656,-2.112,darkgreen,XP_010659859.1 probable linoleate 9S-lipoxygenase 5 isoform X1
VIT_06s0004g03120,Vitvi06g00310,462,554,1,462,93,554,1/1,462,100,0,0,2478,0,3.5036,-2.001,darkgreen,XP_002282198.1 MLO-like protein 3
VIT_13s0156g00580,Vitvi13g02552,794,794,1,794,1,794,1/1,794,100,0,0,4268,0,4.735,-1.932,darkgreen,XP_002268928.1 G-type lectin S-receptor-like serine/threonine-protein kinase LECRK3
VIT_13s0156g00550,Vitvi13g02553,794,794,1,794,1,794,1/1,794,100,0,32,3922,0,2.4742,-1.913,darkgreen,XP_002268890.2 G-type lectin S-receptor-like serine/threonine-protein kinase LECRK3
VIT_08s0007g00810,Vitvi08g01241,681,681,1,681,1,681,1/1,681,100,0,0,3623,0,2.602,-1.793,darkgreen,XP_010654251.1 L-type lectin-domain containing receptor kinase IV.1
VIT_04s0044g00680,Vitvi04g02226,615,792,1,615,178,792,1/1,615,100,0,0,3310,0,4.1092,-1.459,darkgreen,XP_002276127.1 G-type lectin S-receptor-like serine/threonine-protein kinase LECRK1
VIT_11s0016g03080,VITMroCarlos_v1.3.g03791,1022,1021,1,1022,1,1021,1/1,1022,100,1,43,4981,0,NA,-1.419,darkgreen,NA
VIT_14s0128g00790,VITMroCarlos_v1.3.g07435,870,860,12,870,2,860,1/1,859,99,0,40,4402,0,1.6428,-1.376,darkgreen,tr|F6HZ10|F6HZ10_VITVI Lipoxygenase OS=Vitis vinifera OX=29760 GN=VIT_14s0128g00780 PE=3 SV=1
VIT_14s0128g00780,VITMroCarlos_v1.3.g07435,860,860,1,860,1,860,1/1,860,100,0,30,4446,0,3.2656,-1.376,darkgreen,tr|F6HZ10|F6HZ10_VITVI Lipoxygenase OS=Vitis vinifera OX=29760 GN=VIT_14s0128g00780 PE=3 SV=1
VIT_00s0317g00140,Vitvi13g00233,623,623,1,623,1,623,1/1,623,100,0,0,3312,0,4.225,-1.338,darkgreen,XP_002276070.1 exocyst complex component EXO70B1-like
VIT_14s0036g01400,Vitvi14g00737,419,419,1,419,1,419,1/1,419,100,0,0,2139,0,3.345,-1.338,darkgreen,XP_010660175.1 high mobility group nucleosome-binding domain-containing protein 5-like
VIT_00s0181g00010,VITMroCarlos_v1.3.g20287,520,520,1,520,1,520,1/1,520,100,0,9,2680,0,NA,-1.301,darkgreen,sp|P23586|STP1_ARATH Sugar transport protein 1 OS=Arabidopsis thaliana OX=3702 GN=STP1 PE=1 SV=2
VIT_10s0042g00930,Vitvi16g01485,393,393,1,393,1,393,1/1,393,100,0,22,1997,0,5.1792,-1.297,darkgreen,XP_002278483.1 stilbene synthase 2
VIT_04s0008g00370,Vitvi04g00029,975,1005,4,975,34,1005,1/1,972,99,0,0,5146,0,2.9583,-1.285,darkgreen,XP_002278223.1 receptor-like protein kinase HSL1
VIT_06s0061g00120,Vitvi06g01917,345,345,1,345,1,345,1/1,345,100,0,0,1806,0,4.0184,-1.194,darkgreen,"XP_002278123.1 glucan endo-1,3-beta-glucosidase isoform X1"
VIT_01s0127g00700,Vitvi01g00732,340,340,1,340,1,340,1/1,340,100,0,0,1779,0,NA,-1.166,darkgreen,XP_003631260.1 histone-lysine N-methyltransferase SETD1B
VIT_18s0001g15130,Vitvi18g02824,339,339,1,339,1,339,1/1,339,100,0,0,1776,0,4.3401,-1.162,darkgreen,XP_002278947.1PREDICTED: uncharacterized protein LOC100243642
VIT_03s0038g04510,VITMroCarlos_v1.3.g17908,483,489,1,483,7,489,1/1,483,100,0,10,2545,0,1.6515,-1.08,darkgreen,tr|F6I0M1|F6I0M1_VITVI AAA domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_03s0038g04510 PE=3 SV=1
VIT_08s0007g02810,Vitvi08g01412,286,347,1,286,62,347,1/1,286,100,0,0,1544,0,1.5268,-1.05,darkgreen,XP_002275955.2 B3 domain-containing protein At2g36080
VIT_15s0048g01350,Vitvi15g01508,336,336,1,336,1,336,1/1,336,100,0,0,1778,0,1.4697,-1.014,darkgreen,XP_002277119.1 probable carboxylesterase 8
VIT_04s0008g00300,Vitvi04g00021,1055,1000,56,1055,1,1000,1/1,1000,95,0,0,5287,0,3.0803,-1.002,darkgreen,XP_003631769.1 receptor-like protein kinase HSL1
VIT_16s0098g00970,Vitvi16g01344,2019,777,1243,2019,1,777,1/1,777,74,0,0,4115,0,1.349,1.023,darkgreen,XP_003634152.2 subtilisin-like protease SBT3.5 isoform X1
VIT_03s0038g00250,Vitvi03g00017,473,473,1,473,1,473,1/1,473,100,0,0,2541,0,2.5273,1.035,darkgreen,XP_002264113.1 purple acid phosphatase
VIT_17s0000g07370,Vitvi17g01513,601,601,1,601,1,601,1/1,601,100,0,0,3231,0,1.5388,1.141,darkgreen,XP_002280786.1 protein EDS1
VIT_07s0031g01130,Vitvi07g01791,573,571,1,564,4,567,1/1,564,98,0,0,3026,0,5.0702,1.214,darkgreen,XP_010652830.1 L-ascorbate oxidase
VIT_07s0031g00490,Vitvi07g01733,411,411,1,411,1,411,1/1,411,100,0,0,2208,0,1.5396,1.234,darkgreen,XP_002277922.2 PI-PLC X domain-containing protein At5g67130
VIT_12s0057g01110,VITMroCarlos_v1.3.g01064,295,292,1,280,9,288,1/1,280,95,0,6,1485,0,2.2442,1.239,darkgreen,tr|D7TD80|D7TD80_VITVI Nudix hydrolase domain-containing protein OS=Vitis vinifera OX=29760 GN=VIT_12s0057g01110 PE=4 SV=1
VIT_14s0066g01570,VITMroCarlos_v1.3.g07995,329,328,1,329,1,328,1/1,329,100,1,17,1476,0,1.3738,1.319,darkgreen,NA
VIT_18s0001g11240,Vitvi18g00849,521,717,7,520,155,668,1/1,514,99,0,0,2736,0,0.92581,1.34,darkgreen,XP_010664608.1 mitogen-activated protein kinase kinase kinase YODA isoform X1
