# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "32" "-p" "-B" "-C" "-t" "gene" "-g" "gene_id" "-a" "/scratch/USERNAME/Athal/TAIR10ref/Arabidopsis_thaliana.TAIR10.63.gff3" "-o" "/scratch/USERNAME/Athal/froussios2019_samples_from1_to14_perGene.counts.tsv" "/scratch/USERNAME/Athal/ERR1811888_Sample_1/ERR1811888_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811889_Sample_2/ERR1811889_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811890_Sample_3/ERR1811890_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811891_Sample_4/ERR1811891_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811892_Sample_5/ERR1811892_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811893_Sample_6/ERR1811893_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811894_Sample_7/ERR1811894_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811900_Sample_8/ERR1811900_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811901_Sample_9/ERR1811901_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811895_Sample_10/ERR1811895_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811896_Sample_11/ERR1811896_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811897_Sample_12/ERR1811897_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811898_Sample_13/ERR1811898_Aligned.sortedByCoord.out.bam" "/scratch/USERNAME/Athal/ERR1811899_Sample_14/ERR1811899_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/USERNAME/Athal/ERR1811888_Sample_1/ERR1811888_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811889_Sample_2/ERR1811889_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811890_Sample_3/ERR1811890_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811891_Sample_4/ERR1811891_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811892_Sample_5/ERR1811892_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811893_Sample_6/ERR1811893_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811894_Sample_7/ERR1811894_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811900_Sample_8/ERR1811900_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811901_Sample_9/ERR1811901_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811895_Sample_10/ERR1811895_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811896_Sample_11/ERR1811896_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811897_Sample_12/ERR1811897_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811898_Sample_13/ERR1811898_Aligned.sortedByCoord.out.bam	/scratch/USERNAME/Athal/ERR1811899_Sample_14/ERR1811899_Aligned.sortedByCoord.out.bam
AT1G01390	1	148013	149848	-	1836	88	152	154	26	160	176	81	225	236	226	167	185	44	134
AT1G01400	1	150689	152210	-	1522	7	4	8	0	6	4	2	0	0	0	0	0	0	0
AT1G01410	1	153113	154198	+	1086	1	4	1	0	2	1	0	2	6	2	0	0	0	0
AT1G01420	1	154367	156178	-	1812	517	585	537	213	432	408	307	934	843	1005	686	838	330	616
AT1G01430	1	156477	158823	-	2347	7598	8508	8000	2394	6798	5338	4371	8781	7312	9663	7815	10040	4526	8860
AT1G01440	1	159628	162953	-	3326	2476	2448	2688	988	3306	3111	2597	2368	2161	2967	2545	3689	1413	3566
AT1G01450	1	164105	165517	-	1413	621	708	603	168	523	470	442	544	432	634	556	676	246	630
AT1G01453	1	166589	168088	-	1500	16	12	12	4	14	16	10	6	8	8	4	8	2	4
AT1G01460	1	168559	171386	+	2828	15	10	10	4	7	6	12	3	4	7	0	0	0	4
AT1G01470	1	171525	172948	-	1424	3782	4023	4215	1638	5403	6214	3921	3457	3290	4809	3760	4265	1450	4194
AT1G01480	1	175706	178406	+	2701	96	56	50	5	156	51	60	28	31	51	20	33	6	30
AT1G01490	1	180017	182749	-	2733	4923	4355	4771	1971	6150	5404	3973	5291	4923	6248	4652	7365	1991	5905
AT1G01500	1	185033	187135	+	2103	1730	1568	1536	816	1510	1558	1068	1418	1288	1536	1414	1792	584	1878
AT1G01510	1	187145	190472	+	3328	3004	3000	2573	1249	3146	2903	2055	2946	2590	3145	2904	3765	1359	3653
AT1G01520	1	190408	192436	+	2029	57	58	68	22	39	53	38	997	789	971	476	508	168	259
AT1G01530	1	192634	193670	-	1037	6	1	2	0	5	0	0	3	3	3	1	2	0	0
AT1G01540	1	195645	198787	+	3143	4892	4604	4850	1982	6593	6532	5490	4060	3596	4810	5097	6493	2486	6976
AT1G01550	1	199527	201775	+	2249	8439	9122	8781	2414	11055	9244	7221	10608	9136	11570	9290	13010	5581	11748
AT1G01560	1	202103	204440	+	2338	68	71	105	34	180	105	108	30	20	41	56	39	10	43
AT1G01570	1	204935	207642	+	2708	173	212	172	78	157	194	116	176	128	199	212	252	78	284
AT1G01580	1	208995	213082	+	4088	62	104	63	14	60	96	19	156	146	186	122	145	58	170
AT1G01590	1	214150	217734	+	3585	18	24	17	4	7	13	14	6	16	8	12	8	4	8
AT1G01600	1	218834	221286	+	2453	235	218	207	88	240	222	183	148	170	230	258	226	66	211
AT1G01610	1	221642	224351	-	2710	3231	3589	3104	1263	2806	2606	2032	3672	3096	3920	3216	4062	1228	3406
AT1G01620	1	225665	227543	-	1879	24999	30027	32183	13907	41144	37056	36820	40506	35538	50457	51549	66402	28024	71121
AT1G01630	1	228799	230979	+	2181	1824	1931	1927	490	2010	1888	1277	2186	2188	2644	2199	2873	883	2345
AT1G01640	1	230908	232630	-	1723	272	286	225	68	297	305	176	184	114	240	180	205	80	214
AT1G01650	1	232840	237905	-	5066	2693	2956	2640	840	3210	2761	1950	2014	1715	2223	2107	2327	959	2452
AT1G01660	1	239841	242703	-	2863	82	58	54	22	58	61	55	20	16	28	22	28	8	26
AT1G01670	1	242713	246054	-	3342	124	118	89	54	115	132	68	60	82	72	46	96	30	70
AT1G01680	1	246262	248440	-	2179	23	22	20	10	39	21	22	10	8	10	10	8	2	14
AT1G01690	1	249041	252522	+	3482	469	411	385	113	418	391	245	370	336	381	314	348	138	375
AT1G01695	1	252626	254530	+	1905	65	83	77	12	80	56	30	40	28	21	31	32	12	44
AT1G01700	1	259307	261667	-	2361	259	307	242	64	224	234	134	205	189	170	127	191	101	202
AT1G01710	1	262828	266324	+	3497	2854	2658	2649	946	3106	2886	2163	2808	2491	3173	2957	3558	1213	3384
AT1G01715	1	266333	267883	+	1551	542	448	446	135	466	494	282	301	209	341	242	326	130	312
AT1G01720	1	267993	269819	+	1827	5820	4797	5393	2459	4591	4022	3107	6882	5560	9507	7207	8009	2608	6232
AT1G01725	1	269792	270859	-	1068	752	639	679	238	747	620	413	807	568	816	641	742	304	829
AT1G01730	1	270797	272189	+	1393	1412	1405	1269	571	1495	1569	1014	1263	1084	1317	1046	1403	461	1326
AT1G01740	1	272111	274930	-	2820	580	554	536	168	620	581	407	437	446	461	380	472	140	379
AT1G01750	1	275188	276310	+	1123	353	254	266	70	326	310	250	162	129	197	154	235	68	208
AT1G01760	1	276266	278599	-	2334	561	519	493	183	554	527	438	476	438	521	458	653	246	664
AT1G01770	1	278600	282891	+	4292	2759	2480	2543	887	2846	2359	1961	1841	1646	2140	1970	2705	865	2367
AT1G01780	1	282761	284245	+	1485	866	794	705	287	881	801	617	671	521	801	763	1004	415	968
AT1G01790	1	284350	291203	+	6854	7659	8243	8402	2718	9096	8736	6157	8799	9995	11070	8591	12036	3313	8499
AT1G01800	1	293246	295086	+	1841	2932	3024	2534	966	3357	3008	1983	2812	2699	3568	2895	3672	1161	3273
AT1G01810	1	295207	295859	+	653	105	38	77	22	72	78	65	28	31	44	35	63	10	41
AT1G01820	1	296001	298334	-	2334	5144	5077	5015	1924	6695	5924	4305	3019	3020	3908	3108	4291	1136	3732
AT1G01830	1	298451	302310	-	3860	1110	1037	940	432	1032	1064	712	1222	1149	1458	1148	1400	332	1161
AT1G01840	1	303537	304358	+	822	127	92	113	60	99	148	93	111	84	121	122	119	45	129
AT1G01860	1	304133	306310	-	2178	689	775	834	311	932	825	672	895	748	1011	823	1084	369	934
AT1G01880	1	306467	309541	-	3075	444	420	448	128	515	446	353	313	280	386	314	469	164	382
AT1G01900	1	310169	313130	+	2962	375	393	349	158	366	299	257	405	429	428	376	483	140	355
AT1G01910	1	313101	316090	-	2990	3175	2960	3254	1074	4041	3731	2648	2548	2449	3019	2551	3430	1240	3038
AT1G01920	1	315983	319667	+	3685	1708	1703	1594	495	1694	1577	1157	1118	896	1099	868	1331	451	1135
AT1G01930	1	319769	322895	-	3127	1634	1369	1550	551	1871	1821	1277	1201	1103	1364	1320	1965	524	1731
AT1G01940	1	322886	324917	+	2032	688	588	713	374	827	770	554	412	436	552	438	717	178	559
AT1G01950	1	325316	330619	+	5304	2294	2265	2167	881	3161	3100	2328	1967	1647	2103	2013	2776	1010	2733
AT1G01960	1	330588	337912	-	7325	9317	8080	7769	3396	8627	7548	6092	5623	4900	5412	4643	7127	2254	6198
AT1G01970	1	338241	340088	+	1848	1997	1816	1807	506	1840	1648	1080	1551	1339	1442	1098	1349	486	1254
AT1G01980	1	340108	342040	-	1933	10	9	17	4	10	19	6	4	0	0	0	2	0	2
AT1G01990	1	342918	344400	-	1483	1455	1443	1162	422	983	950	676	1185	778	1175	966	1088	492	1057
AT1G02000	1	345516	347603	+	2088	679	635	686	280	688	643	508	684	585	806	684	855	316	777
AT1G02010	1	347613	352545	+	4933	957	973	794	258	746	858	446	908	898	1001	825	920	348	946
AT1G02020	1	352612	355124	-	2513	231	216	207	92	210	188	146	163	152	202	193	204	118	201
AT1G02030	1	355124	357258	-	2135	38	33	26	10	31	51	42	24	16	40	18	35	12	36
AT1G02040	1	357906	359078	-	1173	15	6	6	4	2	7	2	0	2	0	0	0	0	2
AT1G02050	1	359117	360746	-	1630	544	458	429	247	509	483	402	295	214	266	270	419	74	332
AT1G02060	1	360918	363142	-	2225	897	763	802	298	787	740	590	522	375	513	423	621	112	493
AT1G02065	1	365165	367443	+	2279	31	65	27	23	42	28	34	17	23	29	21	16	12	29
AT1G02067	1	366945	367166	-	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02070	1	370195	371090	-	896	17	32	30	6	30	18	16	20	28	30	22	34	24	24
AT1G02080	1	373335	386913	+	13579	13724	13312	13122	4126	13541	11382	9171	11056	9464	11010	8916	12287	4356	10254
AT1G02090	1	387277	389808	-	2532	1897	1800	1751	684	1960	1947	1369	1488	1293	1674	1383	1761	541	1690
AT1G02100	1	389812	392816	+	3005	3223	2985	2840	1020	3446	3160	2449	2853	2208	2988	2424	3515	1118	3068
AT1G02110	1	392831	395528	+	2698	705	663	670	425	597	512	480	593	412	572	475	645	206	529
AT1G02120	1	395689	400001	+	4313	4817	4082	4368	1998	4699	4876	3525	2772	2883	3190	2727	3964	697	3061
AT1G02130	1	399983	401919	-	1937	2529	2520	2485	792	2520	2126	1428	3162	2875	3464	2771	3375	1322	3338
AT1G02140	1	403100	404456	-	1357	6353	5958	5604	2156	6700	6051	4157	6107	5000	7266	5650	7538	2552	6003
AT1G02145	1	404600	408619	+	4020	1997	1990	1665	387	1828	1827	1218	1789	1520	1866	1433	2082	815	1823
AT1G02150	1	408622	410680	+	2059	6481	5805	5707	2265	5450	5380	4017	4748	3917	5351	4546	6182	1229	4558
AT1G02160	1	410744	411632	+	889	1223	1050	1076	685	1208	1452	790	738	620	751	716	936	181	760
AT1G02170	1	411664	413554	+	1891	626	784	716	253	832	635	624	633	562	784	856	923	368	933
AT1G02180	1	413522	414649	-	1128	196	217	223	66	246	216	146	212	168	210	168	203	53	195
AT1G02190	1	415074	418027	+	2954	36	54	18	10	19	29	18	12	12	8	5	10	4	17
AT1G02205	1	418416	422579	+	4164	5808	5756	5238	1733	4172	3845	2518	5682	4530	6345	5969	5727	2540	4894
AT1G02210	1	427548	427811	-	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02220	1	428650	430720	-	2071	259	199	191	86	285	256	152	131	140	232	167	175	78	184
AT1G02230	1	434965	436922	-	1958	40	54	51	28	80	84	58	22	26	40	28	30	14	42
AT1G02250	1	437860	439559	-	1700	1	13	6	2	0	2	2	1	2	0	1	6	2	2
AT1G02260	1	440200	442972	-	2773	1326	1428	1228	320	1215	1173	788	746	683	773	681	819	314	753
AT1G02270	1	443118	446296	-	3179	1908	1697	1600	644	1935	1861	1247	1597	1397	1745	1434	1910	738	1852
AT1G02280	1	448423	450426	-	2004	3799	4008	3349	1071	4103	3891	2699	3374	2754	3661	3271	4669	1375	3875
AT1G02290	1	450461	452743	-	2283	1457	1351	1177	354	1347	1256	808	938	879	922	782	1164	376	1110
AT1G02300	1	453107	455519	+	2413	3819	3476	3492	1206	4021	3240	2207	2281	2196	2564	2507	3064	1024	3113
AT1G02305	1	455688	458164	+	2477	9725	8607	8574	3256	10940	10077	7132	6451	6205	8439	7022	8426	2468	7708
AT1G02310	1	458133	460831	-	2699	233	137	191	45	253	203	135	116	105	196	117	119	57	151
AT1G02320	1	461828	461974	+	147	7	16	6	4	15	6	4	3	2	10	4	11	1	14
AT1G02330	1	461946	463618	-	1673	1331	1149	1174	561	1662	1823	1198	730	755	945	850	1472	245	1094
AT1G02335	1	463754	464981	-	1228	411	485	431	162	615	663	411	485	508	593	507	679	188	648
AT1G02340	1	465616	467880	-	2265	4719	6622	8045	2956	10753	12764	10828	11927	11502	15324	12108	20618	7703	15902
AT1G02350	1	469818	470693	+	876	163	280	305	95	455	537	340	344	323	481	474	659	273	698
AT1G02360	1	471883	473336	-	1454	173	212	182	74	300	386	212	112	116	197	126	141	78	180
AT1G02370	1	474373	476612	+	2240	827	844	744	256	951	882	593	398	314	488	382	510	150	466
AT1G02380	1	476945	479112	+	2168	225	249	284	92	770	1062	985	274	300	385	725	932	395	1149
AT1G02390	1	480650	483373	+	2724	854	809	676	198	840	668	445	1101	821	1308	912	840	404	637
AT1G02400	1	486800	489651	+	2852	327	308	344	106	731	596	422	513	402	660	426	580	216	552
AT1G02405	1	489874	490627	-	754	18	12	5	4	6	3	8	6	2	0	2	2	0	6
AT1G02410	1	490860	492979	+	2120	1158	1171	1128	406	1452	1295	911	1315	1303	1465	1397	1763	662	1527
AT1G02420	1	493639	495158	+	1520	463	397	458	165	534	641	350	209	202	248	179	334	58	249
AT1G02430	1	495050	496332	-	1283	215	190	165	75	165	215	178	91	81	84	74	135	24	108
AT1G02440	1	496372	497555	-	1184	21	27	31	9	27	31	28	12	8	5	14	17	7	14
AT1G02450	1	497917	498539	-	623	10	26	4	20	26	30	8	4	0	6	4	0	2	2
AT1G02460	1	504463	507268	-	2806	57	38	24	12	15	48	20	8	8	22	12	12	6	14
AT1G02470	1	511765	513721	-	1957	311	230	301	96	340	167	149	136	55	127	62	106	53	72
AT1G02475	1	513699	515422	-	1724	3503	3057	3076	1036	2444	2108	1485	2007	1760	2348	1838	2100	444	1715
AT1G02490	1	516569	516866	+	298	7	2	2	2	13	2	7	4	0	11	7	8	4	2
AT1G02500	1	518091	520495	+	2405	20714	19711	19880	10544	20453	19288	15152	17201	15922	21080	15970	22866	3822	15518
AT1G02510	1	520498	521668	-	1171	12	7	2	1	5	4	2	4	0	2	0	2	0	2
AT1G02520	1	523536	529069	+	5534	368	370	374	150	528	498	355	137	163	226	143	248	49	184
AT1G02530	1	529679	534677	+	4999	30	44	36	16	35	44	38	5	14	3	7	12	1	10
AT1G02540	1	534827	535699	-	873	4	2	0	4	6	0	1	0	0	2	0	0	0	0
AT1G02550	1	536483	537211	+	729	9	13	6	0	3	7	0	0	0	0	0	0	0	0
AT1G02560	1	537740	540127	+	2388	18270	18633	16921	5518	18105	16142	11606	15337	13442	17778	15089	17769	6288	16549
AT1G02570	1	541236	542245	+	1010	25	13	15	4	20	23	18	2	14	16	0	4	0	8
AT1G02575	1	543011	544057	+	1047	24	18	6	2	15	20	4	0	2	0	2	2	2	6
AT1G02580	1	544733	549202	+	4470	21	14	12	2	14	22	8	10	6	6	0	6	0	4
AT1G02590	1	552138	552761	-	624	3	7	12	4	9	9	3	4	2	23	8	10	1	9
AT1G02610	1	553019	556152	-	3134	1556	3024	5509	1604	10252	8327	6963	2828	4966	8212	7393	11325	3576	9738
AT1G02620	1	557092	558774	+	1683	188	261	405	203	741	635	701	203	299	505	592	851	335	929
AT1G02630	1	560610	562598	-	1989	37	52	44	30	79	67	75	40	50	37	57	90	34	80
AT1G02640	1	564018	567771	+	3754	1086	1673	2093	1114	4678	4318	5491	2096	2248	4364	6063	9443	2897	10854
AT1G02650	1	568558	570554	+	1997	97	118	192	66	256	189	245	147	160	325	350	471	175	577
AT1G02660	1	571826	575085	-	3260	1640	2537	5418	2578	14233	9434	11411	2464	3197	6644	8110	14073	3071	11566
AT1G02670	1	575922	580532	+	4611	182	214	225	83	368	281	259	186	189	178	175	301	108	314
AT1G02680	1	580625	582310	+	1686	902	835	926	354	1215	1040	812	794	740	1066	1004	1244	383	1195
AT1G02690	1	584134	587327	+	3194	650	839	718	262	903	898	521	766	666	802	626	876	266	858
AT1G02700	1	588003	589480	+	1478	112	94	68	20	67	97	61	285	242	326	226	272	102	240
AT1G02705	1	589584	590406	+	823	15	5	3	3	12	9	0	5	1	2	0	6	2	7
AT1G02710	1	589706	589996	-	291	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02720	1	591682	594264	+	2583	669	697	502	158	481	447	300	520	306	524	469	476	238	499
AT1G02730	1	594502	598657	-	4156	2082	2375	2149	868	2567	2656	1633	1687	1750	1762	1762	2477	740	2094
AT1G02740	1	599330	602199	-	2870	938	1004	859	302	1130	1164	792	878	788	1020	898	1041	401	1039
AT1G02750	1	602489	604387	+	1899	852	892	1052	382	1336	1200	818	811	763	1083	1010	1298	571	1215
AT1G02770	1	604873	606708	-	1836	110	124	86	28	102	98	80	136	108	152	104	130	64	96
AT1G02780	1	607799	609534	-	1736	28330	28181	24854	12467	30360	27746	19294	25769	24258	32225	26752	37098	11514	27591
AT1G02790	1	610363	612324	-	1962	1	4	0	0	0	6	0	0	0	0	0	0	0	0
AT1G02800	1	613197	616231	-	3035	100	140	108	34	88	114	41	110	98	104	82	100	52	108
AT1G02810	1	618061	620502	+	2442	323	295	276	120	436	414	258	258	214	318	286	216	126	332
AT1G02813	1	620678	621329	+	652	2	7	3	0	1	5	2	0	2	2	2	0	2	0
AT1G02816	1	621453	623054	+	1602	1525	1446	1404	362	1856	1737	1371	1618	1266	1933	1588	1954	970	2099
AT1G02820	1	623656	624567	-	912	142	110	134	42	124	110	104	1874	1775	3423	2214	2334	682	1323
AT1G02830	1	625084	625608	-	525	3	0	2	0	0	0	4	2	2	0	4	0	0	0
AT1G02840	1	626639	629993	+	3355	7159	7118	6675	2937	7254	6505	5135	6381	5602	7211	6642	8086	2468	7341
AT1G02850	1	630374	633420	+	3047	10249	6579	8725	3082	10000	7076	6200	4188	3669	7108	4278	5766	1579	3917
AT1G02860	1	635144	637262	+	2119	1765	1968	2123	657	3121	2844	2189	1947	1849	2509	2320	3465	1325	3399
AT1G02870	1	637214	638681	-	1468	1087	1043	1068	418	1220	1109	804	744	653	919	715	963	354	769
AT1G02880	1	642505	644903	-	2399	1236	1133	1120	363	1300	1107	670	887	940	1167	922	1092	504	1038
AT1G02890	1	645084	652001	-	6918	10199	9352	9651	4040	12467	11381	8406	7487	7516	8433	7034	10217	2492	8376
AT1G02900	1	653604	654457	-	854	315	240	244	148	534	546	260	225	253	324	270	326	100	362
