"gene","transformed_mean_difference_historical","statistic_historical","pvalue_historical","padj_historical","DE_historical","direction_historical","genotype","timing","historical_contrast_count","historical_rank","UniProt","GCA_030704535.1_NCBI_ID","Chromosome","Start","End","Transcription_pattern","Athaliana_TAIR10_homolog","homology","TAIR10","Athal.common.NAme","locus_tag","VITVI_ID","Athal_ID","Athal_gene_name"
"Vitvi10g01679",-3.09717381294097,-18.5357287838425,4.98576985827606e-05,0.00950634767054327,TRUE,"Down","Rpv12+1",6,9,11,"F6HRL2","VIT_00s0187g00080","10",2255668,2256378,"EDE EDE EEE","a match not found in blastP with e-value<0.000001",,,,,"VIT_00s0187g00080",,
"Vitvi18g00390",-2.14667328134379,-18.8522400893129,4.66226106246094e-05,0.00950634767054327,TRUE,"Down","Rpv12+1",6,9,12,"F6H0W5","VIT_18s0001g05380","18",4255503,4259265,"EDE EDE EEE","NP_201320.1 tetratricopeptide repeat (TPR)-containing protein [Arabidopsis thaliana]",43.657,"NP_201320.1","TPR14","AT5G65160","VIT_18s0001g05380","AT5G65160","TPR14"
"Vitvi08g00700",8.06457592722404,21.7970039348466,2.62116603403485e-05,0.00994105709342869,TRUE,"Up","Rpv12",24,9,13,"F6HK51","VIT_12s0035g00780","8",8355888,8356708,"EEU EEE EEE","NP_974758.1 26S proteasome regulatory subunit, putative (RPN5) [Arabidopsis thaliana]",61.446,"NP_974758.1","EMB2107","AT5G09900","VIT_12s0035g00780","AT5G09900","EMB2107"
"Vitvi10g04282",4.46966614983987,16.4335398234079,8.02751699220454e-05,0.0100284410817858,TRUE,"Up","Rpv12+1",6,9,14,"D7SSX1","VIT_10s0116g00750","10",5203875,5208200,"EEE EUE UUE","NP_564772.1 terpene synthase 04 [Arabidopsis thaliana]",48.345,"NP_564772.1","TPS04","AT1G61120","VIT_10s0116g00750","AT1G61120","TPS04"
"Vitvi18g02922",-1.18713442666632,-15.7198506539594,9.56601499435738e-05,0.0103058902715245,TRUE,"Down","Rpv12+1",6,9,15,"F6HJD8","VIT_18s0001g02410","18",21344246,21346740,"EEE EDE EDE","NP_196498.1 laccase 14 [Arabidopsis thaliana]",46.946,"NP_196498.1","LAC14","AT5G09360","VIT_18s0001g02410","AT5G09360","LAC14"
"Vitvi14g01953",-1.27385936099131,-19.1131020149537,4.41511736881212e-05,0.010503564220404,TRUE,"Down","Rpv12",6,9,16,"D7SXB5","VIT_14s0108g00710","14",29993249,30006567,"EDE EDE EEE","NP_001190492.1 structural mainteNAnce of chromosome 3 [Arabidopsis thaliana]",76.013,"NP_001190492.1","SMC3","AT5G48600","VIT_14s0108g00710","AT5G48600","SMC3"
"Vitvi09g01914",-1.25504837670768,-18.2488643755934,5.30351118984394e-05,0.0110141743935639,TRUE,"Down","Rpv12+1+3",6,9,17,"F6HBU9","VIT_09s0018g01980","9",21181906,21182874,"EDE EEE EDE","NP_199299.1 polyadenylate-binding protein 1-B-binding protein [Arabidopsis thaliana]",25.952,"NP_199299.1",,"AT5G44860","VIT_09s0018g01980","AT5G44860",
"Vitvi02g00449",-1.61866408374501,-13.2907799899594,0.000185239726315271,0.0119229233534433,TRUE,"Down","Rpv12+1",6,9,18,"F6HUK8","VIT_02s0025g04910","2",4219207,4220305,"EDE EDE EDE","NP_195488.2 growth-regulating factor 2 [Arabidopsis thaliana]",46.552,"NP_195488.2","GRF2","AT4G37740","VIT_02s0025g04910","AT4G37740","GRF2"
"Vitvi17g00822",-1.55747262042122,-16.210851648793,8.47207967824238e-05,0.0123858018491578,TRUE,"Down","Rpv12",6,9,19,"D7SHR3","VIT_17s0000g08480","17",10479772,10480702,"EDE EEE EDE","NP_196979.1 myb domain protein 66 [Arabidopsis thaliana]",54.673,"NP_196979.1","MYB66","AT5G14750","VIT_17s0000g08480","AT5G14750","MYB66"
"Vitvi18g00773",-1.68963149795346,-15.9402398838284,9.05445272187627e-05,0.0125216334827982,TRUE,"Down","Rpv12",6,9,20,"F6H1C4","VIT_18s0001g10350","18",8647934,8650385,"EDE EEE EDE","NP_569044.1 Subtilisin-like serine endopeptidase family protein [Arabidopsis thaliana]",47.266,"NP_569044.1",,"AT5G67090","VIT_18s0001g10350","AT5G67090",
"Vitvi08g00781",-1.67984813736515,-15.3719933575948,0.000104490322817425,0.0128226085504975,TRUE,"Down","Rpv12",6,9,21,"F6GXT3","VIT_08s0058g00540","8",9649522,9652541,"EDE EDE EEE","NP_190742.1 inflorescence meristem receptor-like kiNAse 2 [Arabidopsis thaliana]",68.205,"NP_190742.1","IMK2","AT3G51740","VIT_08s0058g00540","AT3G51740","IMK2"
"Vitvi17g00736",-1.28032428342076,-12.5335777697871,0.000233153243310728,0.0129293801445543,TRUE,"Down","Rpv12+1",6,9,22,"F6GSX2","VIT_17s0000g07630","17",9376107,9379847,"EEE EDE EEE","NP_190399.2 DP-E2F-like 1 [Arabidopsis thaliana]",55.319,"NP_190399.2","DEL1","AT3G48160","VIT_17s0000g07630","AT3G48160","DEL1"
"Vitvi04g00480",-1.88020536387836,-12.2127578674219,0.000258065313160531,0.0133201403946705,TRUE,"Down","Rpv12+1",6,9,23,"F6H325","VIT_04s0008g05450","4",4866973,4870406,"EEE EDE EEE","NP_188194.1 phospholipase D alpha 1 [Arabidopsis thaliana]",64.415,"NP_188194.1","PLDALPHA1","AT3G15730","VIT_04s0008g05450","AT3G15730","PLDALPHA1"
"Vitvi03g01294",-1.27908646514187,-11.9418141901084,0.000281731458462182,0.0138339318230766,TRUE,"Down","Rpv12+1",6,9,24,"D7TUG4","VIT_03s0017g02210","3",20366417,20367427,"EDE EDE EEE","NP_567459.5 hypothetical protein AT4G15140 [Arabidopsis thaliana]",75,"NP_567459.5",,"AT4G15140","VIT_03s0017g02210","AT4G15140",
"Vitvi12g02015",7.39444050947713,16.5327967278748,7.83875286725394e-05,0.0139545798491951,TRUE,"Up","Rpv12",24,9,25,"F6HK51","VIT_12s0035g00780","12",20991568,20991950,"EEU EEE EEE","NP_974758.1 26S proteasome regulatory subunit, putative (RPN5) [Arabidopsis thaliana]",57.303,"NP_974758.1","EMB2107","AT5G09900","VIT_12s0035g00780","AT5G09900","EMB2107"
"Vitvi08g04388",-1.26875545903572,-13.8474816789648,0.000157658661537521,0.0142006329417793,TRUE,"Down","Rpv12",6,9,26,,,"8",19981526,19983574,"EDE EEE EEE","a match not found in blastP with e-value<0.000001",,,,,,,
"Vitvi03g00726",-1.31245042001932,-11.5832483691859,0.000317360670869872,0.0146047254142807,TRUE,"Down","Rpv12+1",6,9,27,"F6HBP7","VIT_03s0088g00490","3",8677435,8681521,"EEE EDE EEE","NP_179222.1 transmembrane protein [Arabidopsis thaliana]",32.035,"NP_179222.1",,"AT2G16270","VIT_03s0088g00490","AT2G16270",
"Vitvi07g00502",-0.911445247521267,-14.1725521722706,0.000143906483616949,0.0148849358489009,FALSE,"Not_DE","Rpv12+1+3",6,9,28,"D7U2R4","VIT_07s0005g02370","7",5122588,5123393,"EDE EEE EEE","NP_191761.1 germin-like protein 10 [Arabidopsis thaliana]",64,"NP_191761.1","GLP10","AT3G62020","VIT_07s0005g02370","AT3G62020","GLP10"
"Vitvi17g00533",-1.26418873355571,-12.9132000488093,0.000207419321950771,0.0154203302162777,TRUE,"Down","Rpv12",6,9,29,"F6GTB0","VIT_17s0000g05570","17",6850169,6855336,"EDE EDE EEE","NP_201077.2 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]",76.033,"NP_201077.2",,"AT5G62710","VIT_17s0000g05570","AT5G62710",
"Vitvi05g01229",-1.81101963143911,-11.0540511936622,0.000380833041630127,0.0155268430341717,TRUE,"Down","Rpv12+1",6,9,30,"F6GWH4","VIT_05s0029g01480","5",17842931,17844994,"EDE EDE EDE","NP_566892.1 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]",44.928,"NP_566892.1",,"AT3G47570","VIT_05s0029g01480","AT3G47570",
"Vitvi03g04038",0.964157577671195,10.6984506079837,0.000432499790012392,0.0159859985943987,FALSE,"Not_DE","Rpv12+1",6,9,31,"F6I147","VIT_03s0038g01510","3",1141647,1143745,"DEE EEE EEE","NP_565499.1 transmembrane protein [Arabidopsis thaliana]",53.676,"NP_565499.1",,"AT2G21180","VIT_03s0038g01510","AT2G21180",
"Vitvi01g04343",-0.964956258697172,-10.6821583964048,0.000435069536035131,0.0160356826598639,FALSE,"Not_DE","Rpv12+1",6,9,32,"F6HA08","VIT_06s0009g03750","1",18264545,18265291,"EDE EEE EEE","NP_178970.3 chromatin remodeling 5 [Arabidopsis thaliana]",65.882,"NP_178970.3","CHR5","AT2G13370","VIT_06s0009g03750","AT2G13370","CHR5"
"Vitvi19g02323",-1.22398992530222,-10.6678638364885,0.000437339840532365,0.0160515375692727,TRUE,"Down","Rpv12+1",6,9,33,"D7SWM7","VIT_19s0027g01880","19",22558612,22560119,"EEE EDE EDE","NP_197028.1 Transmembrane amino acid transporter family protein [Arabidopsis thaliana]",48.082,"NP_197028.1",,"AT5G15240","VIT_19s0027g01880","AT5G15240",
"Vitvi10g00527",-1.32978904125785,-12.4549771548837,0.000238969344188544,0.0162430877092728,TRUE,"Down","Rpv12",6,9,34,"F6HM61","VIT_10s0003g00650","10",6646695,6648657,"EDE EDE EDE","NP_180953.1 Peroxidase superfamily protein [Arabidopsis thaliana]",63.557,"NP_180953.1",,"AT2G34060","VIT_10s0003g00650","AT2G34060",
"Vitvi11g01224",-1.20672542948755,-10.5456991211375,0.000457355662711806,0.0162837283503473,TRUE,"Down","Rpv12+1",6,9,35,"F6GXH6","VIT_11s0052g00770","11",18447677,18450560,"EDE EDE EDE","NP_001319134.1 serine carboxypeptidase-like 18 [Arabidopsis thaliana]",49.888,"NP_001319134.1","scpl18","AT1G33540","VIT_11s0052g00770","AT1G33540","scpl18"
"Vitvi04g00997",-6.49683358150482,-10.4311948830736,0.000477159936784448,0.0163618852535535,TRUE,"Down","Rpv12+1",6,9,36,"D7UE06","VIT_07s0255g00030","4",14453085,14455963,"EDE EDE EDE","NP_198322.1 GDSL-like Lipase/Acylhydrolase superfamily protein [Arabidopsis thaliana]",77.551,"NP_198322.1",,"AT5G33370","VIT_07s0255g00030","AT5G33370",
"Vitvi10g00164",-1.52504340956569,-10.3649087596749,0.000489112238516875,0.0165120107242327,TRUE,"Down","Rpv12+1",6,9,37,"F6HWU0","VIT_00s0516g00020","10",1957453,1962306,"EDE EDE EEE","NP_567299.2 EPS15 homology domain 2 [Arabidopsis thaliana]",80.037,"NP_567299.2","EHD2","AT4G05520","VIT_00s0516g00020","AT4G05520","EHD2"
"Vitvi18g02928",-2.58718606413598,-10.283377465737,0.000504328133377135,0.0165120107242327,TRUE,"Down","Rpv12+1",6,9,38,"F6HJD8","VIT_18s0001g02410","18",21397700,21401223,"EDE EDE EDE","NP_196498.1 laccase 14 [Arabidopsis thaliana]",46.466,"NP_196498.1","LAC14","AT5G09360","VIT_18s0001g02410","AT5G09360","LAC14"
"Vitvi13g00536",-1.35676432355001,-12.1428768926024,0.000263924572983852,0.0165626910081881,TRUE,"Down","Rpv12",6,9,39,"F6HNK5","VIT_13s0019g03610","13",4864993,4866875,"EDE EEE EEE","NP_001327150.1 RNA-binding (RRM/RBD/RNP motifs) family protein [Arabidopsis thaliana]",53.307,"NP_001327150.1","ARP1","AT3G54770","VIT_13s0019g03610","AT3G54770","ARP1"
"Vitvi14g01195",1.38007065041691,14.0951861310853,0.000147039383573268,0.0168766387224949,TRUE,"Up","Rpv12",24,9,40,"D7TT34","VIT_14s0006g02970","14",20978391,20980722,"EEU EEE EEE","NP_198661.1 cytochrome P450, family 735, subfamily A, polypeptide 1 [Arabidopsis thaliana]",72.71,"NP_198661.1","CYP735A1","AT5G38450","VIT_14s0006g02970","AT5G38450","CYP735A1"
"Vitvi07g00376",-2.29799076081922,-11.9233641407906,0.000283439333382281,0.0171697312853725,TRUE,"Down","Rpv12",6,9,41,"F6HZ78","VIT_07s0005g01030","7",3987806,3991711,"EDE EDE EEE","NP_171773.1 cellulose synthase-like D5 [Arabidopsis thaliana]",80.821,"NP_171773.1","CSLD5","AT1G02730","VIT_07s0005g01030","AT1G02730","CSLD5"
"Vitvi06g00656",-2.10801865354604,-9.90508851173731,0.000583134731568754,0.0173409690800258,TRUE,"Down","Rpv12+1",6,9,42,"F6GUQ6","VIT_06s0004g06730","6",7365193,7368302,"EEE EDE EEE","NP_196177.1 fatty acid desaturase 8 [Arabidopsis thaliana]",77.841,"NP_196177.1","FAD8","AT5G05580","VIT_06s0004g06730","AT5G05580","FAD8"
"Vitvi13g01555",-1.47737556715671,-9.68700330841363,0.00063555397407871,0.0177796183950898,TRUE,"Down","Rpv12+1",6,9,43,"A5C7K2","VIT_13s0019g01210","13",24955451,24956509,"EEE EDE EDE","NP_850009.1 Disease resistance-responsive (dirigent-like protein) family protein [Arabidopsis thaliana]",54.43,"NP_850009.1",,"AT2G21100","VIT_13s0019g01210","AT2G21100",
"Vitvi04g01339",-2.11074503045983,-9.56427713451614,0.000667630783828687,0.018101354041697,TRUE,"Down","Rpv12+1",6,9,44,"D7SP98","VIT_04s0023g02200","4",18925294,18927126,"EDE EDE EDE","NP_196057.1 S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Arabidopsis thaliana]",45.983,"NP_196057.1","NAMT1","AT5G04370","VIT_04s0023g02200","AT5G04370","NAMT1"
"Vitvi04g00242",-1.50541058427275,-9.52299875965548,0.000678869286241114,0.0182959117936599,TRUE,"Down","Rpv12+1",6,9,45,"F6H3C6","VIT_04s0008g02770","4",2299341,2300276,"EDE EDE EEE","NP_172332.1 syntaxin of plants 111 [Arabidopsis thaliana]",71.019,"NP_172332.1","SYP111","AT1G08560","VIT_04s0008g02770","AT1G08560","SYP111"
"Vitvi04g01894",-1.17139334045575,-11.4648548262326,0.000330342857795053,0.0185564589376836,TRUE,"Down","Rpv12+1+3",6,9,46,"D7SUR4","VIT_04s0008g05150","4",4606505,4607822,"EEE EEE EDE","NP_188189.1 Ran BP2/NZF zinc finger-like superfamily protein [Arabidopsis thaliana]",61.85,"NP_188189.1",,"AT3G15680","VIT_04s0008g05150","AT3G15680",
"Vitvi04g01598",-1.40425508181986,-16.8433633719923,7.28280649404487e-05,0.018839898370144,TRUE,"Down","Rpv12+1+3",0,9,47,"D7U439","VIT_04s0044g00410","4",21913227,21917495,"DEE DEE DDE","NP_173898.2 nodulin MtN21 /EamA-like transporter family protein [Arabidopsis thaliana]",39.769,"NP_173898.2","UMAMIT24","AT1G25270","VIT_04s0044g00410","AT1G25270","UMAMIT24"
"Vitvi14g02572",-0.965543607731588,-16.1650984175534,8.56718982783882e-05,0.018839898370144,FALSE,"Not_DE","Rpv12+1+3",0,9,48,"D7TV20","VIT_14s0030g00130","14",3508823,3518778,"EED EEE EEE","NP_194449.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",28.63,"NP_194449.1",,"AT4G27190","VIT_14s0030g00130","AT4G27190",
"Vitvi04g00998",-5.84626504293718,-11.225958809438,0.000358612396815834,0.019054256180461,TRUE,"Down","Rpv12",6,9,49,"D7UE06","VIT_07s0255g00030","4",14460103,14464609,"EDE EDE EDE","NP_198322.1 GDSL-like Lipase/Acylhydrolase superfamily protein [Arabidopsis thaliana]",74.309,"NP_198322.1",,"AT5G33370","VIT_07s0255g00030","AT5G33370",
"Vitvi05g01365",1.5753058318085,12.99571241383,0.000202301561448095,0.0191812665273014,TRUE,"Up","Rpv12",24,9,50,"F6I4B1","VIT_05s0062g01310","5",20355049,20358051,"EEU EEE EEE","NP_177464.1 hypothetical protein (DUF789) [Arabidopsis thaliana]",53.067,"NP_177464.1",,"AT1G73210","VIT_05s0062g01310","AT1G73210",
"Vitvi01g01016",-1.17746490562091,-11.1114974395117,0.000373221903368276,0.0192639920892395,TRUE,"Down","Rpv12",6,9,51,"F6HPR2","VIT_01s0026g02470","1",12382735,12383876,"EDE EDE EEE","NP_001322304.1 hypothetical protein AT1G56423 [Arabidopsis thaliana]",46.256,"NP_001322304.1",,"AT1G56423","VIT_01s0026g02470","AT1G56423",
"Vitvi14g04525",-1.13003196523224,-11.0196730048135,0.000385480239611017,0.0194741938038238,TRUE,"Down","Rpv12",6,9,52,"F6H482","VIT_14s0068g00170","14",24342570,24342881,"EDE EEE EDE","NP_171789.1 rapid alkalinization factor 1 [Arabidopsis thaliana]",43.939,"NP_171789.1","RALF1","AT1G02900","VIT_14s0068g00170","AT1G02900","RALF1"
"Vitvi09g01266",-1.92649588067138,-9.12564940683184,0.000800027961963315,0.0196096141853568,TRUE,"Down","Rpv12+1",6,9,53,"D7T428","VIT_09s0018g01630","9",20488725,20493395,"EDE EDE EEE","NP_173059.1 tubby like protein 8 [Arabidopsis thaliana]",64.201,"NP_173059.1","TLP8","AT1G16070","VIT_09s0018g01630","AT1G16070","TLP8"
"Vitvi17g04007",-1.06483674032557,-12.8070906281916,0.000214239937292117,0.0196326174865124,TRUE,"Down","Rpv12",24,9,54,"F6HJ69","VIT_01s0150g00140","17",887435,889765,"EED EEE EED","NP_176092.2 Zinc finger (C3HC4-type RING finger) family protein [Arabidopsis thaliana]",49.587,"NP_176092.2","VIM1","AT1G57820","VIT_01s0150g00140","AT1G57820","VIM1"
"Vitvi09g00590",-1.61413997902538,-8.86345099651553,0.000894861680514663,0.0204487717297849,TRUE,"Down","Rpv12+1",6,9,55,"F6HXC6","VIT_09s0002g06680","9",6598984,6599945,"EEE EDE EEE","NP_201026.1 Embryo-specific protein 3, (ATS3) [Arabidopsis thaliana]",53.75,"NP_201026.1",,"AT5G62200","VIT_09s0002g06680","AT5G62200",
"Vitvi10g04021",-1.17876330177369,-8.80833255577715,0.000916540047541802,0.0206471730150931,TRUE,"Down","Rpv12+1",6,9,56,"F6H7J1","VIT_10s0116g01580","10",836108,836671,"EDE EDE EDE","a match not found in blastP with e-value<0.000001",,,,,"VIT_10s0116g01580",,
"Vitvi13g04038",-2.54008835622256,-10.3072445188157,0.000499813776534389,0.0208606486732511,TRUE,"Down","Rpv12",6,9,57,"F6HC42","VIT_13s0067g02730","13",1540497,1542288,"EDE EEE EDE","NP_568153.2 phenylalanine N-monooxygeNAse-like protein [Arabidopsis thaliana]",58.333,"NP_568153.2","CYP79A2","AT5G05260","VIT_13s0067g02730","AT5G05260","CYP79A2"
"Vitvi05g01437",-1.83931022154471,-8.68916675954616,0.000965677835553243,0.0209804003140095,TRUE,"Down","Rpv12+1",6,9,58,"F6HN60","VIT_05s0165g00160","5",21804924,21807333,"EDE EDE EDE","NP_001328102.1 Ankyrin repeat family protein [Arabidopsis thaliana]",30.671,"NP_001328102.1",,"AT4G03490","VIT_05s0165g00160","AT4G03490",
"Vitvi19g00680",-5.65045924018672,-8.51980924047123,0.00104126515356083,0.0214674770620251,TRUE,"Down","Rpv12+1",6,9,59,"F6I555","VIT_19s0015g00510","19",8818794,8820607,"EDE EDE EDE","NP_567409.1 Pectin lyase-like superfamily protein [Arabidopsis thaliana]",65.312,"NP_567409.1",,"AT4G13710","VIT_19s0015g00510","AT4G13710",
"Vitvi06g04052",-1.31736564866316,-9.94693099413925,0.000573699425423445,0.0215871533113884,TRUE,"Down","Rpv12",6,9,60,"A5AEY1","VIT_04s0044g00560","6",2035597,2036476,"EDE EEE EEE","NP_568228.1 Histone superfamily protein [Arabidopsis thaliana]",100,"NP_568228.1",,"AT5G10400","VIT_04s0044g00560","AT5G10400",
"Vitvi01g01752",-1.60474971999126,-11.310833899039,0.000348236283543868,0.0216678646591667,TRUE,"Down","Rpv12",24,9,61,"F6H469","VIT_14s0068g00010","1",23504370,23505488,"EED EEE EED","NP_198716.1 Malectin/receptor-like protein kiNAse family protein [Arabidopsis thaliana]",47.977,"NP_198716.1",,"AT5G39000","VIT_14s0068g00010","AT5G39000",
"Vitvi17g01251",-1.36760961983663,-9.80545964734053,0.000606388084759489,0.0217928853405088,TRUE,"Down","Rpv12",6,9,62,"A5C506","VIT_17s0053g00990","17",18629174,18631101,"EDE EDE EEE","NP_178409.2 expansin A15 [Arabidopsis thaliana]",81.855,"NP_178409.2","EXPA15","AT2G03090","VIT_17s0053g00990","AT2G03090","EXPA15"
"Vitvi01g00742",-1.10214083840436,-8.44930386083158,0.00107488599536764,0.0218256255681713,TRUE,"Down","Rpv12+1",6,9,63,"D7TDE4","VIT_01s0127g00800","1",8480975,8485719,"EDE EDE EDE","NP_196874.1 polyamine oxidase 1 [Arabidopsis thaliana]",49.539,"NP_196874.1","PAO1","AT5G13700","VIT_01s0127g00800","AT5G13700","PAO1"
"Vitvi04g02163",-1.74665984000864,-9.68722998408549,0.000635496519783274,0.0219410602168298,TRUE,"Down","Rpv12",6,9,64,"F6GWL1","VIT_04s0023g03720","4",20507340,20509644,"EDE EDE EEE","NP_190696.1 Tetratricopeptide repeat (TPR)-like superfamily protein [Arabidopsis thaliana]",64.979,"NP_190696.1",,"AT3G51280","VIT_04s0023g03720","AT3G51280",
"Vitvi12g01605",-1.76665213025787,-9.61246137257671,0.000654802593847576,0.0222571967063885,TRUE,"Down","Rpv12",6,9,65,"F6H1N1","VIT_12s0055g00930","12",14311198,14313316,"EDE EEE EDE","NP_180434.2 Chloroplast-targeted copper chaperone protein [Arabidopsis thaliana]",67.606,"NP_180434.2",,"AT2G28660","VIT_12s0055g00930","AT2G28660",
"Vitvi18g02327",-0.801926561889434,-8.23773274099954,0.00118417371804354,0.0224676786008324,FALSE,"Not_DE","Rpv12+1",6,9,66,"F6GW31","VIT_18s0089g00010","18",33261354,33262805,"EDE EEE EEE","NP_001323401.1 Leucine-rich repeat (LRR) family protein [Arabidopsis thaliana]",65.678,"NP_001323401.1",,"AT1G33590","VIT_18s0089g00010","AT1G33590",
"Vitvi13g00618",-1.1218412918405,-8.21029999248803,0.00119933308762975,0.0225956425991238,TRUE,"Down","Rpv12+1",6,9,67,"F6HNF7","VIT_13s0019g04420","13",5909622,5914496,"EEE EDE EDE","NP_195945.1 Phototropic-responsive NPH3 family protein [Arabidopsis thaliana]",61.897,"NP_195945.1",,"AT5G03250","VIT_13s0019g04420","AT5G03250",
"Vitvi11g01222",-1.47585261399255,-9.48443306368144,0.00068958211046744,0.0226704450362091,TRUE,"Down","Rpv12",6,9,68,"D7SQB8","VIT_11s0052g00750","11",18427029,18431307,"EDE EDE EEE","NP_001319134.1 serine carboxypeptidase-like 18 [Arabidopsis thaliana]",46.256,"NP_001319134.1","scpl18","AT1G33540","VIT_11s0052g00750","AT1G33540","scpl18"
"Vitvi14g04224",-1.06684173835038,-10.9072906377389,0.000401172179001466,0.0227232575521976,TRUE,"Down","Rpv12",24,9,69,,,"14",8885439,8885759,"EED EEE EED","a match not found in blastP with e-value<0.000001",,,,,,,
"Vitvi06g04363",-0.985552115983748,-9.41189480394394,0.000710306326757431,0.023235007831144,FALSE,"Not_DE","Rpv12+1+3",6,9,70,,,"6",16686734,16688800,"EEE EDE EEE","a match not found in blastP with e-value<0.000001",,,,,,,
"Vitvi02g04072",-1.13680127439594,-7.98389462311309,0.00133408211709517,0.0234992380185278,TRUE,"Down","Rpv12+1",6,9,71,"F6HUC6","VIT_02s0025g03500","2",2805329,2809748,"EEE EDE EEE","NP_192884.1 bromo-adjacent domain protein, putative (DUF3527) [Arabidopsis thaliana]",42.318,"NP_192884.1",,"AT4G11450","VIT_02s0025g03500","AT4G11450",
