ENSMBL_geneID	Uniprot_proteinID	NCBI_refeT2T_geneID
Vitvi00g04279	D7T5J3	VIT_00s0665g00040
Vitvi00g04280	D7T5J2	VIT_00s0665g00030
Vitvi00g04282	D7T5J0	VIT_00s0665g00020
Vitvi00g04283	F6H9Y5	VIT_06s0009g01800
Vitvi00g04284	F6HWM2	VIT_07s0141g00250
Vitvi00g04286	F6HJR4	VIT_00s0787g00020
Vitvi00g04287	F6I2E6	VIT_00s1008g00010
Vitvi00g04299		
Vitvi00g04300		
Vitvi00g04303	F6H896	VIT_00s0572g00020
Vitvi00g04304	F6H870	VIT_00s0372g00070
Vitvi00g04305	F6I7B0	VIT_00s0266g00070
Vitvi00g04310		
Vitvi00g04313	F6GZL8	VIT_18s0001g08170
Vitvi00g04314	F6GTY7	VIT_06s0004g03230
Vitvi00g04315	D7SSI1	VIT_07s0205g00120
Vitvi00g04316	D7U5L7	VIT_00s0282g00040
Vitvi00g04324		
Vitvi00g04336	F6H8E6	VIT_00s1764g00010
Vitvi00g04337	D7SZ79	VIT_00s1764g00020
Vitvi00g04338	D7TWC7	VIT_02s0025g04990
Vitvi00g04339	F6GZI0	VIT_00s2117g00010
Vitvi00g04340	D7TWC9	VIT_02s0025g05010
Vitvi00g04343	F6HWH9	VIT_07s0141g00340
Vitvi00g04344	F6HRI0	VIT_07s0289g00020
Vitvi00g04345	A5B6T8	VIT_07s0141g00300
Vitvi00g04358	E0CSQ5	VIT_19s0014g03360
Vitvi00g04359	F6H280	VIT_19s0014g03350
Vitvi00g04360	F6HRY2	VIT_00s0441g00010
Vitvi00g04361	D7TRY4	VIT_00s0441g00020
Vitvi00g04368	D7THZ6	VIT_08s0007g08180
Vitvi00g04369	F6HJS0	VIT_00s0658g00020
Vitvi00g04376	F6I7J9	VIT_00s0634g00030
Vitvi00g04379	F6HQW6	VIT_08s0040g02930
Vitvi00g04383	F6I4Q5	VIT_14s0060g01660
Vitvi00g04386	F6I4Q5	VIT_14s0060g01660
Vitvi00g04388		
Vitvi00g04397	F6H3F5	VIT_04s0008g04200
Vitvi00g04400	D7SUH6	VIT_04s0008g04220
Vitvi00g04407	F6HP16	VIT_16s0100g01190
Vitvi00g04411	F6H7X8	VIT_02s0236g00020
Vitvi00g04412	F6H7X9	VIT_02s0236g00030
Vitvi00g04413		
Vitvi00g04415	F6HD05	VIT_00s0173g00220
Vitvi00g04416	F6HIZ7	VIT_13s0047g00870
Vitvi00g04421	F6HX39	VIT_09s0002g05110
Vitvi00g04434		
Vitvi00g04448	D7UEC8	VIT_07s0151g00140
Vitvi00g04449	F6HD90	VIT_00s0823g00020
Vitvi00g04451	D7TZ11	VIT_00s1343g00010
Vitvi00g04452	F6HD81	VIT_00s0598g00040
Vitvi00g04453	F6I7N1	VIT_00s0981g00010
Vitvi00g04454	F6HRV9	VIT_00s0515g00010
Vitvi00g04455	F6HRV9	VIT_00s0515g00010
Vitvi00g04462	F6HSS7	VIT_07s0129g00020
Vitvi00g04463	F6HSK0	VIT_14s0006g01200
Vitvi00g04469	F6HBW0	VIT_09s0018g00780
Vitvi00g04470	D7SS40	VIT_09s0054g00370
Vitvi00g04471		
Vitvi00g04472	F6I7Q8	VIT_00s2304g00010
Vitvi00g04473	F6HAL3	VIT_16s0022g01710
Vitvi00g04474		
Vitvi00g04483	E0CV24	VIT_16s0050g00400
Vitvi00g04484		
Vitvi00g04485	E0CV25	VIT_16s0050g00390
Vitvi00g04486	F6H6N2	VIT_16s0050g00380
Vitvi00g04488	F6I221	VIT_00s0207g00060
Vitvi00g04489	F6HCV4	VIT_00s0194g00110
Vitvi00g04490	D7U8X0	VIT_05s0124g00560
Vitvi00g04491	F6HEJ2	VIT_19s0090g00270
Vitvi00g04492	D7SS62	VIT_09s0054g00060
Vitvi00g04497	F6GZ95	VIT_00s0347g00060
Vitvi00g04498	F6GZ98	VIT_00s0347g00110
Vitvi00g04499	F6GZ97	VIT_00s0347g00080
Vitvi00g04500	D7UDR1	VIT_00s0203g00220
Vitvi00g04501	F6I7L1	VIT_00s0762g00010
Vitvi00g04503	A5ARZ8	VIT_00s0347g00040
Vitvi00g04504	F6HCL2	VIT_11s0149g00300
Vitvi00g04505	F6HWU5	VIT_00s0540g00020
Vitvi00g04507	F6HCL2	VIT_11s0149g00300
Vitvi00g04508	F6HWU7	VIT_00s0540g00050
Vitvi00g04509	F6I661	VIT_15s0046g01970
Vitvi00g04517	F6HXY6	VIT_09s0002g01610
Vitvi00g04518	F6I330	VIT_15s0048g01650
Vitvi00g04520	D7TT75	VIT_07s0129g00200
Vitvi00g04521	F6HST6	VIT_07s0129g00190
Vitvi00g04522	F6HST5	VIT_07s0129g00180
Vitvi00g04523	F6H5Z5	VIT_14s0036g00990
Vitvi00g04526	F6HRK4	VIT_00s0267g00020
Vitvi00g04527	F6HP70	VIT_16s0100g00370
Vitvi00g04531	D7T5B6	VIT_00s0211g00070
Vitvi00g04534		
Vitvi00g04555		
Vitvi00g04557	F6HWT9	VIT_00s0580g00020
Vitvi00g04558	F6HD99	VIT_00s0227g00170
Vitvi00g04561	F6GW22	VIT_18s0089g00260
Vitvi00g04562		
Vitvi00g04563	F6HLL9	VIT_08s0007g06040
Vitvi00g04564	F6HLL8	VIT_08s0007g06060
Vitvi00g04567		
Vitvi00g04568	F6HCY3	VIT_00s0233g00030
Vitvi00g04569	D7T5J5	VIT_00s0233g00020
Vitvi00g04570	F6HCY2	VIT_00s0233g00010
Vitvi00g04573	F6HWU3	VIT_00s0561g00030
Vitvi00g04581	E0CVX1	VIT_00s0181g00050
Vitvi00g04582	D7TD10	VIT_12s0057g00250
Vitvi00g04583	F6HRX5	VIT_00s0539g00010
Vitvi00g04584	F6I7J9	VIT_00s0634g00030
Vitvi00g04585	F6HTW6	VIT_14s0030g01240
Vitvi00g04586	F6HD55	VIT_00s0587g00010
Vitvi00g04587	F6HD55	VIT_00s0587g00010
Vitvi00g04594	D7T371	VIT_13s0064g00270
Vitvi00g04595	F6GZE8	VIT_00s0639g00010
Vitvi00g04596	F6H7Y8	VIT_00s0409g00040
Vitvi00g04597	F6I7G7	VIT_00s0398g00010
Vitvi00g04598	D6CH11	VIT_07s0005g05580
Vitvi00g04599	D7UE53	VIT_00s0398g00060
Vitvi00g04602	F6HLT3	VIT_10s0003g03850
Vitvi00g04604	F6HLT4	VIT_10s0003g03860
Vitvi00g04605	F6I456	VIT_18s0041g01890
Vitvi00g04606	F6I455	VIT_18s0041g01900
Vitvi00g04607	D7U7V6	VIT_15s0048g00540
Vitvi00g04609	F6HEC0	VIT_16s0039g01300
Vitvi00g04610	D6CH15	VIT_00s0642g00010
Vitvi00g04611	F6HUW8	VIT_14s0066g00750
Vitvi00g04616	F6HX68	VIT_09s0002g05590
Vitvi00g04617	F6HX67	VIT_09s0002g05570
Vitvi00g04619	F6H881	VIT_00s0687g00020
Vitvi00g04620	D7U6I2	VIT_00s0207g00110
Vitvi00g04621	D7U6I1	VIT_00s0207g00100
Vitvi00g04622	F6I222	VIT_00s0207g00090
Vitvi00g04624	F6I0K4	VIT_04s0044g00020
Vitvi00g04625	F6HRY3	VIT_00s0992g00010
Vitvi00g04629	F6I530	VIT_19s0015g00050
Vitvi00g04630	F6I530	VIT_19s0015g00050
Vitvi00g04632	F6HYH6	VIT_04s0159g00020
Vitvi00g04633		
Vitvi00g04634	F6I6S6	VIT_18s0122g01440
Vitvi00g04636	F6I272	VIT_04s0210g00080
Vitvi00g04638	F6GZC9	VIT_00s0729g00010
Vitvi00g04640	F6HCW3	VIT_00s0194g00270
Vitvi00g04641	F6HCW4	VIT_00s0194g00280
Vitvi00g04643	D7U429	VIT_04s0044g00520
Vitvi00g04648	D7T3T8	VIT_09s0018g00290
Vitvi00g04649	F6HBQ7	VIT_09s0018g00270
Vitvi00g04653	D7TUK1	VIT_14s0030g02020
Vitvi00g04655	F6I3D3	VIT_09s0070g00480
Vitvi00g04656	D7SSJ7	VIT_00s0259g00070
Vitvi00g04657	F6HJX3	VIT_00s2249g00010
Vitvi00g04662	D7SYZ6	VIT_00s0341g00020
Vitvi00g04664	D7TGC8	VIT_00s0769g00010
Vitvi00g04665	D7UCF7	VIT_15s0046g02040
Vitvi00g04671	F6GZF8	VIT_00s0790g00020
Vitvi00g04673		
Vitvi00g04681	F6HWW6	VIT_00s0794g00010
Vitvi00g04685	D7TZ06	VIT_00s0797g00010
Vitvi00g04686	E0CNP7	VIT_00s0805g00010
Vitvi00g04687	F6GZE9	VIT_00s0805g00020
Vitvi00g04688		
Vitvi00g04689	F6HRT7	VIT_00s0467g00010
Vitvi00g04691	D7SM47	VIT_15s0021g00610
Vitvi00g04692	F6H8C4	VIT_00s0857g00010
Vitvi00g04695	F6HWX5	VIT_00s0813g00010
Vitvi00g04696	F6HRZ4	VIT_00s0983g00010
Vitvi00g04704	F6GZG3	VIT_00s0841g00010
Vitvi00g04705	D7T3K6	VIT_03s0088g00960
Vitvi00g04706	F6HJT7	VIT_00s0771g00010
Vitvi00g04707	F6H8B2	VIT_00s0847g00010
Vitvi00g04708	F6H8B3	VIT_00s0847g00020
Vitvi00g04709	F6I7K0	VIT_00s0641g00010
Vitvi00g04710	F6I108	VIT_03s0038g02280
Vitvi00g04711	D7U565	VIT_03s0038g02290
Vitvi00g04712	F6I210	VIT_00s0214g00130
Vitvi00g04713	F6HCV3	VIT_00s0194g00090
Vitvi00g04714	D7T5F5	VIT_00s0194g00100
Vitvi00g04715	F6HXM3	VIT_09s0002g08310
Vitvi00g04721	D7ST44	VIT_00s0897g00010
Vitvi00g04722		
Vitvi00g04724	D7U6Z4	VIT_00s1314g00010
Vitvi00g04728	F6HM24	VIT_10s0003g00010
Vitvi00g04730	A5BGY6	VIT_07s0191g00030
Vitvi00g04731	F6HD74	VIT_00s0625g00020
Vitvi00g04734	D7TGD4	VIT_00s0914g00010
Vitvi00g04735	F6GZG7	VIT_00s0927g00010
Vitvi00g04737	F6HJV6	VIT_00s0929g00020
Vitvi00g04740	D7T2Q5	VIT_05s0094g01710
Vitvi00g04742	F6HJW3	VIT_00s0936g00010
Vitvi00g04743	F6I7L7	VIT_00s0941g00010
Vitvi00g04744	D7UEB9	VIT_00s0941g00020
Vitvi00g04747	F6HZL3	VIT_07s0005g03570
Vitvi00g04748	F6HDA1	VIT_00s0945g00010
Vitvi00g04749	D7TS20	VIT_00s1373g00010
Vitvi00g04750	F6H572	VIT_12s0028g01070
Vitvi00g04751	F6GZQ1	VIT_18s0001g13430
Vitvi00g04752	D7UEC7	VIT_00s0958g00020
Vitvi00g04753	F6HJV5	VIT_00s0960g00010
Vitvi00g04754	D7TGF2	VIT_00s0960g00040
Vitvi00g04757	D7TDH9	VIT_01s0127g00410
Vitvi00g04758	D7SZ77	VIT_00s0972g00010
Vitvi00g04759	F6H269	VIT_19s0014g03200
Vitvi00g04762	F6I7N1	VIT_00s0981g00010
Vitvi00g04763	F6HRZ4	VIT_00s0983g00010
Vitvi00g04764	F6I3D2	VIT_09s0070g00450
Vitvi00g04765	D7UEC0	VIT_00s1003g00010
Vitvi00g04768	F6HRB3	VIT_12s0142g00050
Vitvi00g04769	A5AXD4	VIT_00s1045g00030
Vitvi00g04771	F6GXU9	VIT_08s0058g00230
Vitvi00g04777	F6I7L9	VIT_00s1206g00010
Vitvi00g04778	F6I7M0	VIT_00s1206g00020
Vitvi00g04787	F6HJK8	VIT_00s0391g00010
Vitvi00g04791	F6HPV5	VIT_13s0156g00590
Vitvi00g04795	F6HYH6	VIT_04s0159g00020
Vitvi00g04796		
Vitvi00g04797	D7SZ92	VIT_00s2125g00010
Vitvi00g04798	F6I7S5	VIT_00s2580g00010
Vitvi00g04799	D7TGH5	VIT_00s2300g00010
Vitvi00g04800	F6H298	VIT_19s0014g04150
Vitvi00g04804	F6H7Z9	VIT_00s0456g00020
Vitvi00g04809	F6HLT3	VIT_10s0003g03850
Vitvi00g04811	F6I7M3	VIT_00s1466g00020
Vitvi00g04812	F6GZ98	VIT_00s0347g00110
Vitvi00g04813		
Vitvi00g04814	F6HDB7	VIT_00s1490g00010
Vitvi00g04815	D7TRZ8	VIT_00s0921g00020
Vitvi00g04816	F6I7M8	VIT_00s1501g00010
Vitvi00g04817	F6I2H7	VIT_07s0151g00380
Vitvi00g04822	F6HS01	VIT_00s0566g00020
Vitvi00g04823	D7TS14	VIT_00s0566g00010
Vitvi00g04824	F6HFV1	VIT_01s0011g00350
Vitvi00g04825	F6HW01	VIT_10s0071g00550
Vitvi00g04828	F6H694	VIT_03s0091g01160
Vitvi00g04829		
Vitvi00g04831	F6GXA1	VIT_13s0019g01880
Vitvi00g04834	D7TN04	VIT_16s0100g00010
Vitvi00g04835	F6GZI8	VIT_00s2507g00010
Vitvi00g04837	F6GZH7	VIT_00s1679g00010
Vitvi00g04838	F6H8E4	VIT_00s1667g00010
Vitvi00g04839	F6I7P4	VIT_00s1683g00010
Vitvi00g04842	F6I2I1	VIT_00s1715g00010
Vitvi00g04846	F6HWU5	VIT_00s0540g00020
Vitvi00g04847	F6HS11	VIT_00s2326g00010
Vitvi00g04848	F6GZH8	VIT_00s1818g00010
Vitvi00g04849	F6I7P4	VIT_00s1683g00010
Vitvi00g04851	D7UDJ6	VIT_18s0122g00010
Vitvi00g04854	F6HKF1	VIT_08s0007g04400
Vitvi00g04855	D7TZ32	VIT_00s2082g00010
Vitvi00g04860	F6GZH3	VIT_00s1525g00010
Vitvi00g04862	F6H8E4	VIT_00s1667g00010
Vitvi00g04865	F6H8E9	VIT_00s2377g00010
Vitvi00g04866	F6HS26	VIT_00s2526g00010
Vitvi00g04867	D7UDR1	VIT_00s0203g00220
Vitvi00g04868	F6HDE1	VIT_00s2525g00010
Vitvi00g04869	F6I7R6	VIT_00s2527g00010
Vitvi00g04870	D7ST65	VIT_00s2563g00010
Vitvi00g04872		
Vitvi00g04874	F6GZI3	VIT_00s2705g00010
Vitvi00g04875		
Vitvi00g04876	F6I7S3	VIT_00s2785g00010
Vitvi00g04877		
Vitvi00g04879		
Vitvi00g04881	F6HIG2	VIT_12s0059g01640
Vitvi00g04882	Q0ZIY9	petB
Vitvi01g00002	F6HF06	VIT_01s0011g00030
Vitvi01g00005	F6HF05	VIT_01s0011g00050
Vitvi01g00006	F6HF03	VIT_01s0011g00070
Vitvi01g00008	Q6E6S7	AP1
Vitvi01g00011	D7T9Z7	VIT_01s0011g00110
Vitvi01g00012	F6HF00	VIT_01s0011g00120
Vitvi01g00014	D7T9Z3	VIT_01s0011g00150
Vitvi01g00015	F6HEZ7	VIT_01s0011g00170
Vitvi01g00019	D7T9Y8	VIT_01s0011g00190
Vitvi01g00023	D7T9Y7	VIT_01s0011g00210
Vitvi01g00024	F6HEZ6	VIT_01s0011g00230
Vitvi01g00025	D7T9Y5	VIT_01s0011g00240
Vitvi01g00026	A5BJC3	VIT_01s0011g00250
Vitvi01g00027	F6HFV3	VIT_01s0011g00280
Vitvi01g00028	D7T9Y2	VIT_01s0011g00290
Vitvi01g00029	F6HFV2	VIT_01s0011g00300
Vitvi01g00031	F6HFV1	VIT_01s0011g00350
Vitvi01g00033	D7T9X8	VIT_01s0011g00370
Vitvi01g00034	F6HFV0	VIT_01s0011g00380
Vitvi01g00035	D7T9X6	VIT_01s0011g00390
Vitvi01g00036	D7T9X5	VIT_01s0011g00400
Vitvi01g00037	F6HFU9	VIT_01s0011g00410
Vitvi01g00038	F6H489	VIT_14s0068g00290
Vitvi01g00039	F6HFU6	VIT_01s0011g00450
Vitvi01g00041	F6HFU5	VIT_01s0011g00460
Vitvi01g00042	D7T9W8	VIT_01s0011g00470
Vitvi01g00043	D7T9W7	VIT_01s0011g00490
Vitvi01g00045	D7T9W6	VIT_01s0011g00500
Vitvi01g00046	D7T9W5	VIT_01s0011g00510
Vitvi01g00047	F6HFU4	VIT_01s0011g00520
Vitvi01g00048	F6HFU3	VIT_01s0011g00530
Vitvi01g00049	D7T9W2	VIT_01s0011g00540
Vitvi01g00050	D7T9W1	VIT_01s0011g00550
Vitvi01g00051	A5AZD0	VIT_01s0011g00570
Vitvi01g00052	F6HF88	VIT_01s0011g00590
Vitvi01g00053	D7T9V7	VIT_01s0011g00600
Vitvi01g00054	D7T9V6	VIT_01s0011g00610
Vitvi01g00055	F6HF87	VIT_01s0011g00620
Vitvi01g00056	D7T9V3	VIT_01s0011g00640
Vitvi01g00058	F6HF85	VIT_01s0011g00650
Vitvi01g00059	A5BGC6	VIT_01s0011g00670
Vitvi01g00060	A5BGC5	VIT_01s0011g00680
Vitvi01g00061	F6HF82	VIT_01s0011g00690
Vitvi01g00062	F6HF81	VIT_01s0011g00700
Vitvi01g00063	F6HF80	VIT_01s0011g00710
Vitvi01g00064	F6HF78	VIT_01s0011g00730
Vitvi01g00065	F6HF77	VIT_01s0011g00740
Vitvi01g00066	F6HF76	VIT_01s0011g00750
Vitvi01g00067	F6HF75	VIT_01s0011g00760
Vitvi01g00070	F6HF73	VIT_01s0011g00780
Vitvi01g00071	F6HF72	VIT_01s0011g00790
Vitvi01g00073	D7T9T6	VIT_01s0011g00810
Vitvi01g00074	F6HF69	VIT_01s0011g00840
Vitvi01g00075	A5BTC6	VIT_01s0011g00850
Vitvi01g00076	F6HEZ4	VIT_01s0011g00870
Vitvi01g00077	D7T9T0	VIT_01s0011g00880
Vitvi01g00078	F6HEZ3	VIT_01s0011g00890
Vitvi01g00079	A5AY98	VIT_01s0011g00900
Vitvi01g00080	F6HEZ1	VIT_01s0011g00910
Vitvi01g00081	D7T9S4	VIT_01s0011g00930
Vitvi01g00082	D7T9S3	VIT_01s0011g00940
Vitvi01g00083	F6HEY4	VIT_01s0011g01020
Vitvi01g00085	F6HEY0	VIT_01s0011g01060
Vitvi01g00086	D7T9R5	VIT_01s0011g01080
Vitvi01g00087	D7T9R2	VIT_01s0011g01110
Vitvi01g00088	F6HFU1	VIT_01s0011g01120
Vitvi01g00089	F6HFU0	VIT_01s0011g01130
Vitvi01g00090	D7T9Q8	VIT_01s0011g01150
Vitvi01g00091	D7T9Q7	VIT_01s0011g01160
Vitvi01g00092	D7T9Q5	VIT_01s0011g01180
Vitvi01g00095	D7T9Q3	VIT_01s0011g01200
Vitvi01g00097	D7T9Q0	VIT_01s0011g01230
Vitvi01g00098	D7T9P9	VIT_01s0011g01240
Vitvi01g00099	A5BDR5	VIT_01s0011g01260
Vitvi01g00101	F6HFT5	VIT_01s0011g01280
Vitvi01g00102	F6HFT5	VIT_01s0011g01280
Vitvi01g00103	F6HFT4	VIT_01s0011g01290
Vitvi01g00104	F6HFT3	VIT_01s0011g01300
Vitvi01g00105	D7T9P2	VIT_01s0011g01310
Vitvi01g00106	D7T9P1	VIT_01s0011g01320
Vitvi01g00108	A5B663	VIT_01s0011g01360
Vitvi01g00110	D7T9N6	VIT_01s0011g01390
Vitvi01g00111	F6HFS9	VIT_01s0011g01410
Vitvi01g00112	D7T9N2	VIT_01s0011g01420
Vitvi01g00113	D7T9N0	VIT_01s0011g01440
Vitvi01g00114	F6HF68	VIT_01s0011g01450
Vitvi01g00115	D7T9M8	VIT_01s0011g01460
Vitvi01g00116	F6HF67	VIT_01s0011g01470
Vitvi01g00119	F6HF66	VIT_01s0011g01480
Vitvi01g00120	D7T9M5	VIT_01s0011g01490
Vitvi01g00121	A5B0U6	VIT_01s0011g01510
Vitvi01g00122	A5AHN8	VIT_01s0011g01520
Vitvi01g00124	D7T9M0	VIT_01s0011g01540
Vitvi01g00128	D7T9L8	VIT_01s0011g01570
Vitvi01g00129	F6HLW7	VIT_10s0003g04510
Vitvi01g00130	F6HF61	VIT_01s0011g01590
Vitvi01g00131	F6HF60	VIT_01s0011g01600
Vitvi01g00132	F6HF59	VIT_01s0011g01610
Vitvi01g00133	D7T9L4	VIT_01s0011g01620
Vitvi01g00134	D7T9L3	VIT_01s0011g01630
Vitvi01g00135	D7T9L2	VIT_01s0011g01640
Vitvi01g00136	A5BQJ0	VIT_01s0011g01660
Vitvi01g00137	D7T9K9	VIT_01s0011g01680
Vitvi01g00138	D7T9K7	VIT_01s0011g01690
Vitvi01g00139	D7T9K6	VIT_01s0011g01710
Vitvi01g00140	D7T9J8	VIT_01s0011g01800
Vitvi01g00142	F6HFS7	VIT_01s0011g01820
Vitvi01g00143	D7T9J5	VIT_01s0011g01830
Vitvi01g00145	D7T9J4	VIT_01s0011g01850
Vitvi01g00146	F6HFS4	VIT_01s0011g01870
Vitvi01g00147	F6HFS3	VIT_01s0011g01880
Vitvi01g00148	D7T9J1	VIT_01s0011g01890
Vitvi01g00149	F6HFS2	VIT_01s0011g01900
Vitvi01g00150	F6HFS1	VIT_01s0011g01910
Vitvi01g00151	F6HFR9	VIT_01s0011g01930
Vitvi01g00152	F6HFR8	VIT_01s0011g01940
Vitvi01g00155	D7T9I6	VIT_01s0011g01960
Vitvi01g00156	F6HFR7	VIT_01s0011g01970
Vitvi01g00157	D7T9I4	VIT_01s0011g01990
Vitvi01g00160	D7T9I1	VIT_01s0011g02030
Vitvi01g00161	F6HFR3	VIT_01s0011g02040
Vitvi01g00162	F6HF53	VIT_01s0011g02060
Vitvi01g00163	F6HF51	VIT_01s0011g02080
Vitvi01g00166	F6HF49	VIT_01s0011g02100
Vitvi01g00167	D7T9H2	VIT_01s0011g02110
Vitvi01g00168	F6HF48	VIT_01s0011g02120
Vitvi01g00169	D7T9H0	VIT_01s0011g02130
Vitvi01g00170	D7T9G8	VIT_01s0011g02150
Vitvi01g00171	F6HF47	VIT_01s0011g02160
Vitvi01g00172	D7T9G6	VIT_01s0011g02170
Vitvi01g00173	F6HF46	VIT_01s0011g02180
Vitvi01g00174	D7T9G4	VIT_01s0011g02190
Vitvi01g00175	A5AP38	VIT_01s0011g02200
Vitvi01g00176	F6HF44	VIT_01s0011g02220
Vitvi01g00178	F6HF43	VIT_01s0011g02230
Vitvi01g00179	F6HF42	VIT_01s0011g02240
Vitvi01g00181	F6HF40	VIT_01s0011g02260
Vitvi01g00182	F6HF39	VIT_01s0011g02270
Vitvi01g00183	F6HF38	VIT_01s0011g02280
