,PearsonCorr,Pvals,Padj,FDR,UniProt,Athal_locus,Athal_common_name,PantherDB.org
Vitvi04g01375,0.731763852262692,3.96103875756544e-07,0.0012770388954391,2.24041911480544e-05,F6GWS6,NP_565388.1,NA,
Vitvi07g01342,-0.729160155023937,4.56480733012947e-07,0.00147169388323374,2.49439641226058e-05,F6HJH6,NP_566935.1,NA,
Vitvi16g04295,-0.729160155023937,4.56480733012947e-07,0.00147169388323374,2.49439641226058e-05,A5B923,NP_201042.2,NA,
Vitvi08g02218,0.727537270049088,4.98280266780533e-07,0.00160645558010044,2.67742596683406e-05,F6HL30,NP_174690.1,NA,
Vitvi18g02825,0.725588629880729,5.53108756705168e-07,0.00178322263161746,2.92331578953682e-05,F6GZU8,NP_193728.2,NA,
Vitvi03g04266,-0.723551230754522,6.16320832208703e-07,0.00198701836304086,3.20486832748526e-05,F6HW42,NP_196615.1,NA,
Vitvi10g01812,-0.722501018689747,6.51436181894005e-07,0.00210023025042627,3.33369881020043e-05,F6HME6,NP_199378.1,NA,
Vitvi00g04313,0.720382602476694,7.27925607343024e-07,0.00234683215807391,3.57723386702336e-05,F6GZL8,NP_196527.1,PPa6,
Vitvi11g00217,0.719413407498765,7.65599059629689e-07,0.00246829136824612,3.57723386702336e-05,D7TBB5,NP_567739.1,NA,
Vitvi12g01881,0.719413407498765,7.65599059629689e-07,0.00246829136824612,3.57723386702336e-05,F6H8X3,NP_172255.1,NA,
Vitvi13g04698,0.719413407498765,7.65599059629689e-07,0.00246829136824612,3.57723386702336e-05,F6HBD8,NA,NA,
Vitvi17g00461,0.719413407498765,7.65599059629689e-07,0.00246829136824612,3.57723386702336e-05,F6GSG4,NP_568177.1,ST2A,
Vitvi18g00174,0.719413407498765,7.65599059629689e-07,0.00246829136824612,3.57723386702336e-05,F6H0E2,NP_177731.2,CPK29,
Vitvi05g01579,-0.718648196784035,7.96599470119536e-07,0.00256823669166539,3.66890955952198e-05,F6HAW3,NP_191010.1,EP3,
Vitvi15g01247,-0.716618527211035,8.84494703110948e-07,0.0028516109228297,4.01635341243619e-05,F6I5F1,NP_196353.2,NA,
Vitvi01g04115,0.713238185116801,1.05085825073372e-06,0.00338796700036551,4.34657156378871e-05,F6HFG9,NP_001117579.1,MLP28,
Vitvi04g02114,0.713238185116801,1.05085825073372e-06,0.00338796700036551,4.34657156378871e-05,D7SP98,NP_196057.1,NAMT1,Nicotinate N-methyltransferase 1
Vitvi08g01617,0.713238185116801,1.05085825073372e-06,0.00338796700036551,4.34657156378871e-05,F6HKC0,NP_181224.1,XTH32,
Vitvi10g00984,0.713238185116801,1.05085825073372e-06,0.00338796700036551,4.34657156378871e-05,F6HLZ1,NP_173546.1,WAK5,Wall-associated receptor kinase 5
Vitvi02g01360,-0.713238185116801,1.05085825073373e-06,0.00338796700036554,4.34657156378871e-05,D7TVM5,NA,NA,
Vitvi12g04515,-0.713238185116801,1.05085825073373e-06,0.00338796700036554,4.34657156378871e-05,F6H907,NA,NA,
Vitvi12g04404,-0.713224436808306,1.05158989446501e-06,0.00339032581975519,4.34657156378871e-05,F6H969,NP_191024.1,NA,
Vitvi18g04640,0.711270627754237,1.16045094671624e-06,0.00374129385221315,4.73581500280145e-05,F6I7C4,NP_001331726.1,LAZ5,Disease resistance protein LAZ5
Vitvi01g01038,0.709037994563675,1.29744768347651e-06,0.00418297133152828,5.22871416441035e-05,D7TN62,NP_564966.1,NAP,
Vitvi16g00901,0.708254164565209,1.34895834447137e-06,0.00434904170257571,5.29507340344482e-05,F6HAP8,NP_201024.1,CXE20,
Vitvi05g02234,0.707800676832578,1.37960969568661e-06,0.00444786165889365,5.29507340344482e-05,F6HYW5,NP_175437.1,NA,
Vitvi12g04543,0.707800676832578,1.37960969568661e-06,0.00444786165889365,5.29507340344482e-05,F6H943,NP_849538.2,NA,
Vitvi12g04545,0.707800676832578,1.37960969568661e-06,0.00444786165889365,5.29507340344482e-05,F6H943,NP_849538.2,NA,
Vitvi06g01618,0.707062962734838,1.43083923232173e-06,0.00461302568500526,5.30232837356939e-05,F6HKT4,NP_190964.2,NA,
Vitvi07g00283,0.707062962734838,1.43083923232173e-06,0.00461302568500526,5.30232837356939e-05,F6HPY4,NP_850479.1,GSTF8,
Vitvi03g00318,-0.707062962734838,1.43083923232176e-06,0.00461302568500537,5.30232837356939e-05,D7TQ27,NP_001077825.1,RL6,
Vitvi07g01267,-0.704684849121036,1.60809274047068e-06,0.00518449099527748,5.89146704008804e-05,F6I223,NP_179949.2,NA,
Vitvi02g00086,-0.702376916856849,1.79914609203237e-06,0.00580044700071236,6.44494111190272e-05,F6HUR4,NP_191473.2,ABCC10,
Vitvi12g01776,0.702376916856849,1.7991460920324e-06,0.00580044700071245,6.44494111190272e-05,F6HUQ3,NP_001330662.1,NA,
Vitvi01g04056,-0.701115533676863,1.91214561505384e-06,0.00616475746293357,6.63057507136115e-05,F6HFQ5,NA,NA,
Vitvi06g01410,-0.700887740352874,1.93323218581868e-06,0.00623274056707942,6.63057507136115e-05,A5C6X0,NP_568422.1,NA,
Vitvi01g04132,0.700887740352874,1.9332321858187e-06,0.00623274056707948,6.63057507136115e-05,NA,NA,NA,
Vitvi08g01897,0.700887740352874,1.9332321858187e-06,0.00623274056707948,6.63057507136115e-05,F6HKZ8,NP_196136.1,CEV1,
Vitvi01g01701,-0.699475810351158,2.06875644256892e-06,0.0066696707708422,7.02070607457073e-05,D7U5Y1,NP_680418.1,HSD1,
Vitvi05g00726,-0.697693386650656,2.25225754908549e-06,0.00726127833825162,7.48585395696043e-05,F6H8L7,NA,NA,
Vitvi19g01790,-0.697693386650656,2.25225754908549e-06,0.00726127833825162,7.48585395696043e-05,E0CSJ0,NP_001190374.1,TPS21,
Vitvi17g00936,0.695506609407448,2.49770503451919e-06,0.00805260103128987,8.21693982784681e-05,D7SHH0,NP_851160.1,WR3,
Vitvi04g00017,0.69471251797091,2.59273082141355e-06,0.00835896416823729,8.2762021467696e-05,F6H364,NP_197965.1,NA,
Vitvi04g04029,0.69471251797091,2.59273082141355e-06,0.00835896416823729,8.2762021467696e-05,F6H377,NP_197965.1,NA,
Vitvi09g01646,0.69471251797091,2.59273082141355e-06,0.00835896416823729,8.2762021467696e-05,F6HX97,NP_201107.2,NA,
Vitvi05g04494,0.691529396905392,3.0078044278422e-06,0.00969716147536324,9.41471987899344e-05,F6HTI6,NP_190255.1,NA,
Vitvi07g00890,0.691529396905392,3.0078044278422e-06,0.00969716147536324,9.41471987899344e-05,F6I002,NP_187360.1,RPM1,Disease resistance protein RPM1
Vitvi08g02288,0.690407587344343,3.1680016663268e-06,0.0102136373722376,9.7725319208064e-05,F6HKD9,NP_181216.1,NA,
Vitvi05g00108,0.689897685138033,3.24336512260014e-06,0.0104566091552628,9.7725319208064e-05,F6H732,NP_191801.1,BZIP53,bZIP transcription factor 53
Vitvi19g00270,0.689897685138033,3.24336512260014e-06,0.0104566091552628,9.7725319208064e-05,E0CSQ1,NP_567773.1,RD26,
Vitvi19g01484,0.689897685138033,3.24336512260014e-06,0.0104566091552628,9.7725319208064e-05,D7SX08,NP_175997.1,NAC1,
Vitvi03g04466,0.688537295588947,3.45252458433688e-06,0.0111309392599021,0.000101190356908201,F6HTK8,NP_172642.3,NA,
Vitvi05g01674,0.688537295588947,3.45252458433688e-06,0.0111309392599021,0.000101190356908201,D7T2L1,NP_198614.1,NA,
Vitvi13g01098,0.688537295588947,3.45252458433688e-06,0.0111309392599021,0.000101190356908201,F6HXN3,NP_001189794.1,NA,
Vitvi05g04487,-0.686348778737637,3.81502240835494e-06,0.0122996322445363,0.000110054580110441,D7U1T4,NP_190255.1,NA,
Vitvi01g01751,0.686105636929664,3.85737206962773e-06,0.0124361675524798,0.000110054580110441,F6HWQ0,NP_190723.1,FER,Receptor-like protein kinase FERONIA
Vitvi02g04135,0.686105636929664,3.85737206962773e-06,0.0124361675524798,0.000110054580110441,D7TGK7,NA,NA,
Vitvi12g04630,0.684531130470243,4.1421809807533e-06,0.0133543914819486,0.000117143784929374,F6HK09,NP_194339.1,RPS2,Disease resistance protein RPS2
Vitvi11g00075,0.682362073206983,4.56604657723525e-06,0.0147209341650065,0.000128008123173969,D7TCE8,NP_178651.1,RIPK,Serine_threonine-protein kinase RIPK
Vitvi12g00368,-0.681229347630755,4.80280991776773e-06,0.0154842591748832,0.000131155446250368,D7TE77,NP_198922.1,NA,
Vitvi01g00656,-0.680989779962774,4.8542991724966e-06,0.015650260532129,0.000131155446250368,D7SYR2,NP_189291.1,NA,
Vitvi02g04134,0.680681876953935,4.92121579230629e-06,0.0158659997143955,0.000131155446250368,F6HWU3,NP_195515.2,NA,
Vitvi07g02323,0.680681876953935,4.92121579230629e-06,0.0158659997143955,0.000131155446250368,F6GXW3,NP_001326349.1,CPK13,
Vitvi14g00438,0.680676474781128,4.92239733135686e-06,0.0158698089962945,0.000131155446250368,D7TUL5,NP_680687.2,NA,
Vitvi16g04448,-0.680676474781128,4.92239733135686e-06,0.0158698089962945,0.000131155446250368,F6HWE0,NP_200123.2,NA,
Vitvi00g04500,-0.67618685082502,5.99900909659352e-06,0.0193408053274175,0.000154726442619343,D7UDR1,NP_001321939.1,NA,
Vitvi01g00508,0.67618685082502,5.99900909659363e-06,0.0193408053274179,0.000154726442619343,D7T8J2,NP_172931.1,NA,
Vitvi05g00675,0.67618685082502,5.99900909659363e-06,0.0193408053274179,0.000154726442619343,F6HE22,NP_567692.2,CSLG2,Cellulose synthase-like protein G2
Vitvi07g00523,0.67618685082502,5.99900909659363e-06,0.0193408053274179,0.000154726442619343,F6HZF7,NP_192081.1,WRKY47,
Vitvi05g04062,0.675004170824618,6.31632119611018e-06,0.0203638195362592,0.000159092340127026,NA,NA,NA,
Vitvi08g01235,0.675004170824618,6.31632119611018e-06,0.0203638195362592,0.000159092340127026,F6HL84,NP_566685.1,LBO1,
Vitvi00g04006,-0.675004170824618,6.31632119611022e-06,0.0203638195362593,0.000159092340127026,F6I1Z6,NP_850852.1,ARIA,
Vitvi03g01258,-0.670011628443056,7.83176070412865e-06,0.0252495965101108,0.00018842982470232,D7TUE6,NP_001327038.1,NA,
Vitvi09g01698,-0.670011628443056,7.83176070412865e-06,0.0252495965101108,0.00018842982470232,F6HXM0,NP_188064.1,NA,
Vitvi04g01550,0.670011628443056,7.8317607041287e-06,0.0252495965101109,0.00018842982470232,D7U6N0,NP_566951.1,YLS2,
Vitvi04g01887,0.670011628443056,7.8317607041287e-06,0.0252495965101109,0.00018842982470232,NA,NP_850064.1,NA,
Vitvi08g00957,0.670011628443056,7.8317607041287e-06,0.0252495965101109,0.00018842982470232,D7TQU2,NP_180503.1,GSTU7,
Vitvi10g04282,0.670011628443056,7.8317607041287e-06,0.0252495965101109,0.00018842982470232,D7SSX1,NP_564772.1,TPS04,
Vitvi07g01407,0.669834357002478,7.89120547599315e-06,0.0254412464546019,0.000188453677441496,D7UDN6,NP_173048.3,NRAMP6,
Vitvi13g01616,-0.669331866868109,8.06194923971235e-06,0.0259917243488326,0.00018972061568491,F6HHY2,NP_188065.1,NA,
Vitvi18g02222,-0.669331866868109,8.06194923971235e-06,0.0259917243488326,0.00018972061568491,F6I3U9,NP_197270.1,NA,
Vitvi10g04276,-0.667971890266684,8.54109450068936e-06,0.0275364886702225,0.000199539772972627,NA,NA,NA,
Vitvi13g00004,-0.6638926726162,1.01381854377083e-05,0.0326855098511715,0.000227515902621723,D7T4T9,NP_568463.1,CYP714A1,
Vitvi00g04005,0.663836406061092,1.01620006133771e-05,0.0327622899775279,0.000227515902621723,F6I1Z5,NP_174429.1,NA,
Vitvi00g04728,0.663836406061092,1.01620006133771e-05,0.0327622899775279,0.000227515902621723,F6HM24,NP_180936.1,EMB3113,
Vitvi10g04464,0.663836406061092,1.01620006133771e-05,0.0327622899775279,0.000227515902621723,F6HLW5,NP_001324371.1,ABCC2,
Vitvi12g04518,0.663836406061092,1.01620006133771e-05,0.0327622899775279,0.000227515902621723,F6H8W7,NP_188065.1,NA,
Vitvi14g04416,-0.663836406061092,1.01620006133772e-05,0.0327622899775281,0.000227515902621723,D7TT02,NP_197952.2,NA,
Vitvi18g02837,0.661853063790958,1.10347350043172e-05,0.0355759856539188,0.00024535162519944,F6H0A5,NP_001321447.1,NA,
Vitvi10g00562,-0.660508884324796,1.16644458253713e-05,0.0376061733409972,0.000257576529732858,F6HM83,NP_193591.2,NA,
Vitvi13g01608,0.65798725895509,1.29347424789738e-05,0.0417016097522115,0.000274414482590708,F6HHY9,NP_188065.1,NA,
Vitvi03g00692,-0.65798725895509,1.29347424789739e-05,0.0417016097522118,0.000274414482590708,F6H688,NP_001319134.1,scpl18,
Vitvi08g01333,-0.657716034919617,1.30786151670413e-05,0.042165455298541,0.000274414482590708,F6HKW9,NP_190982.1,PTR1,
Vitvi02g04106,0.657661183679129,1.31078878160574e-05,0.0422598303189691,0.000274414482590708,D7UA37,NA,NA,
Vitvi07g01719,-0.657661183679129,1.31078878160574e-05,0.0422598303189691,0.000274414482590708,F6H4I3,NP_201516.1,NA,
Vitvi07g01829,0.657661183679129,1.31078878160574e-05,0.0422598303189691,0.000274414482590708,D7SW53,NP_565524.1,SEP2,"Stress enhanced protein 2, chloroplastic"
Vitvi08g00795,0.657661183679129,1.31078878160574e-05,0.0422598303189691,0.000274414482590708,A5BT51,NP_195977.2,IREG2,
Vitvi12g01882,-0.657661183679129,1.31078878160574e-05,0.0422598303189691,0.000274414482590708,D7SZW4,NP_172255.1,NA,
Vitvi12g02633,-0.653563077075292,1.54713115867318e-05,0.0498795085556233,0.000321803281004021,F6H969,NP_191024.1,NA,
Vitvi11g00286,-0.874344762938948,3.25230629616806e-12,1.04854354988458e-08,1.33480103427869e-09,D7TBI4,NP_001324373.1,NA,
Vitvi01g02242,0.796837019063017,6.09467731187234e-09,1.96492396534764e-05,6.77559988050911e-07,F6HG81,NP_568791.1,NA,
Vitvi19g01610,0.823537842612335,6.9246178663626e-10,2.2324968001153e-06,1.01477127277968e-07,F6H4R5,NP_188065.1,NA,
Vitvi19g00476,0.794580836444235,7.2167837410802e-09,2.32669107812426e-05,7.75563692708085e-07,F6HEN6,NP_194432.1,NA,
Vitvi19g04572,0.820952166497382,8.68114223842157e-10,2.79880025766711e-06,1.21686967724657e-07,NA,NA,NA,
Vitvi03g01809,-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09,D7TU64,NA,NA,
Vitvi04g04010,-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09,F6H367,NP_197965.1,NA,
Vitvi07g01315,-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09,F6H7R9,NP_201491.1,NA,
Vitvi09g00419,-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09,D7U0N8,NP_001323155.1,RPS5,Disease resistance protein
Vitvi09g04280,-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09,F6HS81,NP_188064.1,NA,
Vitvi12g04108,-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09,F6GT73,NA,NA,
Vitvi12g04463,-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09,F6H8Z2,NA,NA,
Vitvi12g04598,-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09,F6HK19,NP_001328297.1,NA,
Vitvi12g04607,-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09,D7TGN6,NP_194339.1,RPS2,Disease resistance protein
Vitvi13g01638,-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09,F6HHW4,NP_188065.1,NA,
Vitvi13g01984,-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09,D7TLS8,NP_200255.5,CLUB,
Vitvi19g01720,-0.866359712001401,8.69442361037601e-12,2.80308217198523e-08,1.33480103427869e-09,F6H7Z8,NA,NA,
Vitvi04g04011,0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09,F6H368,NP_197965.1,NA,
Vitvi06g04121,0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09,NA,NA,NA,
Vitvi12g02011,0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09,F6H115,NP_188065.1,NA,
Vitvi12g04498,0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09,F6H928,NP_188065.1,NA,
Vitvi13g04706,0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09,F6HBD8,NA,NA,
Vitvi18g00191,0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09,E0CQY3,NP_195643.1,CAD9,Probable cinnamyl alcohol dehydrogenase 9
Vitvi19g00709,0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09,D7UAK0,NP_180566.1,NA,
Vitvi19g01612,0.866359712001401,8.69442361037607e-12,2.80308217198525e-08,1.33480103427869e-09,D7SWS2,NP_187439.1,NA,
Vitvi02g01355,-0.819760771205674,9.62256253728296e-10,3.10231416202003e-06,1.29263090084168e-07,F6HU47,NP_194130.3,CSLG3,Cellulose synthase-like protein G3
Vitvi12g01921,0.789157076468506,1.07431838963728e-08,3.46360248819058e-05,1.11729112522277e-06,F6H8W7,NP_188065.1,NA,
Vitvi00g04634,0.816811769737353,1.23759826433005e-09,3.99001680420009e-06,1.53462184776927e-07,F6I6S6,NP_179356.1,NA,
Vitvi04g01325,0.816811769737353,1.23759826433005e-09,3.99001680420009e-06,1.53462184776927e-07,D7SPB1,NP_175159.1,GAMMANACA2,
Vitvi18g00473,-0.783394258152665,1.61926462779259e-08,5.2205091600033e-05,1.63140911250103e-06,F6H0Z0,NP_196153.1,PRX52,
Vitvi11g01637,-0.811139465780844,1.98345837029642e-09,6.39466978583566e-06,2.33805623889937e-07,D7SQG3,NP_001328414.1,NA,
Vitvi09g00867,0.810852116371421,2.03056993452799e-09,6.54655746891825e-06,2.33805623889937e-07,F6HS81,NP_188065.1,NA,
Vitvi17g01373,0.777105642041788,2.49883482017834e-08,8.05624346025497e-05,2.44128589704696e-06,D7SJ71,NP_188065.1,NA,
Vitvi18g04551,-0.775445421235822,2.79559952748279e-08,9.01301287660451e-05,2.6508861401778e-06,F6H8Z5,NP_192938.1,NA,
