"record_type","file","sheet","rows","columns","description","methods_and_interpretation"
"sheet","original_supplementary_table_4.xlsx","Up in all","62","12","Genes upregulated in all three resistant genotypes according to the table's historical DEG calls.","Upregulation is based on log2 fold-change direction and the historical FDR/effect thresholds."
"sheet","original_supplementary_table_4.xlsx","Down in all","123","12","Genes downregulated in all three resistant genotypes according to the table's historical DEG calls.","Downregulation is based on log2 fold-change direction and the historical FDR/effect thresholds."
"file","AlfaFold2_Colab_PPIs.xlsx","(workbook)","","","AlphaFold2-Multimer/ColabFold protein-interaction and domain-analysis workbook.","A total of 1,645 protein pairs were screened. High-confidence/interface-compatible interpretation uses ipTM >= 0.70, mean pLDDT >= 50, at least five interface contacts, and contact-filtered interface PAE/iPAE < 10 Å where indicated by the manuscript."
"sheet","AlfaFold2_Colab_PPIs.xlsx","AlphaFold_ColabFold","61","21","Predicted protein pairs and structural-quality metrics, including identifiers, transcriptional patterns, homology, interface interpretation, ipTM, pTM, mean pLDDT, interface iPAE/PAE, contact fraction, and interface-contact count.","ColabFold AlphaFold2-Multimer v3 screen; structural metrics were used to classify interface compatibility. The workbook includes positive/negative or screening interpretation fields."
"sheet","AlfaFold2_Colab_PPIs.xlsx","Domain_architecture","158","20","HMMER/Pfam domain annotations for proteins represented in the predicted interaction set.","HMMER v3.3.2 hmmscan against Pfam-A; rows contain protein identifiers, domain names/accessions, E-values, sequence coordinates, and domain-number estimates."
"sheet","AlfaFold2_Colab_PPIs.xlsx","domain_summary","5","5","Summary of domain categories, domain-type counts, proportions, and proteins carrying the domains.","Aggregated from the Pfam/HMMER domain architecture results; categories include LRR, kinase, and EDS1-family domains."
"sheet","AlfaFold2_Colab_PPIs.xlsx","all_tested_PPIs","325","17","All tested protein-pair partners organized by query hub/protein, including Arabidopsis homolog labels.","This sheet documents the screened candidate space and complements the 61-row interaction-results sheet."
"file","26169genes_with_AthalHomologs_allIDs_exprPatterns_TAIR10ids.csv","(tab-delimited table)","26169","12","Gene annotation and identifier crosswalk for all 26,169 retained PN40024 v4 genes.","Despite the .csv extension, this file is tab-delimited. Columns include PN40024/Ensembl gene ID, UniProt, NCBI assembly ID, chromosome coordinates, transcriptional pattern, Arabidopsis/TAIR10 homolog identifiers, homology score, common name, and locus tag. Homology was assigned using BLASTP against Arabidopsis proteins (manuscript threshold e-value < 1e-6)."
"file","Rlogs_ComBat_condition_protected_26169genes_36samples.xlsx","(workbook)","26169","37","Requested protected rlog expression matrix: 26,169 genes plus 36 sample columns.","Sheet uses DESeq2 rlog values followed by ComBat with genotype-by-time condition included in the ComBat model (condition protected). The matrix is intended for correlation/network analysis and visualization."
"sheet","Rlogs_ComBat_condition_protected_26169genes_36samples.xlsx","rlog_condition_protected","26169","37","Condition-protected rlog matrix; first column geneID and remaining columns are the 36 biological samples.","Sample names encode genotype, time (0/6/24 hpi), and replicate (A/B/C), e.g. Rpv12.6.A."
"file","SizeFactor_log2_ComBat_condition_protected_26169genes_36samples.xlsx","(workbook)","26169","37","Requested protected size-factor expression matrix: 26,169 genes plus 36 sample columns.","Raw counts were DESeq2 size-factor normalized, transformed as log2(normalized count + 1), and ComBat-corrected with genotype-by-time condition included in the ComBat model (condition protected). This preserves amplitude more directly than rlog for divergence/amplitude analyses."
"sheet","SizeFactor_log2_ComBat_condition_protected_26169genes_36samples.xlsx","sizefactor_log2_protected","26169","37","Condition-protected size-factor/log2 matrix; first column geneID and remaining columns are the 36 biological samples.","Sample names encode genotype, time (0/6/24 hpi), and replicate (A/B/C), e.g. Rpv12.6.A."
"provenance","condition_protected_matrix_export_summary.csv","(summary)","2","6","Machine-readable summary of the two generated matrix workbooks, sheets, dimensions, and first/last gene IDs.","Generated during matrix export."
"provenance","condition_protected_matrix_export_sessionInfo.txt","(session information)","text","","","Records R/package versions and the maximum difference from the historical unprotected size-factor matrix."
