"record_type","sheet_or_field","rows","columns","data_type_or_values","description","method_or_interpretation"
"column_family","<genotype>.<time>h.FDR","","","numeric in [0,1] or blank","Benjamini-Hochberg-adjusted p-value for the corresponding historical differential-expression comparison.","Historical DEG calls required FDR < 0.05 and absolute log2 fold change > 1."
"column","geneID / blank first header","","","character","PN40024 v4 gene identifier in the two normalized-expression sheets.","The first column of SizeFactor_Combat_ConditionUnpr is unlabeled in the workbook but contains gene IDs."
"column_family","<genotype>.<time>.<replicate>","","","numeric; 36 columns","Normalized expression value for one biological sample.","Genotype is Rpv12, Rpv12.1, Rpv12.1.3, or Susceptible; time is 0, 6, or 24 hpi; replicate is A, B, or C."
"column","RPV12","","","three-character code using U, D, E","Time-resolved state for Rpv12 at 0, 6, and 24 hpi, in that order.","U = upregulated, D = downregulated, E = equivalent to susceptible under the DEG thresholds."
"column","RPV12-RPV1","","","three-character code using U, D, E","Time-resolved state for Rpv12+Rpv1 at 0, 6, and 24 hpi.","Interpretation of U, D, and E is the same across genotype pattern columns."
"column","RPV12-RPV1-RPV3","","","three-character code using U, D, E","Time-resolved state for Rpv12+Rpv1+Rpv3 at 0, 6, and 24 hpi.","Interpretation of U, D, and E is the same across genotype pattern columns."
"column_family","sheet-specific first and repeated category columns","","","character or blank","Human-readable temporal category or group annotation; some group sheets repeat a similarly named annotation column.","Categories include Initial Expression Variation, Early Response, Transient Response to Stress, Late Response, Sustained Change, and Complex Pattern."
"column","T2T.NCBI.ID","","","character or blank","Legacy or alternate Vitis gene identifier used for cross-reference.","Identifier mapping was assembled from reference resources and sequence similarity."
"column","NCBI.ref.genome.ASM3070453v1.full.ID","","","character or blank","Full matched identifier from the NCBI Vitis reference assembly GCA_030704535.1 / ASM3070453v1.","Derived by sequence/reference cross-mapping."
"column","BlastP.seq.homology","","","numeric percent or blank","Amino-acid sequence identity or homology percentage for the selected BLASTP match.","BLASTP v2.12.0+ was used for annotation cross-referencing."
"column","BlastP.evalue","","","numeric or blank","BLASTP expectation value for the selected sequence match.","Smaller values indicate stronger sequence similarity."
"column","NCBI.ref.genome.ASM3070453v1.gene","","","character or blank","Gene name or symbol from the matched NCBI reference record.","Functional cross-reference field."
"column","NCBI.ref.genome.ASM3070453v1.proteinID","","","character or blank","NCBI protein accession from the matched reference record.","Functional cross-reference field."
"column","protein","","","character or blank","Protein name or functional description assigned to the gene.","Compiled from matched annotation resources."
"column","string-db / String-db","","","character, logical, or blank","Optional STRING-db annotation or marker retained in some group sheets.","Capitalization varies by worksheet."
"column","cite","","","character or blank","Optional citation or note associated with a complex-pattern gene.","Present only in Group VI."
"code","IEV","","","UEE, UUE, DEE, or DDE","Initial Expression Variation: change at 0 hpi, or at 0 and 6 hpi.","Positions correspond to 0, 6, and 24 hpi."
"code","ER","","","EUU or EDD","Early Response: change at 6 and 24 hpi.","Positions correspond to 0, 6, and 24 hpi."
"code","TRS","","","EUE or EDE","Transient Response to Stress: change only at 6 hpi.","Positions correspond to 0, 6, and 24 hpi."
"code","LR","","","EEU or EED","Late Response: change only at 24 hpi.","Positions correspond to 0, 6, and 24 hpi."
"code","SCh","","","UUU or DDD","Sustained Change: change at all three time points.","Positions correspond to 0, 6, and 24 hpi."
"code","CP","","","other mixed three-character patterns","Complex Pattern not assigned to IEV, ER, TRS, LR, or SCh.","Used for patterns with mixed direction or other timing combinations."
