PN40024_genotype_ENSMBL_ID	UniProt	GCA_030704535.1_NCBI_ID	Chromosome	Start	End	Transcription_pattern	Athaliana_TAIR10_homolog	homology	TAIR10	Athal.common.NAme	locus_tag
Vitvi00g04006	F6I1Z6	VIT_00s0169g00090	Un	246409	257422	EUU EEE UUE	NP_850852.1 ARM repeat protein interacting with ABF2 [Arabidopsis thaliana]	59.615	NP_850852.1	ARIA	AT5G19330
Vitvi00g04007	F6I7H2	VIT_00s0360g00020	Un	543692	548541	EEE EEE EEE	NP_001326840.1 phosphoserine aminotransferase, putative (DUF760) [Arabidopsis thaliana]	58.367	NP_001326840.1		AT3G07310
Vitvi00g04011	F6HWS7	VIT_00s0362g00010	Un	596744	598617	EEE EEE EEE	NP_001319925.1 DNAJ-like 20 [Arabidopsis thaliana]	51.485	NP_001319925.1	J20	AT4G13830
Vitvi00g04017			Un	690583	692026	EEE EDE EDE	a match not found in blastP with e-value<0.000001				
Vitvi00g04018	F6HCU2	VIT_00s0222g00100	Un	693493	698828	EEE EEE EEE	NP_188064.1 LRR and NB-ARC domains-containing disease resistance protein [Arabidopsis thaliana]	28.947	NP_188064.1		AT3G14460
Vitvi00g04019	F6HWM8	VIT_07s0141g01030	Un	701319	704183	EEE EEE EEE	NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]	41.552	NP_188065.1		AT3G14470
Vitvi00g04022	D7TS35	VIT_00s2710g00010	Un	745100	747495	EEE EDE EDE	a match not found in blastP with e-value<0.000001				
Vitvi00g04023	F6I7E5	VIT_00s0276g00080	Un	747947	748710	EEE EEE EEE	NP_188064.1 LRR and NB-ARC domains-containing disease resistance protein [Arabidopsis thaliana]	34.759	NP_188064.1		AT3G14460
Vitvi00g04024	F6HCU2	VIT_00s0222g00100	Un	748996	750710	EEE EEE EDE	NP_188064.1 LRR and NB-ARC domains-containing disease resistance protein [Arabidopsis thaliana]	30.46	NP_188064.1		AT3G14460
Vitvi00g04025	D7TYR6	VIT_07s0141g01020	Un	750876	754224	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi00g04030	F6HCU2	VIT_00s0222g00100	Un	826862	829821	EEE EEE EDE	NP_188064.1 LRR and NB-ARC domains-containing disease resistance protein [Arabidopsis thaliana]	25.077	NP_188064.1		AT3G14460
Vitvi00g04032	F6I2A4	VIT_00s0378g00010	Un	834597	836165	EEE EEE EEE	NP_188064.1 LRR and NB-ARC domains-containing disease resistance protein [Arabidopsis thaliana]	33.038	NP_188064.1		AT3G14460
Vitvi00g04033	F6HWM8	VIT_07s0141g01030	Un	836355	839144	EEE EEE EEE	NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]	41.977	NP_188065.1		AT3G14470
Vitvi00g04035	D7TYR6	VIT_07s0141g01020	Un	879230	880116	EEE EEE EDE	a match not found in blastP with e-value<0.000001				
Vitvi00g04036	F6I2A5	VIT_00s0378g00020	Un	880999	881762	EEE EEE EEE	NP_188064.1 LRR and NB-ARC domains-containing disease resistance protein [Arabidopsis thaliana]	34.759	NP_188064.1		AT3G14460
Vitvi00g04037	F6HCU2	VIT_00s0222g00100	Un	882048	883765	EEE EDE EDE	NP_188064.1 LRR and NB-ARC domains-containing disease resistance protein [Arabidopsis thaliana]	28.947	NP_188064.1		AT3G14460
Vitvi00g04038	F6GYT4	VIT_18s0117g00190	Un	1089517	1090964	EEE EEE EEE	NP_173550.1 Copia-like polyprotein/retrotransposon [Arabidopsis thaliana]	30.435	NP_173550.1		AT1G21280
Vitvi00g04039	D7U790	VIT_16s0013g01050	Un	1097064	1098625	EEE EEE EEE	NP_567529.1 ethylene responsive element binding factor 6 [Arabidopsis thaliana]	38.824	NP_567529.1	ERF6	AT4G17490
Vitvi00g04040	D7SLX8	VIT_15s0021g01660	Un	1112012	1120661	EEE EEE EDE	NP_001327363.1 H[+]-ATPase 7 [Arabidopsis thaliana]	72.842	NP_001327363.1	HA7	AT3G60330
Vitvi00g04041	D7TBD8	VIT_11s0016g02860	Un	1125877	1130355	EEE EEE EEE	NP_568680.1 nudix hydrolase homolog 8 [Arabidopsis thaliana]	60.969	NP_568680.1	NUDT8	AT5G47240
Vitvi00g04042	D7TBX5	VIT_11s0016g04860	Un	1141118	1153204	EEE EEE EEE	NP_199542.1 PPPDE putative thiol peptidase family protein [Arabidopsis thaliana]	65.217	NP_199542.1		AT5G47310
Vitvi00g04043	F6HAL6	VIT_16s0022g01660	Un	1153730	1153981	EEE EEE EEE	NP_001154349.1 Serine/Threonine kiNAse family catalytic domain protein [Arabidopsis thaliana]	38.095	NP_001154349.1		AT1G18390
Vitvi00g04044	F6H7F1	VIT_16s0098g00120	Un	1153774	1156341	EEE EEE EEE	NP_200123.2 RING/U-box superfamily protein [Arabidopsis thaliana]	31.013	NP_200123.2		AT5G53110
Vitvi00g04045	F6HUB8	VIT_02s0025g03330	Un	1157225	1165925	EEE EEE EEE	NP_201073.1 H[+]-ATPase 11 [Arabidopsis thaliana]	70.011	NP_201073.1	HA11	AT5G62670
Vitvi00g04046	D7T5R6	VIT_02s0488g00030	Un	1179232	1180218	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi00g04047	D7SYZ7	VIT_00s0341g00030	Un	1219059	1228063	EEE EEE EEE	NP_199553.2 Tryptophan RNA-binding attenuator protein-like protein [Arabidopsis thaliana]	76.95	NP_199553.2		AT5G47420
Vitvi00g04048	F6H852	VIT_00s0341g00050	Un	1248236	1254287	EEE EEE EEE	NP_199551.2 sphingomyelin phosphodiesterase [Arabidopsis thaliana]	57.716	NP_199551.2		AT5G47400
Vitvi00g04049	F6HJT5	VIT_00s0632g00010	Un	1273078	1273782	EEE EEE EEE	NP_182021.1 Integrase-type DNA-binding superfamily protein [Arabidopsis thaliana]	41.525	NP_182021.1		AT2G44940
Vitvi00g04051	D7SYZ7	VIT_00s0341g00030	Un	1300626	1301057	EEE EEE EEE	NP_199553.2 Tryptophan RNA-binding attenuator protein-like protein [Arabidopsis thaliana]	82.353	NP_199553.2		AT5G47420
Vitvi00g04052	D7SLG1	VIT_06s0004g00930	Un	1313167	1314493	EEE EEE EEE	NP_189783.2 RNA-binding KH domain-containing protein [Arabidopsis thaliana]	54.348	NP_189783.2		AT3G32940
Vitvi00g04053	F6HCZ5	VIT_00s0173g00040	Un	1402684	1418389	EEE EEE EEE	NP_001322022.1 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana]	66.997	NP_001322022.1	CTF18	AT1G04730
Vitvi00g04059	F6HD00	VIT_00s0173g00130	Un	1487895	1490041	EEE EEE EEE	NP_172244.2 Leucine-rich repeat transmembrane protein kiNAse [Arabidopsis thaliana]	43.046	NP_172244.2		AT1G07650
Vitvi00g04060	F6HJL4	VIT_00s0208g00040	Un	1530204	1530647	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi00g04063	F6HD05	VIT_00s0173g00220	Un	1599093	1600258	EEE EEE EEE	NP_001321151.1 mediator of RNA polymerase II transcription subunit 15a-like protein [Arabidopsis thaliana]	67.742	NP_001321151.1	NRB4	AT1G15780
Vitvi00g04066	F6HJL4	VIT_00s0208g00040	Un	1644091	1644447	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi00g04067	D7T5L5	VIT_00s0173g00240	Un	1687260	1689774	EEE EEE EEE	NP_001190114.1 binding protein [Arabidopsis thaliana]	51.923	NP_001190114.1		AT3G57060
Vitvi00g04068	F6HD01	VIT_00s0173g00140	Un	1690764	1691150	EEE EEE EEE	NP_001190114.1 binding protein [Arabidopsis thaliana]	43.478	NP_001190114.1		AT3G57060
Vitvi00g04069	D7U8C1	VIT_09s0070g00850	Un	1691768	1692686	EEE EEE EEE	NP_175747.2 Leucine-rich repeat transmembrane protein kiNAse [Arabidopsis thaliana]	54.167	NP_175747.2		AT1G53420
Vitvi00g04070	F6HD08	VIT_00s0173g00260	Un	1692741	1697682	EEE EEE EEE	NP_850852.1 ARM repeat protein interacting with ABF2 [Arabidopsis thaliana]	66.0	NP_850852.1	ARIA	AT5G19330
Vitvi00g04076	F6HWP6	VIT_00s0183g00240	Un	1765534	1766578	EEE EEE EEE	NP_563801.1 GTP binding Elongation factor Tu family protein [Arabidopsis thaliana]	51.701	NP_563801.1		AT1G07940
Vitvi00g04079	D7TYS8	VIT_00s0183g00220	Un	1787212	1787478	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi00g04081	F6HWN5	VIT_00s0183g00040	Un	1793748	1794819	EEE EEE EEE	NP_850524.1 importin alpha isoform 1 [Arabidopsis thaliana]	78.832	NP_850524.1	IMPA-1	AT3G06720
Vitvi00g04091	F6HWN5	VIT_00s0183g00040	Un	2012641	2013629	EEE EEE EEE	NP_850524.1 importin alpha isoform 1 [Arabidopsis thaliana]	78.832	NP_850524.1	IMPA-1	AT3G06720
Vitvi00g04102	F6HRF3	VIT_19s0140g00040	Un	2190560	2198591	EEE EEE EEE	NP_188102.5 Leucine-rich repeat transmembrane protein kiNAse [Arabidopsis thaliana]	36.923	NP_188102.5		AT3G14840
Vitvi00g04103	F6I249	VIT_00s0198g00120	Un	2206000	2206841	EEE EEE EEE	NP_173030.1 mediator of RNA polymerase II transcription subunit 15a-like protein [Arabidopsis thaliana]	58.065	NP_173030.1	NRB4	AT1G15780
Vitvi00g04104	F6HD05	VIT_00s0173g00220	Un	2206876	2207159	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi00g04106	F6HSZ7	VIT_02s0012g03180	Un	2212404	2212709	EEE EEE EEE	NP_190446.1 ATP/DNA binding protein [Arabidopsis thaliana]	50.877	NP_190446.1		AT3G48770
Vitvi00g04107	F6GZ42	VIT_16s0039g00180	Un	2212936	2213541	EEE EEE EEE	NP_172737.2 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana]	36.842	NP_172737.2	EMB1586	AT1G12770
Vitvi00g04108	F6GVI6	VIT_10s0116g01190	Un	2253034	2254648	EEE EEE EEE	NP_564728.3 binding protein [Arabidopsis thaliana]	54.167	NP_564728.3		AT1G58230
Vitvi00g04112	Q0ZJ22	rps14	Un	2290250	2290552	EEE EEE EEE	NP_051057.1 ribosomal protein S14 (chloroplast) [Arabidopsis thaliana]	88.0	NP_051057.1	rps14	
Vitvi00g04116	D7SSQ8	VIT_16s0039g00410	Un	2299053	2307967	EEE EEE EEE	NP_181313.3 NAD(P)-linked oxidoreductase superfamily protein [Arabidopsis thaliana]	59.184	NP_181313.3	ChlAKR	AT2G37770
Vitvi00g04122	F6H269	VIT_19s0014g03200	Un	2370172	2372614	EEE EEE EEE	NP_194473.1 COP1-interacting protein 7 [Arabidopsis thaliana]	29.379	NP_194473.1	CIP7	AT4G27430
Vitvi00g04123	D7UDU6	VIT_00s0188g00210	Un	2388510	2393310	EEE EEE EEE	NP_193014.5 Chaperone DNAJ-domain superfamily protein [Arabidopsis thaliana]	62.252	NP_193014.5		AT4G12780
Vitvi00g04130	F6I7E0	VIT_00s0380g00020	Un	2488619	2491765	EEE EEE EEE	NP_175713.1 Protein kiNAse superfamily protein [Arabidopsis thaliana]	75.51	NP_175713.1		AT1G53050
Vitvi00g04131	F6HA04	VIT_06s0009g01520	Un	2544598	2544948	EEE EEE EEE	NP_001321101.1 plant viral-response family protein [Arabidopsis thaliana]	69.643	NP_001321101.1		AT1G32127
Vitvi00g04133	F6I1V2	VIT_17s0000g00050	Un	2612514	2613605	EEE EEE EEE	NP_001328159.1 transmembrane protein (DUF616) [Arabidopsis thaliana]	36.607	NP_001328159.1		AT4G09630
Vitvi00g04134	D7U684	VIT_17s0000g00100	Un	2618610	2619083	EEE EEE EEE	NP_199046.1 Pentatricopeptide repeat (PPR-like) superfamily protein [Arabidopsis thaliana]	61.194	NP_199046.1		AT5G42310
Vitvi00g04140	F6HJQ3	VIT_00s0309g00020	Un	2809454	2831645	EEE EEE EEE	NP_181061.1 SU(VAR)3-9 homolog 5 [Arabidopsis thaliana]	63.687	NP_181061.1	SUVH5	AT2G35160
Vitvi00g04143	F6H7Z5	VIT_00s0287g00040	Un	2843086	2851651	EEE EEE EEE	NP_001190754.1 GATA transcription factor 26 [Arabidopsis thaliana]	54.962	NP_001190754.1	GATA26	AT4G17570
Vitvi00g04144	F6H7Z6	VIT_00s0287g00050	Un	2868848	2877123	EEE EEE EEE	NP_567520.1 transcription factor IIIB [Arabidopsis thaliana]	64.062	NP_567520.1		AT4G17010
Vitvi00g04145	F6I7Q1	VIT_00s1665g00010	Un	2878604	2882689	EEE EEE EEE	NP_199523.1 BAX inhibitor 1 [Arabidopsis thaliana]	75.403	NP_199523.1	BI1	AT5G47120
Vitvi00g04146	E0CW13	VIT_00s0287g00080	Un	2893451	2898309	EEE EEE EEE	NP_851144.1 Plant VAMP (vesicle-associated membrane protein) family protein [Arabidopsis thaliana]	65.888	NP_851144.1		AT5G47180
Vitvi00g04147	F6I2C7	VIT_00s0616g00030	Un	2936019	2945218	EEE EEE EEE	NP_193430.3 Protein kiNAse superfamily protein [Arabidopsis thaliana]	53.646	NP_193430.3		AT4G16970
Vitvi00g04151	F6HJL2	VIT_00s0208g00020	Un	3047043	3048325	EEE EEE EEE	NP_199111.1 Proteasome component (PCI) domain protein [Arabidopsis thaliana]	79.375	NP_199111.1	COP8	AT5G42970
Vitvi00g04164	D7TG32	VIT_00s0208g00110	Un	3179335	3183928	EEE EEE EEE	NP_566800.1 auxin sigNAling F-box 2 [Arabidopsis thaliana]	66.038	NP_566800.1	AFB2	AT3G26810
Vitvi00g04168	F6I6Z6	VIT_00s0120g00060	Un	3266228	3277096	EEE EEE EEE	NP_001322022.1 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana]	73.399	NP_001322022.1	CTF18	AT1G04730
Vitvi00g04169	F6HT04	VIT_02s0012g03090	Un	3292526	3294715	EEE EEE EEE	NP_171966.2 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana]	49.686	NP_171966.2	CTF18	AT1G04730
Vitvi00g04182	B6VJS6	matR	Un	3690077	3692038	EEE EEE EEE	NP_085512.1 maturase, partial (mitochondrion) [Arabidopsis thaliana]	89.275	NP_085512.1	matR	
Vitvi00g04188	Q0ZJ08	cemA	Un	3705749	3706438	EEE EEE EEE	NP_051071.1 envelope membrane protein (chloroplast) [Arabidopsis thaliana]	81.223	NP_051071.1	cemA	
Vitvi00g04190	Q0ZJ11	accD	Un	3709124	3709834	EEE EEE EEE	NP_051068.1 acetyl-CoA carboxylase beta subunit (chloroplast) [Arabidopsis thaliana]	87.446	NP_051068.1	accD	
Vitvi00g04199			Un	3721535	3723324	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi00g04213			Un	3761719	3767048	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi00g04231	F6I7B2	VIT_00s0266g00090	Un	3876717	3878750	EEE EEE EEE	NP_001154440.1 ATP binding / protein kiNAse [Arabidopsis thaliana]	40.299	NP_001154440.1		AT1G61475
Vitvi00g04233	F6H870	VIT_00s0372g00070	Un	3925354	3926679	EEE EEE EEE	NP_176361.2 terpene synthase 14 [Arabidopsis thaliana]	40.864	NP_176361.2	TPS14	AT1G61680
Vitvi00g04234	F6I7A8	VIT_00s0266g00030	Un	3966010	3976330	EEE EEE EEE	NP_001320418.1 S-locus lectin protein kiNAse family protein [Arabidopsis thaliana]	75.758	NP_001320418.1		AT1G11410
Vitvi00g04236	F6I7A6	VIT_00s0266g00010	Un	3996303	3999208	EEE EDE EDE	NP_176361.2 terpene synthase 14 [Arabidopsis thaliana]	42.075	NP_176361.2	TPS14	AT1G61680
Vitvi00g04242	D7TGC8	VIT_00s0769g00010	Un	4097481	4103309	EEE EEE EEE	NP_199668.1 FKBP-type peptidyl-prolyl cis-trans isomerase family protein [Arabidopsis thaliana]	79.428	NP_199668.1		AT5G48570
Vitvi00g04243	F6GZQ1	VIT_18s0001g13430	Un	4111064	4117929	EEE EEE EEE	NP_176393.1 Coatomer, alpha subunit [Arabidopsis thaliana]	85.726	NP_176393.1		AT1G62020
Vitvi00g04245	A5BD13	VIT_10s0003g02650	Un	4132216	4138651	EEE EEE EEE	NP_193544.1 Ribosomal protein L32e [Arabidopsis thaliana]	82.707	NP_193544.1		AT4G18100
Vitvi00g04247	F6H5X0	VIT_01s0113g00450	Un	4167117	4170910	EEE EEE EEE	NP_176883.5 midasin-like protein [Arabidopsis thaliana]	54.167	NP_176883.5		AT1G67120
Vitvi00g04248	F6HRQ7	VIT_00s0279g00070	Un	4179636	4180101	EEE EEE EEE	NP_194274.2 zinc finger WD40 repeat protein 1 [Arabidopsis thaliana]	42.754	NP_194274.2	ZFWD1	AT4G25440
Vitvi00g04249	D7TG56	VIT_00s0230g00030	Un	4226823	4228531	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi00g04250			Un	4229317	4231799	EDE EEE EDE	a match not found in blastP with e-value<0.000001				
Vitvi00g04251	F6GVI6	VIT_10s0116g01190	Un	4260203	4263709	EEE EEE EEE	NP_001322631.1 binding protein [Arabidopsis thaliana]	60.227	NP_001322631.1		AT1G58230
Vitvi00g04252	F6H829	VIT_00s0285g00060	Un	4266928	4277252	EEE EEE EEE	NP_567007.1 Peptidase M28 family protein [Arabidopsis thaliana]	57.219	NP_567007.1	AMP1	AT3G54720
Vitvi00g04262	F6HX73	VIT_09s0002g05660	Un	4712776	4714191	EEE EEE EEE	NP_178147.1 sulfate transmembrane transporter [Arabidopsis thaliana]	71.236	NP_178147.1	MOT2	AT1G80310
Vitvi00g04265	F6H6N2	VIT_16s0050g00380	Un	4745462	4746325	EEE EEE EEE	NP_568437.1 tubulin beta 8 [Arabidopsis thaliana]	94.815	NP_568437.1	TUB8	AT5G23860
Vitvi00g04266	F6HX77	VIT_09s0002g05730	Un	4753600	4754109	EEE EEE EEE	NP_175685.1 lysophospholipase 2 [Arabidopsis thaliana]	74.011	NP_175685.1	LysoPL2	AT1G52760
Vitvi00g04268	D7U0U1	VIT_09s0002g05720	Un	4755366	4757175	EEE EEE EEE	NP_001325190.1 ATPase, F0/V0 complex, subunit C protein [Arabidopsis thaliana]	94.495	NP_001325190.1		AT2G25610
Vitvi00g04273	D7T5V6	VIT_00s0742g00030	Un	4798704	4804716	EEE EEE EEE	NP_569004.1 Nucleotide-sugar transporter family protein [Arabidopsis thaliana]	78.344	NP_569004.1		AT5G65000
Vitvi00g04274	D7T5V5	VIT_00s0742g00020	Un	4805433	4807566	EED EEE EEE	NP_195698.1 Ribosomal protein L23/L15e family protein [Arabidopsis thaliana]	62.857	NP_195698.1		AT4G39880
Vitvi00g04275	F6HCY1	VIT_00s0665g00050	Un	4807161	4831400	EDD EDE EDE	NP_001330410.1 Phototropic-responsive NPH3 family protein [Arabidopsis thaliana]	59.016	NP_001330410.1	DOT3	AT5G10250
Vitvi00g04279	D7T5J3	VIT_00s0665g00040	Un	4832690	4835696	EEE EEE EEE	NP_196588.3 RAB GTPase homolog H1E [Arabidopsis thaliana]	92.271	NP_196588.3	RABH1e	AT5G10260
Vitvi00g04280	D7T5J2	VIT_00s0665g00030	Un	4837334	4841650	EEE EEE EEE	NP_568073.1 adenine deamiNAse [Arabidopsis thaliana]	44.048	NP_568073.1		AT4G39900
Vitvi00g04282	D7T5J0	VIT_00s0665g00020	Un	4844099	4846537	EEE EEE EEE	NP_201302.1 Mitochondrial substrate carrier family protein [Arabidopsis thaliana]	70.685	NP_201302.1		AT5G64970
Vitvi00g04283	F6H9Y5	VIT_06s0009g01800	Un	4847963	4857936	EEE EEE EEE	NP_196589.1 cyclin-dependent kiNAse C;1 [Arabidopsis thaliana]	76.255	NP_196589.1	CDKC;1	AT5G10270
Vitvi00g04284	F6HWM2	VIT_07s0141g00250	Un	4870952	4875805	EEE EEE EEE	NP_001325089.1 sigNAl responsive 1 [Arabidopsis thaliana]	40.948	NP_001325089.1	SR1	AT2G22300
Vitvi00g04286	F6HJR4	VIT_00s0787g00020	Un	5024180	5025885	EEE EEE EEE	NP_187864.1 heat shock protein 70 [Arabidopsis thaliana]	58.049	NP_187864.1	HSP70	AT3G12580
Vitvi00g04287	F6I2E6	VIT_00s1008g00010	Un	5026490	5032169	EEE EEE EEE	NP_564794.1 Octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein [Arabidopsis thaliana]	59.716	NP_564794.1	Phox2	AT1G62390
Vitvi00g04299			Un	5111897	5112067	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi00g04300			Un	5112115	5112309	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi00g04303	F6H896	VIT_00s0572g00020	Un	5126774	5128351	EEE EDE EEE	NP_176361.2 terpene synthase 14 [Arabidopsis thaliana]	42.363	NP_176361.2	TPS14	AT1G61680
Vitvi00g04304	F6H870	VIT_00s0372g00070	Un	5140848	5142429	EEE EDE EEE	NP_176361.2 terpene synthase 14 [Arabidopsis thaliana]	42.907	NP_176361.2	TPS14	AT1G61680
Vitvi00g04305	F6I7B0	VIT_00s0266g00070	Un	5173320	5177052	EEE EEE EEE	NP_001185286.1 terpene synthase 14 [Arabidopsis thaliana]	45.946	NP_001185286.1	TPS14	AT1G61680
Vitvi00g04310			Un	5622647	5622910	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi00g04313	F6GZL8	VIT_18s0001g08170	Un	5634107	5642412	EUU EUU EEE	NP_196527.1 pyrophosphorylase 6 [Arabidopsis thaliana]	83.936	NP_196527.1	PPa6	AT5G09650
Vitvi00g04314	F6GTY7	VIT_06s0004g03230	Un	5644292	5646081	EEE EEE EEE	NP_180348.2 Tetratricopeptide repeat (TPR)-like superfamily protein [Arabidopsis thaliana]	60.807	NP_180348.2		AT2G27800
Vitvi00g04315	D7SSI1	VIT_07s0205g00120	Un	5661265	5674388	EEE EEE EDE	NP_001324700.1 Major facilitator superfamily protein [Arabidopsis thaliana]	59.032	NP_001324700.1		AT2G22730
Vitvi00g04316	D7U5L7	VIT_00s0282g00040	Un	5677401	5683721	EEE EEE EEE	NP_201255.1 Major facilitator superfamily protein [Arabidopsis thaliana]	74.79	NP_201255.1		AT5G64500
Vitvi00g04324			Un	5697778	5709995	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi00g04336	F6H8E6	VIT_00s1764g00010	Un	5929802	5932343	EEE EEE EEE	NP_564804.1 ACC synthase 10 [Arabidopsis thaliana]	68.539	NP_564804.1	ACS10	AT1G62960
Vitvi00g04337	D7SZ79	VIT_00s1764g00020	Un	5933584	5936438	EEE EEE EEE	NP_172708.1 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]	64.155	NP_172708.1		AT1G12460
Vitvi00g04338	D7TWC7	VIT_02s0025g04990	Un	5939577	5948065	EEE EEE EEE	NP_172707.1 SNARE associated Golgi protein family [Arabidopsis thaliana]	57.627	NP_172707.1		AT1G12450
Vitvi00g04339	F6GZI0	VIT_00s2117g00010	Un	5957453	5961528	EEE EEE EEE	NP_567671.1 Sodium Bile acid symporter family [Arabidopsis thaliana]	69.167	NP_567671.1		AT4G22840
Vitvi00g04340	D7TWC9	VIT_02s0025g05010	Un	5962872	5965297	EEE EEE EEE	NP_194014.2 YCF49-like protein [Arabidopsis thaliana]	57.325	NP_194014.2		AT4G22830
Vitvi00g04343	F6HWH9	VIT_07s0141g00340	Un	6022835	6029550	EEE EEE EEE	NP_188879.2 PLAT/LH2 domain-containing lipoxygeNAse family protein [Arabidopsis thaliana]	47.627	NP_188879.2	LOX5	AT3G22400
Vitvi00g04344	F6HRI0	VIT_07s0289g00020	Un	6039564	6040620	EEE EEE EEE	NP_566309.1 2Fe-2S ferredoxin-like superfamily protein [Arabidopsis thaliana]	65.409	NP_566309.1		AT3G07480
Vitvi00g04345	A5B6T8	VIT_07s0141g00300	Un	6073768	6074232	EEE EEE EEE	NP_187405.1 ARF-GAP domain 11 [Arabidopsis thaliana]	86.184	NP_187405.1	AGD11	AT3G07490
Vitvi00g04358	E0CSQ5	VIT_19s0014g03360	Un	6125918	6137453	EEE EEE EEE	NP_200255.5 CLUB [Arabidopsis thaliana]	85.246	NP_200255.5	CLUB	AT5G54440
Vitvi00g04359	F6H280	VIT_19s0014g03350	Un	6138625	6169075	EEE EEE EEE	NP_188171.2 Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein [Arabidopsis thaliana]	66.087	NP_188171.2		AT3G15520
Vitvi00g04360	F6HRY2	VIT_00s0441g00010	Un	6171408	6206400	EEE EEE EEE	NP_195217.1 P-loop containing nucleoside triphosphate hydrolases superfamily protein [Arabidopsis thaliana]	70.232	NP_195217.1		AT4G34910
Vitvi00g04361	D7TRY4	VIT_00s0441g00020	Un	6210206	6214893	UEE EEE EEE	NP_564734.1 FAD/NAD(P)-binding oxidoreductase family protein [Arabidopsis thaliana]	75.294	NP_564734.1	XF1	AT1G58440
Vitvi00g04368	D7THZ6	VIT_08s0007g08180	Un	6482622	6483002	EEE EEE EEE	a match not found in blastP with e-value<0.000001				
Vitvi00g04369	F6HJS0	VIT_00s0658g00020	Un	6490561	6496109	EEE EEE EEE	NP_193747.2 Leucine-rich repeat transmembrane protein kiNAse [Arabidopsis thaliana]	35.589	NP_193747.2	GSO1	AT4G20140
