"cell","rank","gene_id","log2diff","direction","pct_of_total_AggrDiv","cum_pct","Athal.common.NAme","Athaliana_TAIR10_homolog","homology"
"Rpv12+1+3@6h (FDR=0.024)",2,"Vitvi08g01235",-11.11,"DOWN_in_genotype",0.21,0.45,"LBO1","NP_566685.1 2-oxoglutarate (2OG) and Fe(II)-dependent oxygeNAse superfamily protein [Arabidopsis thaliana]",40.116
"Rpv12+1+3@6h (FDR=0.024)",3,"Vitvi07g04337",-10.533,"DOWN_in_genotype",0.19,0.64,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1+3@6h (FDR=0.024)",4,"Vitvi12g04076",-10.262,"DOWN_in_genotype",0.18,0.82,NA,"NP_001328395.1 Ankyrin repeat family protein [Arabidopsis thaliana]",37.069
"Rpv12+1+3@6h (FDR=0.024)",5,"Vitvi09g01214",10.171,"UP_in_genotype",0.18,1,NA,"NP_566892.1 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]",46.223
"Rpv12+1+3@6h (FDR=0.024)",6,"Vitvi12g04185",-9.849,"DOWN_in_genotype",0.17,1.17,NA,"NP_001329572.1 G-type lectin S-receptor-like Serine/Threonine-kiNAse [Arabidopsis thaliana]",45.814
"Rpv12+1+3@6h (FDR=0.024)",7,"Vitvi01g00816",-9.738,"DOWN_in_genotype",0.16,1.34,"MLP423","NP_173813.1 MLP-like protein 423 [Arabidopsis thaliana]",56.209
"Rpv12+1+3@6h (FDR=0.024)",8,"Vitvi12g04108",9.687,"UP_in_genotype",0.16,1.5,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1+3@6h (FDR=0.024)",9,"Vitvi16g00787",-9.596,"DOWN_in_genotype",0.16,1.66,"RPP8","NP_851124.1 Disease resistance protein (CC-NBS-LRR class) family [Arabidopsis thaliana]",30.215
"Rpv12+1+3@6h (FDR=0.024)",10,"Vitvi18g02180",-9.573,"DOWN_in_genotype",0.16,1.82,NA,"NP_197270.1 disease resistance protein (TIR-NBS-LRR class) [Arabidopsis thaliana]",39.85
"Rpv12+1+3@6h (FDR=0.024)",11,"Vitvi10g00667",-9.454,"DOWN_in_genotype",0.15,1.97,NA,"NP_174260.1 GDSL-like Lipase/Acylhydrolase superfamily protein [Arabidopsis thaliana]",50.278
"Rpv12+1+3@6h (FDR=0.024)",12,"Vitvi04g00997",-9.318,"DOWN_in_genotype",0.15,2.12,NA,"NP_198322.1 GDSL-like Lipase/Acylhydrolase superfamily protein [Arabidopsis thaliana]",77.551
"Rpv12+1+3@6h (FDR=0.024)",13,"Vitvi10g04289",-9.294,"DOWN_in_genotype",0.15,2.27,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1+3@6h (FDR=0.024)",14,"Vitvi07g04398",-9.269,"DOWN_in_genotype",0.15,2.42,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12+1+3@6h (FDR=0.024)",15,"Vitvi05g02170",9.183,"UP_in_genotype",0.15,2.57,NA,"NP_192259.1 Ankyrin repeat family protein [Arabidopsis thaliana]",31.103
"Rpv12+1+3@6h (FDR=0.024)",16,"Vitvi19g00680",-9.135,"DOWN_in_genotype",0.14,2.71,NA,"NP_567409.1 Pectin lyase-like superfamily protein [Arabidopsis thaliana]",65.312
"Rpv12+1+3@6h (FDR=0.024)",17,"Vitvi10g00903",9.119,"UP_in_genotype",0.14,2.86,"EMS1","NP_196345.1 Leucine-rich repeat transmembrane protein kiNAse [Arabidopsis thaliana]",37.094
"Rpv12+1+3@6h (FDR=0.024)",18,"Vitvi08g00853",-9.006,"DOWN_in_genotype",0.14,3,"LP1","NP_181388.1 lipid transfer protein 1 [Arabidopsis thaliana]",54.622
"Rpv12+1+3@6h (FDR=0.024)",19,"Vitvi13g02005",-8.922,"DOWN_in_genotype",0.14,3.13,NA,"NP_566888.2 Subtilase family protein [Arabidopsis thaliana]",50.809
"Rpv12+1+3@6h (FDR=0.024)",20,"Vitvi18g00422",-8.895,"DOWN_in_genotype",0.14,3.27,"UGT85A1","NP_173656.1 UDP-Glycosyltransferase superfamily protein [Arabidopsis thaliana]",59.494
"Rpv12+1+3@6h (FDR=0.024)",21,"Vitvi11g00518",-8.876,"DOWN_in_genotype",0.14,3.41,NA,"NP_001078199.1 BifunctioNAl inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Arabidopsis thaliana]",46.395
"Rpv12+1+3@6h (FDR=0.024)",22,"Vitvi05g01400",8.686,"UP_in_genotype",0.13,3.54,"MS2","NP_187805.1 Jojoba acyl CoA reductase-related male sterility protein [Arabidopsis thaliana]",51.362
"Rpv12+1+3@6h (FDR=0.024)",23,"Vitvi02g00056",8.632,"UP_in_genotype",0.13,3.67,NA,"NP_172772.2 Cellulase (glycosyl hydrolase family 5) protein [Arabidopsis thaliana]",41.847
"Rpv12+1+3@6h (FDR=0.024)",24,"Vitvi09g00264",-8.624,"DOWN_in_genotype",0.13,3.8,NA,"NP_188258.1 GDSL-like Lipase/Acylhydrolase superfamily protein [Arabidopsis thaliana]",69.817
"Rpv12+1+3@6h (FDR=0.024)",25,"Vitvi18g04003",-8.574,"DOWN_in_genotype",0.13,3.92,"WAKL4","NP_001319018.1 wall associated kiNAse-like 4 [Arabidopsis thaliana]",45.559
"Rpv12@24h (FDR=0.024)",1,"Vitvi09g01214",11.668,"UP_in_genotype",0.34,0.34,NA,"NP_566892.1 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]",46.223
"Rpv12@24h (FDR=0.024)",2,"Vitvi04g04009",-10.322,"DOWN_in_genotype",0.26,0.6,NA,"NP_197965.1 kiNAse family with leucine-rich repeat domain-containing protein [Arabidopsis thaliana]",61.29
"Rpv12@24h (FDR=0.024)",3,"Vitvi04g04010",-10.321,"DOWN_in_genotype",0.26,0.87,NA,"NP_197965.1 kiNAse family with leucine-rich repeat domain-containing protein [Arabidopsis thaliana]",68.519
"Rpv12@24h (FDR=0.024)",4,"Vitvi16g04458",-10.286,"DOWN_in_genotype",0.26,1.13,NA,"NP_200123.2 RING/U-box superfamily protein [Arabidopsis thaliana]",31.443
"Rpv12@24h (FDR=0.024)",5,"Vitvi08g00700",9.761,"UP_in_genotype",0.24,1.36,"EMB2107","NP_974758.1 26S proteasome regulatory subunit, putative (RPN5) [Arabidopsis thaliana]",61.446
"Rpv12@24h (FDR=0.024)",6,"Vitvi18g04314",-9.73,"DOWN_in_genotype",0.23,1.6,NA,"NP_186971.1 Pmr5/Cas1p GDSL/SGNH-like acyl-esterase family protein [Arabidopsis thaliana]",52.941
"Rpv12@24h (FDR=0.024)",7,"Vitvi04g01674",-9.55,"DOWN_in_genotype",0.23,1.83,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12@24h (FDR=0.024)",8,"Vitvi04g04011",-9.525,"DOWN_in_genotype",0.22,2.05,NA,"NP_197965.1 kiNAse family with leucine-rich repeat domain-containing protein [Arabidopsis thaliana]",63.429
"Rpv12@24h (FDR=0.024)",9,"Vitvi12g02015",9.52,"UP_in_genotype",0.22,2.27,"EMB2107","NP_974758.1 26S proteasome regulatory subunit, putative (RPN5) [Arabidopsis thaliana]",57.303
"Rpv12@24h (FDR=0.024)",10,"Vitvi12g04235",-9.505,"DOWN_in_genotype",0.22,2.5,"RLP53","NP_198058.1 receptor like protein 53 [Arabidopsis thaliana]",43.558
"Rpv12@24h (FDR=0.024)",11,"Vitvi12g02066",-9.295,"DOWN_in_genotype",0.21,2.71,NA,"NP_194449.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",28.821
"Rpv12@24h (FDR=0.024)",12,"Vitvi12g04548",9.194,"UP_in_genotype",0.21,2.92,NA,"NP_174809.1 kiNAse family with leucine-rich repeat domain-containing protein [Arabidopsis thaliana]",47.187
"Rpv12@24h (FDR=0.024)",13,"Vitvi12g04607",9.161,"UP_in_genotype",0.21,3.13,"RPS2","NP_194339.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",25.328
"Rpv12@24h (FDR=0.024)",14,"Vitvi01g04132",9.151,"UP_in_genotype",0.21,3.34,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12@24h (FDR=0.024)",15,"Vitvi17g01564",9.046,"UP_in_genotype",0.2,3.54,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12@24h (FDR=0.024)",16,"Vitvi15g01235",-8.98,"DOWN_in_genotype",0.2,3.74,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12@24h (FDR=0.024)",17,"Vitvi19g04110",8.975,"UP_in_genotype",0.2,3.94,NA,"NP_187555.1 Heat shock protein 70 (Hsp 70) family protein [Arabidopsis thaliana]",69.767
"Rpv12@24h (FDR=0.024)",18,"Vitvi07g04276",8.918,"UP_in_genotype",0.2,4.14,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12@24h (FDR=0.024)",19,"Vitvi16g01546",-8.912,"DOWN_in_genotype",0.2,4.33,NA,"NP_195373.6 ARM repeat superfamily protein [Arabidopsis thaliana]",37.179
"Rpv12@24h (FDR=0.024)",20,"Vitvi10g01505",8.881,"UP_in_genotype",0.2,4.53,NA,"NP_191262.2 Calcium-dependent phosphotriesterase superfamily protein [Arabidopsis thaliana]",49.689
"Rpv12@24h (FDR=0.024)",21,"Vitvi05g04494",-8.759,"DOWN_in_genotype",0.19,4.72,NA,"NP_190255.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",29.957
"Rpv12@24h (FDR=0.024)",22,"Vitvi14g01046",8.728,"UP_in_genotype",0.19,4.91,NA,"NP_195969.1 UDP-Glycosyltransferase superfamily protein [Arabidopsis thaliana]",51.316
"Rpv12@24h (FDR=0.024)",23,"Vitvi08g02397",-8.715,"DOWN_in_genotype",0.19,5.1,NA,"NP_188065.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",33.089
"Rpv12@24h (FDR=0.024)",24,"Vitvi18g04601",-8.697,"DOWN_in_genotype",0.19,5.29,NA,"a match not found in blastP with e-value<0.000001",NA
"Rpv12@24h (FDR=0.024)",25,"Vitvi19g00283",8.682,"UP_in_genotype",0.19,5.47,NA,"NP_200248.1 Late embryogenesis abundant (LEA) protein-like protein [Arabidopsis thaliana]",61.834
"Rpv12+1@24h (FDR=0.035)",1,"Vitvi08g02249",-12.034,"DOWN_in_genotype",0.36,0.36,NA,"NP_566966.1 Eukaryotic aspartyl protease family protein [Arabidopsis thaliana]",40.94
"Rpv12+1@24h (FDR=0.035)",2,"Vitvi18g04752",-11.665,"DOWN_in_genotype",0.34,0.71,NA,"NP_192938.1 Disease resistance protein (TIR-NBS-LRR class) family [Arabidopsis thaliana]",35.281
"Rpv12+1@24h (FDR=0.035)",3,"Vitvi09g01214",10.745,"UP_in_genotype",0.29,1,NA,"NP_566892.1 Leucine-rich repeat protein kiNAse family protein [Arabidopsis thaliana]",46.223
"Rpv12+1@24h (FDR=0.035)",4,"Vitvi12g04185",-10.209,"DOWN_in_genotype",0.26,1.26,NA,"NP_001329572.1 G-type lectin S-receptor-like Serine/Threonine-kiNAse [Arabidopsis thaliana]",45.814
"Rpv12+1@24h (FDR=0.035)",5,"Vitvi12g04076",-10.067,"DOWN_in_genotype",0.26,1.51,NA,"NP_001328395.1 Ankyrin repeat family protein [Arabidopsis thaliana]",37.069
"Rpv12+1@24h (FDR=0.035)",6,"Vitvi12g04597",9.549,"UP_in_genotype",0.23,1.74,"RPS2","NP_194339.1 NB-ARC domain-containing disease resistance protein [Arabidopsis thaliana]",29.442
"Rpv12+1@24h (FDR=0.035)",7,"Vitvi10g00134",9.241,"UP_in_genotype",0.21,1.96,NA,"NP_193918.1 HSP20-like chaperones superfamily protein [Arabidopsis thaliana]",55.797
